Statistic,Grinnell College,Opponents OPP
Attack,Attack,Attack
Kills K,1578,1316
Errors ATE,658,596
Attempts ATT,4567,4395
Percent ATT%,.201,.164
Kills Per Set K/S,12.4,10.4
Set,Set,Set
Assists AST,1412,1147
Assists Per Set AST/S,11.1,9.0
Ball Handling Errors BHE,41,56
Serve,Serve,Serve
Aces SA,250,207
Errors SE,321,196
Aces Per Set SA/S,2.0,1.6
Receptions,Receptions,Receptions
Errors RE,204,247
Errors Per Set RE/S,1.6,1.9
Defense,Defense,Defense
Digs DIG,2171,1982
Digs Per Set DIG/S,17.1,15.6
Blocking,Blocking,Blocking
Solo BS,43,48
Assists BA,170,346
Errors BE,29,29
Blocks BLK,128.0,221.0
Blocks Per Set BLK/S,1.0,1.7
