#,Unnamed: 1_level_0,Unnamed: 2_level_0,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
1.0,"Smith, Kylie-Ann 1Smith, Kylie-Ann",33,73,2.21,0,1,1.0,0.0,0,0,0.0,0.0,0,6,View Bio
2.0,"Adam, Amelia 2Adam, Amelia",7,10,1.43,1,7,0.857,0.14,0,0,0.0,0.0,0,0,View Bio
3.0,"Miles, Malaina 3Miles, Malaina",89,40,0.45,1,9,0.889,0.01,6,29,35.0,0.39,2,3,View Bio
4.0,"Woock, Rachel 4Woock, Rachel",64,124,1.94,12,202,0.941,0.19,0,0,0.0,0.0,0,0,View Bio
5.0,"Vajda, Julianna 5Vajda, Julianna",36,35,0.97,3,24,0.875,0.08,0,0,0.0,0.0,0,0,View Bio
6.0,"Richardson, Avery 6Richardson, Avery",14,7,0.5,0,1,1.0,0.0,1,1,2.0,0.14,0,0,View Bio
8.0,"Leonard, Millie 8Leonard, Millie",104,57,0.55,2,27,0.926,0.02,6,25,31.0,0.3,2,3,View Bio
9.0,"Nyquist, Emmy 9Nyquist, Emmy",93,222,2.39,14,257,0.946,0.15,0,0,0.0,0.0,0,0,View Bio
10.0,"Snell, Kylie 10Snell, Kylie",66,18,0.27,2,5,0.6,0.03,4,17,21.0,0.32,2,0,View Bio
11.0,"Taka, Hayley 11Taka, Hayley",105,132,1.26,20,243,0.918,0.19,6,16,22.0,0.21,0,1,View Bio
13.0,"Keller, Jenna 13Keller, Jenna",101,292,2.89,33,507,0.935,0.33,7,17,24.0,0.24,4,6,View Bio
14.0,"Brewer, Emily 14Brewer, Emily",109,269,2.47,0,6,1.0,0.0,6,9,15.0,0.14,1,20,View Bio
15.0,"Weber, Sophie 15Weber, Sophie",106,610,5.75,45,652,0.931,0.42,0,0,0.0,0.0,0,1,View Bio
21.0,"O'Neill, Ella 21O'Neill, Ella",6,0,0.0,0,0,0.0,0.0,0,1,1.0,0.17,0,0,View Bio
22.0,"Choy, Gabby 22Choy, Gabby",36,73,2.03,0,1,1.0,0.0,0,0,0.0,0.0,0,2,View Bio
23.0,"Sullivan, Keira 23Sullivan, Keira",65,46,0.71,3,49,0.939,0.05,4,6,10.0,0.15,0,1,View Bio
33.0,"Mlynski, Nicole 33Mlynski, Nicole",36,24,0.67,1,7,0.857,0.03,0,7,7.0,0.19,0,0,View Bio
,Total,109,2032,18.64,194,1998,0.903,1.78,40,128,104.0,0.95,11,43,
,Opponents,109,1965,18.03,205,2018,0.898,1.88,48,263,179.5,1.65,25,44,
