Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,453,652,1105,,,,,,,,,57898,,,57898,80989,55295,,136284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206818,,,206818,11690,10129,,21819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18151,18778,,36929,,40211,,40211,,,,,,,,,,,,,,,,,,,,,,,,,8845,24644,,33489,,,,,,,,,67597,66751,,134348,,45891,,45891,,,,,,,,,71619,,,71619,,,,,523607,261699,,575734,1361040
2004,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,489,656,1145,,,,,,,,,40352,,,40352,50643,27128,,77771,,,,,,,,,17545,18845,,36390,,,,,,,,,,,,,,,,,67635,,,67635,8710,4244,,12954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14706,17117,,31823,,15213,,15213,,,,,,,,,,,,,,,,,,,,,,,,,5543,7810,,13353,,,,,,,,,,,,,,29811,,29811,,,,,,,,,32754,,,32754,,,,,237888,120168,,1022017,1380073
2005,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,525,641,1166,,,,,,,,,71708,,,71708,108588,97759,,206347,,,,,,,,,59879,59510,,119389,,,,,,,,,,,,,,,,,227203,,,227203,11144,13402,,24546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18586,17571,,36157,,28020,,28020,,,,,,,,,,,,,,,,,,,,,,,,,6916,20952,,27868,,,,,,,,,,,,,,64907,,64907,,,,,,,,,107959,,,107959,,,,,611983,302121,,624843,1538947
2006,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,520,598,1118,,,,,,,,,94615,,,94615,101751,136312,,238063,,,,,,,,,67225,66587,,133812,,,,,,,,,,,,,,,,,275863,,,275863,12477,9969,,22446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13022,17491,,30513,,65109,,65109,,,,,,,,,,,,,,,,,,,,,,,,,7693,17256,,24949,,,,,,,,,,,,,,76211,,76211,,,,,,,,,120286,,,120286,,,,,692932,388935,,226922,1308789
2007,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,519,540,1059,,,,,,,,,101650,,,101650,147977,140185,,288162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286526,,,286526,9755,18322,,28077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16464,16500,,32964,,72890,,72890,,,,,,,,,,,,,,,,,,,,,,,,,29267,33600,,62867,21504,21126,,42630,21504,21126,,42630,23378,23378,,46756,,75665,,75665,,,,,,,,,124373,,,124373,,,,,782398,422792,,285736,1490926
2008,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,548,555,1103,,,,,,,,,83142,,,83142,139499,144455,,283954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284118,,,284118,12096,9771,,21867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33888,42568,,76456,,93164,,93164,,,,,,,,,,,,,,,,,,,,,,,,,35825,34711,,70536,28751,28793,,57544,28731,28793,,57524,27410,25176,,52586,,90843,,90843,,,,,,,,,141605,,,141605,,,,,815065,498274,,284954,1598293
2009,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,536,585,1121,,,,,,,,,86380,,,86380,136024,125000,,261024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297638,,,297638,11348,5238,,16586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31627,30765,,62392,,92345,,92345,,,,,,,,,,,,,,,,,,,,,,,,,39905,27886,,67791,24769,23691,,48460,25769,23298,,49067,22357,20287,,42644,,69890,,69890,,,,,,,,,106863,,,106863,,,,,782680,418400,,269976,1471056
2010,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,543,633,1176,,,,,,,,,82380,,,82380,122700,124970,,247670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324748,,,324748,11314,10196,,21510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57059,31870,,88929,,93153,,93153,,,,,,,,,,,,,,,,,,,,,,,,,32944,30985,,63929,28341,26471,,54812,28765,26047,,54812,32335,32743,,65078,,87991,,87991,,,,,,,,,159154,,,159154,,,,,879740,464426,,467918,1812084
2011,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,544,636,1180,,,,,,,,,90089,,,90089,125006,130956,,255962,,,,,,,,,81072,73432,,154504,,,,,,,,,,,,,,,,,285532,,,285532,12652,5703,,18355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55596,55222,,110818,,82733,,82733,,,,,,,,,,,,,,,,,,,,,,,,,14623,23294,,37917,,,,,,,,,,,,,,84562,,84562,,,,,,,,,141228,,,141228,,,,,805798,455902,,595327,1857027
2012,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,523,642,1165,,,,,,,,,90322,,,90322,135529,138505,,274034,,,,,,,,,116562,106467,,223029,,,,,,,,,,,,,,,,,317320,,,317320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69723,70414,,140137,,93915,,93915,,,,,,,,,,,,,,,,,,,,,,,,,32606,31584,,64190,,,,,,,,,,,,,,89489,,89489,,,,,,,,,167190,,,167190,,,,,929252,530374,,630123,2089749
