Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,146427,00170400,Knox College,IL,NCAA Division III (with football),,1,NCAA,517,588,1105,,,,,,,,,16833,,,16833,55233,34330,,89563,,,,,,,,,38019,35977,,73996,,,,,,,,,,,,,,,,,133211,,,133211,16429,11383,,27812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18771,26179,,44950,,25138,,25138,,,,,,,,,6225,8097,,14322,,,,,,,,,,,,,7469,30685,,38154,,,,,,,,,,,,,,34283,,34283,,,,,,,,,6393,,,6393,,,,,298583,206072,,218330,722985
2004,146427,00170400,Knox College,IL,NCAA Division III (with football),,1,NCAA,530,648,1178,,,,,,,,,14544,,,14544,40850,18645,,59495,,,,,,,,,22584,22584,,45168,,,,,,,,,,,,,,,,,48942,,,48942,19748,2505,,22253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4469,17255,,21724,,22231,,22231,,,,,3444,2834,,6278,,,,,,,,,,,,,,,,,4752,27610,,32362,,,,,,,,,,,,,,22177,,22177,,,,,,,,,2507,,,2507,,,,,161840,135841,,386388,684069
2005,146427,00170400,Knox College,IL,NCAA Division III (with football),,1,NCAA,554,664,1218,,,,,,,,,19361,,,19361,61857,34284,,96141,,,,,,,,,33525,33525,,67050,,,,,,,,,,,,,,,,,74206,,,74206,5372,8835,,14207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6955,25585,,32540,,34563,,34563,,,,,4485,4485,,8970,,,,,,,,,,,,,,,,,8368,38753,,47121,,,,,,,,,,,,,,30093,,30093,,,,,,,,,5505,,,5505,,,,,219634,210123,,429435,859192
2006,146427,00170400,Knox College,IL,NCAA Division III (with football),,1,NCAA,582,743,1325,,,,,,,,,17243,,,17243,83568,22137,,105705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102570,,,102570,4674,12657,,17331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8754,25405,,34159,,25095,,25095,,,,,6236,6236,,12472,,,,,,,,,,,,,,,,,18737,21595,,40332,,,,,,,,,26353,22803,,49156,,25201,,25201,,,,,,,,,5024,,,5024,,,,,273159,161129,,476186,910474
2007,146427,00170400,Knox College,IL,NCAA Division III (with football),,1,NCAA,573,781,1354,,,,,,,,,74117,,,74117,95013,60724,,155737,,,,,,,,,57490,30259,,87749,,,,,,,,,,,,,,,,,199992,,,199992,24824,21782,,46606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24838,54763,,79601,,54256,,54256,,,,,8741,10997,,19738,,,,,,,,,,,,,,,,,29979,21016,,50995,,,,,,,,,,,,,,65748,,65748,,,,,,,,,26927,,,26927,,,,,541921,319545,,455237,1316703
2008,146427,00170400,Knox College,IL,NCAA Division III (with football),,1,NCAA,564,791,1355,,,,,,,,,70534,,,70534,86339,95955,,182294,,,,,,,,,50681,39779,,90460,,,,,,,,,,,,,,,,,216624,,,216624,27675,24200,,51875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21538,41236,,62774,,88739,,88739,,,,,9756,9990,,19746,,,,,,,,,,,,,,,,,19074,45937,,65011,,,,,,,,,,,,,,33088,,33088,,,,,,,,,18194,,,18194,,,,,520415,378924,,482692,1382031
2009,146427,00170400,Knox College,IL,NCAA Division III (with football),,1,NCAA,549,831,1380,,,,,,,,,80818,,,80818,83068,86207,,169275,,,,,,,,,42471,40191,,82662,,,,,,,,,,,,,,,,,218410,,,218410,37830,23084,,60914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25356,50198,,75554,,50787,,50787,,,,,15408,16415,,31823,,,,,,,,,,,,,,,,,22381,8388,,30769,,,,,,,,,,,,,,51095,,51095,,,,,,,,,20648,,,20648,,,,,546390,326365,,521473,1394228
2010,146427,00170400,Knox College,IL,NCAA Division III (with football),,1,NCAA,561,812,1373,,,,,,,,,73773,,,73773,120799,78966,,199765,,,,,,,,,51633,50502,,102135,,,,,,,,,,,,,,,,,193770,,,193770,34369,26899,,61268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19452,46577,,66029,,45917,,45917,,,,,7647,9972,,17619,,,,,,,,,,,,,,,,,32872,9861,,42733,,,,,,,,,,,,,,43969,,43969,,,,,,,,,39918,,,39918,,,,,574233,312663,,595469,1482365
2011,146427,00170400,Knox College,IL,NCAA Division III (with football),,1,NCAA,593,806,1399,,,,,,,,,92403,,,92403,123356,93989,,217345,,,,,,,,,55100,51010,,106110,,,,,,,,,,,,,,,,,255064,,,255064,43401,30856,,74257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54009,68817,,122826,,61582,,61582,,,,,10448,14930,,25378,,,,,,,,,,,,,,,,,27282,11153,,38435,,,,,,,,,,,,,,57222,,57222,,,,,,,,,39740,,,39740,,,,,700803,389559,,216973,1307335
2012,146427,00170400,Knox College,IL,NCAA Division III (with football),,1,NCAA,592,796,1388,,,,,,,,,80970,,,80970,119295,124151,,243446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249203,,,249203,13589,13541,,27130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86856,71117,,157973,,60919,,60919,,,,,,,,,12417,16608,,29025,,,,,,,,,,,,,32741,27319,,60060,28949,28934,,57883,12371,12356,,24727,22122,17154,,39276,,90847,,90847,,,,,,,,,26323,,,26323,,,,,684836,462946,,635048,1782830
