Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,146481,00170600,Lake Forest College,IL,NCAA Division III (with football),,1,NCAA,566,758,1324,,,,,,,,,,,,,65799,88779,,154578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111884,,,111884,,,,,,,,,127805,59224,,187029,,,,,,,,,,,,,,,,,,,,,,,,,20451,31673,,52124,,45821,,45821,,,,,33378,34353,,67731,,,,,,,,,,,,,,,,,14612,20303,,34915,,,,,,,,,9670,9669,,19339,,44993,,44993,,,,,,,,,,,,,,,,,383599,334815,,342499,1060913
2004,146481,00170600,Lake Forest College,IL,NCAA Division III (with football),,1,NCAA,564,802,1366,,,,,,,,,,,,,86021,94374,,180395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158318,,,158318,,,,,,,,,147917,71548,,219465,,,,,,,,,,,,,,,,,,,,,,,,,20071,31388,,51459,,58700,,58700,,,,,36072,36072,,72144,,,,,,,,,,,,,,,,,15312,15890,,31202,,,,,,,,,10055,10056,,20111,,64324,,64324,,,,,,,,,,,,,,,,,473766,382352,,481107,1337225
2005,146481,00170600,Lake Forest College,IL,NCAA Division III (with football),,1,NCAA,586,812,1398,,,,,,,,,,,,,67971,93415,,161386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116715,,,116715,,,,,,,,,131875,58170,,190045,,,,,,,,,,,,,,,,,,,,,,,,,25267,25536,,50803,,46965,,46965,,,,,32180,34027,,66207,,,,,,,,,,,,,,,,,14230,22953,,37183,,,,,,,,,9982,9983,,19965,,43103,,43103,,,,,,,,,,,,,,,,,398220,334152,,597380,1329752
2006,146481,00170600,Lake Forest College,IL,NCAA Division III (with football),,1,NCAA,579,796,1375,,,,,,,,,,,,,90019,99139,,189158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131437,,,131437,,,,,,,,,132218,71165,,203383,,,,,,,,,,,,,,,,,,,,,,,,,24228,36806,,61034,,48524,,48524,,,,,29145,29790,,58935,,,,,,,,,,,,,,,,,20253,19988,,40241,,,,,,,,,11733,11733,,23466,,44577,,44577,,,,,,,,,,,,,,,,,439033,361722,,617801,1418556
2007,146481,00170600,Lake Forest College,IL,NCAA Division III (with football),,1,NCAA,574,839,1413,,,,,,,,,,,,,92222,103775,,195997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150625,,,150625,,,,,,,,,141169,74806,,215975,,,,,,,,,,,,,,,,,,,,,,,,,24312,47378,,71690,,45680,,45680,,,,,32038,33179,,65217,,,,,,,,,,,,,,,,,20983,22025,,43008,,,,,,,,,11965,11965,,23930,,51722,,51722,,,,,,,,,,,,,,,,,473314,390530,,682156,1546000
2008,146481,00170600,Lake Forest College,IL,NCAA Division III (with football),,1,NCAA,557,785,1342,,,,,,,,,,,,,102709,91290,,193999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160089,,,160089,,,,,,,,,158055,81732,,239787,,,,,,,,,,,,,,,,,,,,,,,,,29612,54039,,83651,,49909,,49909,,,,,32732,35989,,68721,,,,,,,,,,,,,,,,,29487,21880,,51367,,,,,,,,,11998,16227,,28225,,49010,,49010,,,,,,,,,,,,,,,,,524682,400076,,772014,1696772
2009,146481,00170600,Lake Forest College,IL,NCAA Division III (with football),,1,NCAA,559,812,1371,,,,,,,,,,,,,96908,87587,,184495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198680,,,198680,,,,,,,,,148549,82262,,230811,,,,,,,,,,,,,,,,,,,,,,,,,28609,51481,,80090,,46982,,46982,,,,,35152,35934,,71086,,,,,,,,,,,,,,,,,29560,22126,,51686,,,,,,,,,13176,16990,,30166,,43883,,43883,,,,,,,,,,,,,,,,,550634,387245,,725521,1663400
2010,146481,00170600,Lake Forest College,IL,NCAA Division III (with football),,1,NCAA,553,842,1395,,,,,,,,,,,,,109233,93189,,202422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209674,,,209674,,,,,,,,,122607,95531,,218138,,,,,,,,,,,,,,,,,,,,,,,,,40140,84092,,124232,,48272,,48272,,,,,37082,43494,,80576,,,,,,,,,,,,,,,,,34975,32128,,67103,,,,,,,,,11784,15812,,27596,,45764,,45764,,,,,,,,,,,,,,,,,565495,458282,,764041,1787818
2011,146481,00170600,Lake Forest College,IL,NCAA Division III (with football),,1,NCAA,607,868,1475,,,,,,,,,,,,,143522,122382,,265904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292538,,,292538,,,,,,,,,160538,119379,,279917,,,,,,,,,,,,,,,,,,,,,,,,,67025,82064,,149089,,87304,,87304,,,,,50307,55886,,106193,,,,,,,,,,,,,,,,,39238,36228,,75466,,,,,,,,,17598,19330,,36928,,72167,,72167,,,,,,,,,,,,,,,,,770766,594740,,1043568,2409074
2012,146481,00170600,Lake Forest College,IL,NCAA Division III (with football),,1,NCAA,640,887,1527,,,,,,,,,,,,,156752,126886,,283638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299663,,,299663,,,,,,,,,181558,133571,,315129,,,,,,,,,,,,,,,,,,,,,,,,,61719,95253,,156972,,90024,,90024,,,,,56601,59476,,116077,,,,,,,,,,,,,,,,,41078,39066,,80144,,,,,,,,,23499,24831,,48330,,71442,,71442,,,,,,,,,,,,,,,,,820870,640549,,840730,2302149
