Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2093,2168,4261,,,,,,,,,119123,,,119123,176613,159779,,336392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343422,,,343422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118055,137270,,255325,,93698,,93698,,,,,72511,85697,,158208,,,,,,,,,,,,,,,,,39899,39499,,79398,,,,,,,,,102032,101330,,203362,,91995,,91995,,,,,,,,,83589,,,83589,,,,,1055244,709268,,2939871,4704383
2004,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2250,2263,4513,,,,,,,,,123131,,,123131,172828,156052,,328880,,,,,,,,,110946,112745,,223691,,,,,,,,,,,,,,,,,354359,,,354359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128014,128676,,256690,,172709,,172709,,,,,98223,92202,,190425,,,,,,,,,,,,,,,,,54331,50601,,104932,,,,,,,,,,,,,,91884,,91884,,,,,,,,,95647,,,95647,,,,,1137479,804869,,730197,2672545
2005,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2279,2335,4614,,,,,,,,,120237,,,120237,168985,161096,,330081,,,,,,,,,122670,120110,,242780,,,,,,,,,,,,,,,,,350851,,,350851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113147,152456,,265603,,97487,,97487,,,,,96360,86554,,182914,,,,,,,,,,,,,,,,,48150,49262,,97412,,,,,,,,,,,,,,89809,,89809,,,,,,,,,95734,,,95734,,,,,1116134,756774,,908474,2781382
2006,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2258,2324,4582,,,,,,,,,56870,,,56870,128036,116485,,244521,,,,,,,,,60923,63560,,124483,,,,,,,,,,,,,,,,,170105,,,170105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68494,71941,,140435,,52217,,52217,,,,,27332,27332,,54664,,,,,,,,,,,,,,,,,19814,20569,,40383,,,,,,,,,,,,,,49280,,49280,,,,,,,,,31587,,,31587,,,,,563161,401384,,2297606,3262151
2007,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2416,2422,4838,,,,,,,,,205715,,,205715,215085,184292,,399377,,,,,,,,,114612,114721,,229333,,,,,,,,,,,,,,,,,390924,,,390924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122655,171277,,293932,,87434,,87434,,,,,89241,90241,,179482,,,,,,,,,,,,,,,,,67168,71723,,138891,,,,,,,,,,,,,,159943,,159943,,,,,,,,,98012,,,98012,,,,,1303412,879631,,1302308,3485351
2008,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2488,2467,4955,,,,,,,,,204743,,,204743,218465,196505,,414970,,,,,,,,,191286,195078,,386364,,,,,,,,,,,,,,,,,469337,,,469337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146671,172869,,319540,,186437,,186437,,,,,163903,162103,,326006,,,,,,,,,,,,,,,,,137390,147262,,284652,,,,,,,,,,,,,,145388,,145388,,,,,,,,,126576,,,126576,,,,,1658371,1205642,,1053594,3917607
2009,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2559,2500,5059,,,,,,,,,205083,,,205083,205508,197909,,403417,,,,,,,,,204160,208751,,412911,,,,,,,,,,,,,,,,,473146,,,473146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150917,163275,,314192,,124981,,124981,,,,,201204,205330,,406534,,,,,,,,,,,,,,,,,133499,138580,,272079,,,,,,,,,,,,,,149011,,149011,,,,,,,,,111541,,,111541,,,,,1685058,1187837,,1020258,3893153
2010,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2672,2542,5214,,,,,,,,,136712,,,136712,167178,167817,,334995,,,,,,,,,130142,128978,,259120,,,,,,,,,,,,,,,,,458727,,,458727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120694,126889,,247583,,97244,,97244,,,,,153179,164828,,318007,,,,,,,,,,,,,,,,,77853,83778,,161631,,,,,,,,,,,,,,115255,,115255,,,,,,,,,96739,,,96739,,,,,1341224,884789,,1167961,3393974
2011,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2746,2565,5311,,,,,,,,,163396,,,163396,209624,196326,,405950,,,,,,,,,146162,147644,,293806,,,,,,,,,,,,,,,,,452879,,,452879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137609,223443,,361052,,108460,,108460,,,,,103666,106502,,210168,,,,,,,,,,,,,,,,,54823,65708,,120531,,,,,,,,,,,,,,173365,,173365,,,,,,,,,116429,,,116429,,,,,1384588,1021448,,938842,3344878
2012,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2930,2624,5554,,,,,,,,,233460,,,233460,305046,252171,,557217,,,,,,,,,246591,235751,,482342,,,,,,,,,,,,,,,,,547868,,,547868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166344,193155,,359499,,127116,,127116,,,,,302614,287255,,589869,,,,,,,,,,,,,,,,,116344,114018,,230362,,,,,,,,,,,,,,188648,,188648,,,,,,,,,128779,,,128779,,,,,2047046,1398114,,778414,4223574
