""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Hannes Kogelnik,,G,6-7,190,So.,"Glen Echo, Md. / Walt Whitman"
,3,Jackson Breshears,,G,6-3,180,So.,"Tucson, Ariz. / Salpointe Catholic"
,4,Griffin Boehm,,F,6-5,195,Sr.,"Wilmette, Ill. / Loyola Academy"
,5,Vinny Curta,,G,6-5,190,Sr.,"Oak Lawn, Ill. / Dwight D. Eisenhower"
,10,Zachary Stice,,G,6-0,170,So.,"Eugene, Ore. / South Eugene"
,11,Jake Conran,,F,6-6,205,Jr.,"Valley Village, Calif. / Oakwood School"
,12,Jacob Leder,,G,5-11,175,Jr.,"Westwood, Mass. / Buckingham Browne Nichols School"
,13,Ky-Sean Johnson,,G,5-11,165,Sr.,"Wichita, Kan. / Maize"
,15,Noah Jacobson,,G,5-11,165,Jr.,"Portland, Ore. / Riverdale"
,21,Jackson Qualley,,G,6-2,175,Fr.,"Lincolnshire, Ill. / Adlai E. Stevenson"
,22,Tyler Grumhaus,,G,6-2,165,So.,"Lake Forest, Ill. / Lake Forest Academy"
,23,Will Dubow,,F,6-7,195,So.,"Washington, Conn. / Salisbury School"
,24,Anthony Gulve,,G,5-11,175,Jr.,"St. Louis, Mo. / Webster Groves"
,25,Will Bebee,,F,6-7,205,Fr.,"Carl Junction, Mo. / Carl Junction"
,33,Morgan Walser,,G,6-0,175,So.,"Antelope, Calif. / Antelope"
,35,Patrick Simms,,G,6-2,190,Fr.,"Henderson, Nev. / Coronado"
,42,Christian Brookens,,G,6-0,170,Fr.,"Homewood, Ill. / University of Chicago Lab School"
,44,Brad Geiman,,F,6-8,190,So.,"Alexandria, Ky. / Campbell County"
,45,Dawson Keller,,F,6-7,185,So.,"Eagle, Colo. / Eagle Valley"
,54,Derek Jones,,F,6-6,190,So.,"Decatur, Ill. / Argenta-Oreana"
,,Alex Mickus,,F,6-7,180,So.,"Highlands Ranch, Colo. / Highlands Ranch"
,,Brock Moritz,,F,6-6,195,Fr.,"Parkton, Md. / Hereford"
,,Tommy Smith,,F,6-9,235,So.,"Kenosha, Wis. / Saint Joseph Catholic Academy"
,,Brady Vest,,G/F,6-4,185,Fr.,"Myrtle Beach, S.C. / Myrtle Beach"
,,Nick Carty,,G,6-1,180,Fr.,"Carlsbad, Calif. / Sage Creek"
,,Argon Stern,,G,6-0,165,Fr.,"Phoenix, Ariz. / Arcadia"
