Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"March 1, 2025 (Saturday)",12 p.m.,Neutral,Augustana College (IL),"Rantoul, IL",,,,,Live StatsHistory
"March 1, 2025 (Saturday)",3:30 p.m.,Neutral,Wisconsin Lutheran College,"Rantoul, IL",,,,,Live StatsHistory
"March 2, 2025 (Sunday)",2:30 pm,Neutral,Northland College,"Rantoul, IL",,,,,Live StatsHistory
"March 8, 2025 (Saturday)",12 pm CT,Neutral,Webster University,"Winter Haven, Fla./ Chain of Lakes Park (COL)",,,RussMatt Invitational,,Live StatsHistory
"March 9, 2025 (Sunday)",8:45 am CT,Neutral,University of Wisconsin-Superior,"Winter Haven, Fla./ Chain of Lakes Park (COL)",,,RussMatt Invitational,,Live StatsHistory
"March 10, 2025 (Monday)",2:30 PM CT,Neutral,Ohio Northern University,"Auburndale, Fla./ Northeast Regional Park",,,RussMatt Invitational,,Live StatsHistory
"March 11, 2025 (Tuesday)",10 a.m. CT,Neutral,College of St. Scholastica,"Winter Haven, Fla./ Chain of Lakes Park (COL)",,,RussMatt Invitational,,Live StatsHistory
"March 13, 2025 (Thursday)",8 AM CT,Neutral,Fontbonne University,"Auburndale, Fla./ Lake Myrtle Main",,,RussMatt Invitational,,Live StatsHistory
"March 14, 2025 (Friday)",2:45 PM CT,Neutral,Roger Williams University,"Winter Haven, Fla./ Chain of Lakes Park (COL)",,,RussMatt Invitational,,Live StatsHistory
"March 15, 2025 (Saturday)",9:00 AM CT,Home,Greenville University,"Winter Haven, Fla./ Lake Myrtle #7",,,RussMatt Invitational,,Live StatsHistory
"March 22, 2025 (Saturday)",12 p.m.,Home,Carroll University,"Beloit, Wis./ABC Supply Stadium",,,,,WatchLive StatsHistory
"March 22, 2025 (Saturday)",2:30 p.m.,Home,Carroll University,"Beloit, Wis./ABC Supply Stadium",,,,,Live StatsHistory
"March 23, 2025 (Sunday)",12 p.m.,Home,Milwaukee School of Engineering,"Beloit, Wis./ABC Supply Stadium",,,,,WatchLive StatsHistory
"March 25, 2025 (Tuesday)",3 p.m.,Away,Rockford University,"Rockford, IL/ RU Campus Baseball Field",,,,,History
"March 29, 2025 (Saturday)",12 p.m.,Away,Cornell College,"Mount Vernon, IA/ Ash Park Field",,,,,History
"March 29, 2025 (Saturday)",2:30 p.m.,Away,Cornell College,"Mount Vernon, IA/ Ash Park Field",,,,,History
"March 30, 2025 (Sunday)",12 p.m.,Home,Cornell College,"Beloit, Wis./The Ballpark at Strong Stadium",,,,,WatchLive StatsHistory
"April 2, 2025 (Wednesday)",2 p.m.,Away,Lakeland University,"Plymouth, WI/ Muskie Field",,,,,History
"April 5, 2025 (Saturday)",12 p.m.,Away,Lawrence University,"Appleton, WI/ Don Hawkins Field",,,,,History
"April 5, 2025 (Saturday)",2:30 p.m.,Away,Lawrence University,"Appleton, WI/ Don Hawkins Field",,,,,History
"April 6, 2025 (Sunday)",,Home,Lawrence University,"Beloit, Wis./The Ballpark at Strong Stadium",,,,,WatchLive StatsHistory
"April 8, 2025 (Tuesday)",6 p.m.,Home,Edgewood College,"Beloit, Wis./ABC Supply Stadium",,,,,WatchLive StatsHistory
"April 9, 2025 (Wednesday)",6 p.m.,Home,Rockford University,"Beloit, Wis./ABC Supply Stadium",,,,,Live StatsHistory
"April 12, 2025 (Saturday)",12 p.m.,Away,Ripon College,"Ripon, WI/ Francis Field",,,,,History
"April 12, 2025 (Saturday)",2:30 p.m.,Away,Ripon College,"Ripon, WI/ Francis Field",,,,,History
"April 13, 2025 (Sunday)",12 p.m.,Home,Ripon College,"Beloit, Wis./The Ballpark at Strong Stadium",,,,,Live StatsHistory
"April 18, 2025 (Friday)",1 p.m.,Home,Grinnell College,"Beloit, Wis./The Ballpark at Strong Stadium",,,,,Live StatsHistory
"April 18, 2025 (Friday)",3:30 p.m.,Home,Grinnell College,"Beloit, Wis./The Ballpark at Strong Stadium",,,,,Live StatsHistory
"April 19, 2025 (Saturday)",12 p.m.,Home,Grinnell College,"Beloit, Wis./The Ballpark at Strong Stadium",,,,,Live StatsHistory
"April 22, 2025 (Tuesday)",1 p.m.,Home,Knox College,"Beloit, Wis./The Ballpark at Strong Stadium",,,,,Live StatsHistory
"April 22, 2025 (Tuesday)",3:30 p.m.,Home,Knox College,"Beloit, Wis./The Ballpark at Strong Stadium",,,,,Live StatsHistory
"April 26, 2025 (Saturday)",12 p.m.,Away,Monmouth College,"Monmouth, IL/ Glasglow Field",,,,,History
"April 26, 2025 (Saturday)",2:30 p.m.,Away,Monmouth College,"Monmouth, IL/ Glasglow Field",,,,,History
"April 27, 2025 (Sunday)",12 p.m.,Away,Monmouth College,"Monmouth, IL/ Glasglow Field",,,,,History
"April 30, 2025 (Wednesday)",1 p.m.,Away,Knox College,"Galesburg, IL/ Blodgett Field",,,,,History
"May 3, 2025 (Saturday)",12 p.m.,Home,Illinois College,"Beloit, Wis./The Ballpark at Strong Stadium",,,,,Live StatsHistory
"May 3, 2025 (Saturday)",2:30 p.m.,Home,Illinois College,"Beloit, Wis./The Ballpark at Strong Stadium",,,,,Live StatsHistory
"May 4, 2025 (Sunday)",12 p.m.,Home,Illinois College,"Beloit, Wis./The Ballpark at Strong Stadium",,,,,Live StatsHistory
"May 9, 2025 (Friday)",,Neutral,Midwest Conference,,,,Midwest Conference Tournament,,History
