Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 3, 2011 (Saturday)",,Away,University of Chicago,"Chicago, Ill.",,,"L,25-44",
"September 10, 2011 (Saturday)",,Away,St. Norbert College,"De Pere, Wis.",,,"L,14-30",
"September 17, 2011 (Saturday)",,Home,Carroll University,"Beloit, Wis./Strong Stadium",,,"L,20-49",
"September 24, 2011 (Saturday)",,Away,Knox College,"Galesburg, Ill.",,,"W,34-20",
"October 1, 2011 (Saturday)",,Home,Grinnell College,"Beloit, Wis./Strong Stadium",,,"L,21-28",
"October 8, 2011 (Saturday)",,Home,Lake Forest College,"Beloit, Wis./Strong Stadium",,,"L,17-27",
"October 15, 2011 (Saturday)",,Away,Ripon College,"Ripon, Wis.",,,"L,27-31",
"October 22, 2011 (Saturday)",,Away,Monmouth College,"Monmouth, Ill.",,,"L,41-63",
"October 29, 2011 (Saturday)",,Home,Lawrence University,"Beloit, Wis./Strong Stadium",,,"W,20-14",
"November 5, 2011 (Saturday)",,Away,Illinois College,"Jacksonville, Ill.",,,"L,27-48",
