Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 31, 2023 (Thursday)",7 p.m.,Home,Rockford,"Beloit, Wis./Strong Stadium",,,Trophy Game - Battle of Rock River,"W,34-27",Box ScoreRecap
"September 9, 2023 (Saturday)",1 p.m,Away,Knox,"Galesburg, Ill.",,,,"L,14-31",Box ScoreRecap
"September 16, 2023 (Saturday)",1 p.m.,Home,Grinnell,"Beloit, Wis./Strong Stadium",,,Alumni Day,"L,23-33",Box ScoreRecap
"September 30, 2023 (Saturday)",1 p.m.,Home,Univ. of Chicago,"Beloit, Wis./Strong Stadium",,,Homecoming,"L,7-48",Box ScoreRecap
"October 7, 2023 (Saturday)",2 p.m.,Away,Cornell (Iowa),"Mount Vernon, Iowa",,,,"L,24-36",Box ScoreRecap
"October 14, 2023 (Saturday)",1 p.m.,Away,Lawrence,"Appleton, Wis.",,,,"W,34-14",Box ScoreRecap
"October 21, 2023 (Saturday)",1 p.m.,Home,Monmouth (Ill.),"Beloit, Wis./Strong Stadium",,,,"L,3-59",Box ScoreRecapProgramProgram
"October 28, 2023 (Saturday)",1 p.m.,Away,Lake Forest,"Lake Forest, Ill.",,,,"L,0-41",Box ScoreRecap
"November 4, 2023 (Saturday)",1 p.m.,Home,Ripon,"Beloit, Wis./Strong Stadium",,,Faculty/Staff Appreciation Day,"L,17-52",Box ScoreRecapProgram
"November 11, 2023 (Saturday)",Noon,Home,Illinois College,"Beloit, Wis./Strong Stadium",,,Senior Day,"L,7-56",Box ScoreRecapProgram
