Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 1, 2011 (Thursday)",,Home,Wisconsin Lutheran College,"Beloit, Wis./Strong Complex Soccer Field",,,"W,1-0",
"September 4, 2011 (Sunday)",,Away,Edgewood College,"Madison, Wis.",,,"T,2-2OT 02",
"September 7, 2011 (Wednesday)",,Home,Concordia University (Wis.),"Beloit, Wis./Strong Complex Soccer Field",,,"L,0-3",
"September 10, 2011 (Saturday)",,Away,Milwaukee School of Engineering,"Milwaukee, Wis.",,,"L,1-2OT",
"September 14, 2011 (Wednesday)",,Home,Augustana College (IL),"Beloit, Wis./Strong Complex Soccer Field",,,"L,0-1",
"September 20, 2011 (Tuesday)",,Home,Illinois Wesleyan University,"Beloit, Wis./Strong Complex Soccer Field",,,"L,0-1",
"September 24, 2011 (Saturday)",,Home,Ripon College,"Beloit, Wis./Strong Complex Soccer Field",,,"W,3-1",
"September 28, 2011 (Wednesday)",,Away,Carroll University,"Waukesha, Wis.",,,"L,1-5",
"October 2, 2011 (Sunday)",,Away,Knox College,"Galesburg, Ill.",,,"W,5-0",
"October 5, 2011 (Wednesday)",,Home,Lake Forest College,"Lake Forest, Ill./Strong Complex Soccer Field",,,"W,1-0",
"October 8, 2011 (Saturday)",,Home,St. Norbert College,"De Pere, Wis./Strong Complex Soccer Field",,,"W,4-1",
"October 15, 2011 (Saturday)",,Away,Lawrence University,"Appleton, Wis.",,,"L,1-2OT",
"October 18, 2011 (Tuesday)",,Away,Maranatha Baptist  University,"Watertown, WIs.",,,"L,1-2",
"October 23, 2011 (Sunday)",,Home,Grinnell College,"Beloit, Wis./Strong Complex Soccer Field",,,"T,2-2OT",
"October 23, 2011 (Sunday)",,Home,Illinois College,"Beloit, Wis./Strong Complex Soccer Field",,,"W,2-1",
"October 29, 2011 (Saturday)",,Away,Monmouth College,"Monmouth, Ill.",,,"W,2-1",
"November 4, 2011 (Friday)",,Away,Lawrence University,"Waukesha, Wis.",,,"W,4-0",
"November 4, 2011 (Friday)",,Away,Carroll University,"Waukesha, Wis.",,,"L,0-2",
