Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 31, 2018 (Friday)",4:30 PM,Home,Clarke University,"Beloit, Wis.",,,"L,1-5",Box ScoreRecap
"September 2, 2018 (Sunday)",12:00 PM,Away,Benedictine University,"Lisle, Ill.",,,"L,1-2",Box ScoreRecap
"September 8, 2018 (Saturday)",4:30 PM,Away,Wis.-Platteville,"Platteville, WI",,,"L,3-5",Box ScoreRecap
"September 11, 2018 (Tuesday)",7:00 PM,Away,North Park University,"Chicago, Ill.",,,"W,4-3",Box ScoreRecap
"September 15, 2018 (Saturday)",2:00 PM,Home,Illinois Tech,"Beloit, Wis.",,,"L,1-3",Box ScoreRecap
"September 19, 2018 (Wednesday)",4:30 PM,Away,Lake Forest College,"Lake Forest, Ill.",,,"W,1-0",Box ScoreRecap
"September 22, 2018 (Saturday)",1:30 PM,Home,Grinnell College,"Beloit, Wis.",,,"L,1-4",Box ScoreRecap
"September 29, 2018 (Saturday)",1:30 PM,Away,Cornell College,"Mount Vernon, Iowa",,,"L,0-1",Box ScoreRecap
"September 30, 2018 (Sunday)",1:30 PM,Away,Monmouth College,"Monmouth, Ill.",,,"W,4-1",Box ScoreRecap
"October 4, 2018 (Thursday)",7:00 PM,Away,Carroll University,"Waukesha, Wis.",,,"L,0-4",Box ScoreRecap
"October 6, 2018 (Saturday)",1:00 PM,Home,Lawrence University,"Beloit, Wis.",,,"W,6-0",Box ScoreRecap
"October 8, 2018 (Monday)",4:00 PM,Home,Augustana College,"Beloit, Wis.",,,"T,1-12OT",Box ScoreRecap
"October 13, 2018 (Saturday)",1:30 PM,Home,Knox College,"Beloit, Wis.",,,"L,1-2",Box ScoreRecap
"October 14, 2018 (Sunday)",1:30 PM,Home,Illinois College,"Beloit, Wis.",,,"W,5-0",Box ScoreRecap
"October 20, 2018 (Saturday)",1:30 PM,Away,Ripon College,"Ripon, Wis.",,,"L,0-1",Box ScoreRecap
"October 27, 2018 (Saturday)",2:30 PM,Away,St. Norbert College,"De Pere, Wis.",,,"L,1-2",Box ScoreRecap
