Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 20, 2024 (Tuesday)",4 p.m.,Home,Madison College,"Beloit, Wis./Strong Complex Soccer Field",,,Scrimmage,,Live StatsHistory
"August 24, 2024 (Saturday)",4 p.m.,Away,Elmhurst University,"Elmhurst, IL",,,Scrimmage,,Live StatsHistory
"August 30, 2024 (Friday)",5 p.m.,Away,University of Wisconsin-Platteville,"Platteville, WI/ Ralph E. Davis Pioneer Stadium",,,,"L,0-4",Box ScoreRecap
"August 31, 2024 (Saturday)",12 p.m.,Home,Webster University,"Beloit, Wis./Strong Complex Soccer Field",,,,"L,3-4",Box ScoreRecap
"September 4, 2024 (Wednesday)",7 p.m.,Away,Benedictine University,"Lisle, IL/ The Village of Lisle-Benedictine University Sports Complex",,,,"T,1-1",Box ScoreRecap
"September 7, 2024 (Saturday)",1 p.m.,Away,Saint Mary's University (Minn.),"Winona, MN/ Ochrymowycz Field",,,,"L,0-3",Box ScoreRecap
"September 11, 2024 (Wednesday)",4:30 pm,Home,Lakeland University,"Beloit, Wis./Strong Complex Soccer Field",,,,"W,4-0",Box ScoreRecap
"September 13, 2024 (Friday)",7 p.m.,Away,Wisconsin Lutheran College,"Milwaukee, WI/ Warriors Soccer Field",,,,"L,0-6",Box ScoreRecap
"September 15, 2024 (Sunday)",1 p.m.,Away,University of Wisconsin-Stevens Point,"Stevens Point, WI/ Point Soccer Bowl",,,,"L,0-1",Box ScoreRecap
"September 17, 2024 (Tuesday)",7 p.m.,Away,University of Dubuque,"Dubuque, IA/ Oyen Field",,,,"T,2-2",Box ScoreRecap
"September 22, 2024 (Sunday)",3:30 p.m.,Home,Kalamazoo College,"Beloit, Wis./Strong Complex Soccer Field",,,,"L,0-4",Box ScoreRecap
"September 24, 2024 (Tuesday)",5 p.m.,Away,Carroll University,"Waukesha, WI/ Schneider Stadium",,,,"L,0-1",Box ScoreRecap
"September 28, 2024 (Saturday)",1:30 p.m.,Away,Cornell College,"Mount Vernon, IA/ Cornell Soccer Field",,,,"W,4-1",Box ScoreRecap
"October 5, 2024 (Saturday)",1:30 p.m.,Home,Monmouth College,"Beloit, Wis./Strong Complex Soccer Field",,,,"T,2-2",Box ScoreRecap
"October 8, 2024 (Tuesday)",4 p.m.,Home,Lawrence University,"Beloit, Wis./Strong Complex Soccer Field",,,,"L,1-2",Box ScoreRecap
"October 12, 2024 (Saturday)",1:30 p.m.,Away,Ripon College,"Ripon, WI/ Hopp Stadium",,,,"W,1-0",Box ScoreRecapAlternate Stream
"October 19, 2024 (Saturday)",3:30 p.m.,Home,Knox College,"Beloit, Wis./Strong Complex Soccer Field",,,Senior Day,"W,1-0",Box ScoreRecap
"October 22, 2024 (Tuesday)",4 p.m.,Home,Lake Forest College,"Beloit, Wis./Strong Complex Soccer Field",,,,"L,0-1",Box ScoreRecapGallery
"October 26, 2024 (Saturday)",1:30 p.m.,Away,Grinnell College,"Grinnell, IA/ Springer Field",,,,"L,0-1",Box ScoreRecap
"November 2, 2024 (Saturday)",1:30 p.m.,Away,Illinois College,"Jacksonville, IL/ England Stadium",,,,"W,1-0",Box ScoreRecap
"November 8, 2024 (Friday)",11 a.m.,Away,Lake Forest College,"Lake Forest, IL/ Mohr Field",,,Midwest Conference Tournament,"L,0-1",Box ScoreRecap
