Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"March 6, 2016 (Sunday)",,Neutral,Baldwin Wallace,"Kissimee, Fla.",,,"L,1-2",
"March 6, 2016 (Sunday)",,Neutral,Bridgewater (VA),"Kissimee, Fla.",,,"L,3-12",
"March 7, 2016 (Monday)",,Neutral,Coe College,"Kissimee, Fla.",,,"L,0-13(5 inn.)",
"March 7, 2016 (Monday)",,Neutral,Marietta,"Kissimee, Fla.",,,"L,2-11(5 inn.)",
"March 9, 2016 (Wednesday)",,Neutral,Westminster (PA),"Kissimee, Fla.",,,"L,2-12",
"March 9, 2016 (Wednesday)",,Neutral,Mitchell,"Kissimee, Fla.",,,"W,19-3",
"March 10, 2016 (Thursday)",,Neutral,Defiance,"Kissimee, Fla.",,,"L,0-7",
"March 10, 2016 (Thursday)",,Neutral,Montclair State,"Kissimee, Fla.",,,"L,1-6(8 inn.)",
"March 11, 2016 (Friday)",,Neutral,Baldwin Wallace,"Kissimee, Fla.",,,"L,0-4",
"March 11, 2016 (Friday)",,Neutral,Mount St. Joseph,"Kissimee, Fla.",,,"L,5-7",
"March 22, 2016 (Tuesday)",,Away,Alverno,"Milwaukee, Wis.",,,"W,5-1",
"March 22, 2016 (Tuesday)",,Away,Alverno,"Milwaukee, Wis.",,,"W,2-0",
"March 30, 2016 (Wednesday)",,Away,Elmhurst College,"Elmhurst, Ill.",,,"L,3-6",
"March 30, 2016 (Wednesday)",,Away,Elmhurst College,"Elmhurst, Ill.",,,"L,1-8",
"April 2, 2016 (Saturday)",,Away,Illinois College,"Jacksonville, Ill.",,,"L,0-9(5 inn.)",
"April 2, 2016 (Saturday)",,Away,Illinois College,"Jacksonville, Ill.",,,"L,2-13(5 inn.)",
"April 3, 2016 (Sunday)",,Away,Monmouth College,"Monmouth, Ill.",,,"L,1-5",
"April 3, 2016 (Sunday)",,Away,Monmouth College,"Monmouth, Ill.",,,"L,7-8",
"April 6, 2016 (Wednesday)",,Home,Carroll University,"Beloit, Wis.",,,"L,6-15",
"April 6, 2016 (Wednesday)",,Home,Carroll University,"Beloit, Wis.",,,"L,0-6",
"April 12, 2016 (Tuesday)",,Away,Lake Forest College,"Lake Forest, Ill.",,,"L,0-9(5 inn.)",
"April 12, 2016 (Tuesday)",,Away,Lake Forest College,"Lake Forest, Ill.",,,"L,1-13(5 inn.)",
"April 14, 2016 (Thursday)",,Home,Wis.-Platteville,"Beloit, Wis.",,,"W,5-3",
"April 14, 2016 (Thursday)",,Home,Wis.-Platteville,"Beloit, Wis.",,,"L,12-14",
"April 20, 2016 (Wednesday)",,Away,Lawrence University,"Appleton, Wis.",,,"L,4-6",
"April 20, 2016 (Wednesday)",,Away,Lawrence University,"Appleton, Wis.",,,"L,5-6",
"April 23, 2016 (Saturday)",,Home,St. Norbert College,"Beloit, Wis.",,,"W,4-2",
"April 23, 2016 (Saturday)",,Home,St. Norbert College,"Beloit, Wis.",,,"L,5-6",
"April 24, 2016 (Sunday)",,Home,Ripon College,"Beloit, Wis.",,,"W,5-3",
"April 24, 2016 (Sunday)",,Home,Ripon College,"Beloit, Wis.",,,"W,8-4",
"April 26, 2016 (Tuesday)",,Away,Knox College,"Galesburg, Ill.",,,"W,16-0(5 inn.)",
"April 26, 2016 (Tuesday)",,Away,Knox College,"Galesburg, Ill.",,,"L,1-2",
"April 29, 2016 (Friday)",,Home,Grinnell College,"Beloit, Wis.",,,"W,7-6",
"April 29, 2016 (Friday)",,Home,Grinnell College,"Beloit, Wis.",,,"L,2-8(5 inn.)",
"May 1, 2016 (Sunday)",,Home,Cornell College,"Beloit, Wis.",,,"W,2-1",
"May 1, 2016 (Sunday)",,Home,Cornell College,"Beloit, Wis.",,,"L,1-9",
