Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 1, 2023 (Friday)",3:30 p.m. ET,Neutral,Wittenberg,"Baltimore, Md.",,,Gio Invitational,"L,0-3",Box ScoreRecap
"September 2, 2023 (Saturday)",1 p.m. ET,Away,Johns Hopkins,"Baltimore, Md.",,,Gio Invitational,"L,0-3",Box ScoreRecap
"September 2, 2023 (Saturday)",3 p.m. ET,Neutral,Juniata,"Baltimore, Md.",,,Gio Invitational,"L,0-3",Box ScoreRecap
"September 6, 2023 (Wednesday)",7 p.m.,Away,Rockford,"Rockford, Ill.",,,,"L,0-3",Box ScoreRecap
"September 15, 2023 (Friday)",5 p.m.,Neutral,Concordia (Minn.),"Eau Claire, Wis.",,,Sandy Schumacher Tournament,"L,0-3",Box ScoreRecap
"September 15, 2023 (Friday)",7 p.m.,Neutral,UW-Superior,"Eau Claire, Wis.",,,Sandy Schumacher Tournament,"L,0-3",Box ScoreRecap
"September 16, 2023 (Saturday)",10 a.m.,Neutral,UW-River Falls,"Eau Claire, Wis.",,,Sandy Schumacher Tournament,"L,0-3",Box ScoreRecap
"September 16, 2023 (Saturday)",2 p.m.,Neutral,Wartburg,"Eau Claire, Wis.",,,Sandy Schumacher Tournament,"L,0-3",Box ScoreRecap
"September 20, 2023 (Wednesday)",7 p.m.,Away,Eureka,"Eureka, Ill.",,,,"L,1-3",Box ScoreRecap
"September 22, 2023 (Friday)",7 p.m.,Home,Saint Mary's (IN),"Beloit, Wis./Flood Arena (Sports Center)",,,,"L,1-3",Box ScoreRecap
"September 23, 2023 (Saturday)",4 p.m.,Away,Marian (Wis.),"Fond du Lac, Wis.",,,,"L,0-3",Box ScoreRecap
"September 26, 2023 (Tuesday)",6:30 p.m.,Away,Mount Mary,"Milwaukee, Wis.",,,,"W,3-0",Box ScoreRecap
"October 3, 2023 (Tuesday)",7 p.m.,Home,Grinnell,"Beloit, Wis./Flood Arena (Sports Center)",,,,"L,0-3",Box ScoreRecap
"October 7, 2023 (Saturday)",1 p.m.,Home,Lake Forest,"Beloit, Wis./Flood Arena (Sports Center)",,,,"L,0-3",Box ScoreRecap
"October 11, 2023 (Wednesday)",7 p.m.,Home,Loras,"Beloit, Wis./Flood Arena (Sports Center)",,,,"L,0-3",Box ScoreRecap
"October 13, 2023 (Friday)",7 p.m.,Home,Knox,"Beloit, Wis./Flood Arena (Sports Center)",,,,"L,0-3",Box ScoreRecap
"October 14, 2023 (Saturday)",1 p.m.,Home,Monmouth (Ill.),"Beloit, Wis./Flood Arena (Sports Center)",,,,"L,0-3",Box ScoreRecap
"October 18, 2023 (Wednesday)",7 p.m.,Away,Cornell (Iowa),"Mount Vernon, Iowa",,,,"L,0-3",Box ScoreRecap
"October 21, 2023 (Saturday)",3 p.m.,Away,Central,"Pella, Iowa",,,Central College Tri-Match,"L,0-3",Box ScoreRecap
"October 21, 2023 (Saturday)",5:30 p.m.,Neutral,UW-La Crosse,"Pella, Iowa",,,Central College Tri-Match,"L,0-3",Box ScoreRecap
"October 24, 2023 (Tuesday)",7 p.m.,Away,Dominican (Ill.),"River Forest, Ill.",,,,"L,0-3",Box ScoreRecap
"October 27, 2023 (Friday)",7 p.m.,Away,Lawrence,"Appleton, Wis.",,,,"L,2-3",Box ScoreRecap
"October 28, 2023 (Saturday)",1 p.m.,Away,Ripon,"Ripon, Wis.",,,,"L,1-3",Box ScoreRecap
"November 2, 2023 (Thursday)",6:30 p.m.,Home,Mount Mary,"Beloit, Wis./Flood Arena (Sports Center)",,,Senior Day,"L,0-3",Box ScoreRecapProgram
"November 4, 2023 (Saturday)",12 p.m.,Away,Illinois College,"Jacksonville, Ill.",,,Illinois College Tri-Match,"L,0-3",Box ScoreRecap
"November 4, 2023 (Saturday)",2 p.m.,Neutral,Wartburg,"Jacksonville, Ill.",,,Illinois College Tri-Match,"L,0-3",Box ScoreRecap
