Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 3, 2016 (Saturday)",7:00 PM,Away,Iowa Wesleyan,Mount Pleasant,,,"W,51-21",Box Score
"September 10, 2016 (Saturday)",7:00 PM,Home,Coe College,Mount Vernon,,,"L,6-63",Box Score
"September 17, 2016 (Saturday)",1:00 PM,Home,Lake Forest,Mount Vernon,,,"L,13-55",Box Score
"September 24, 2016 (Saturday)",1:00 PM,Away,Beloit,"Beloit, Wis.",,,"W,46-41",Box Score
"October 1, 2016 (Saturday)",1:00 PM,Away,Monmouth,"Monmouth, Ill.",,,"L,14-57",Box Score
"October 8, 2016 (Saturday)",1:00 PM,Home,Illinois College,Mount Vernon,,,"L,37-38",Box Score
"October 22, 2016 (Saturday)",2:00 PM,Home,Knox College,Mount Vernon,,,"W,28-24",Box Score
"October 29, 2016 (Saturday)",1:00 PM,Away,Macalester College,"St. Paul, Minn.",,,"L,36-48",Box Score
"November 5, 2016 (Saturday)",1:00 PM,Home,Ripon College,Mount Vernon,,,"W,31-28",Box Score
"November 12, 2016 (Saturday)",12:00 PM,Away,Grinnell,Grinnell,,,"W,52-20",Box Score
