Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 22, 2021 (Sunday)",5:00 PM,Away,Mount Mercy,Cedar Rapids,,,,
"September 1, 2021 (Wednesday)",5:00 PM,Home,Mount Mercy,Mount Vernon,,,"W,1-0",Box ScoreRecap
"September 3, 2021 (Friday)",5:00 PM,Home,Carleton College,Mount Vernon,,,"L,2-3",Box ScoreRecap
"September 5, 2021 (Sunday)",4:00 PM,Home,Central,Mount Vernon,,,"L,0-1",Box ScoreRecap
"September 11, 2021 (Saturday)",3:00 PM,Away,Viterbo University,"La Crosse, Wis.",,,"L,1-3",Box ScoreRecap
"September 12, 2021 (Sunday)",12:00 PM,Away,UW-Stout,"Menomonie, Wis.",,,"L,0-1",Box ScoreRecap
"September 18, 2021 (Saturday)",2:00 P.M.,Home,Coe College,Mount Vernon,,,"W,2-0",Box ScoreRecap
"September 20, 2021 (Monday)",5:00 PM,Home,Iowa Wesleyan,Mount Vernon,,,Canceled,
"September 22, 2021 (Wednesday)",5:00 PM,Home,Clarke University,Mount Vernon,,,"L,1-2",Box ScoreRecap
"September 23, 2021 (Thursday)",4:30 PM,Home,Iowa Wesleyan,Mount Vernon,,,"W,3-1",Box ScoreRecap
"September 24, 2021 (Friday)",5:00 PM,Home,Maranatha,Mount Vernon,,,"W,4-0",Box ScoreRecap
"September 26, 2021 (Sunday)",2:00 PM,Home,Waldorf University,Mount Vernon,,,"W,2-0",Box ScoreRecap
"October 2, 2021 (Saturday)",11:00 AM,Away,Ripon College,"Ripon, Wis.",,,"W,3-0",Box ScoreRecap
"October 5, 2021 (Tuesday)",4:30 PM,Home,Grinnell,Mount Vernon,,,"T,1-1",Box ScoreRecap
"October 9, 2021 (Saturday)",7:00 PM,Away,Valparaiso,"Valparaiso, IN",,,"L,0-5",Box ScoreRecap
"October 14, 2021 (Thursday)",5:00 PM,Away,Illinois College,"Jacksonville, Ill.",,,Postponed,
"October 16, 2021 (Saturday)",11:00 AM,Home,Lake Forest,Mount Vernon,,,"L,0-1",Box ScoreRecap
"October 19, 2021 (Tuesday)",3:45 PM,Home,Knox College,Mount Vernon,,,"L,0-2",Box ScoreRecap
"October 23, 2021 (Saturday)",11:00 AM,Home,Lawrence,Mount Vernon,,,"L,0-1",Box ScoreRecap
"October 24, 2021 (Sunday)",2:00 PM,Away,Illinois College,"Jacksonville, IL",,,"W,2-0",Box ScoreRecap
"October 26, 2021 (Tuesday)",3:45 PM,Away,Monmouth,"Monmouth, Ill.",,,"L,0-2",Box ScoreRecap
"October 30, 2021 (Saturday)",11:00 AM,Away,Beloit,"Beloit, Wis.",,,"L,0-1",Box ScoreRecap
