Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 19, 2025 (Tuesday)",TBA,Home,TBA,TBA,,,,,
"August 25, 2025 (Monday)",5:00 PM,Home,Wartburg,"Mount Vernon, IA/Cornell Soccer Field",,,,,History
"August 30, 2025 (Saturday)",2:00 PM,Home,North Central (MN),"Mount Vernon, IA/Cornell Soccer Field",,,,,History
"September 3, 2025 (Wednesday)",6:00 PM,Away,Edgewood,"Madison, WI",,,,,History
"September 7, 2025 (Sunday)",11:00 AM,Home,Minnesota Morris,"Mount Vernon, IA/Cornell Soccer Field",,,,,History
"September 9, 2025 (Tuesday)",TBA,Away,Simpson,"Indianola, IA",,,,,History
"September 12, 2025 (Friday)",4:00 PM,Home,Augustana (IL),"Mount Vernon, IA/Cornell Soccer Field",,,,,History
"September 13, 2025 (Saturday)",4:00 PM,Neutral,Augustana vs. Nebraska Wesleyan,"Mount Vernon, IA/Cornell Soccer Field",,,,,History
"September 14, 2025 (Sunday)",3:00 PM,Home,Nebraska Wesleyan,"Mount Vernon, IA/Cornell Soccer Field",,,,,History
"September 18, 2025 (Thursday)",4:30 PM,Home,UW-Stout,"Mount Vernon, IA/Cornell Soccer Field",,,,,History
"September 20, 2025 (Saturday)",2:00 PM,Away,UW-Whitewater,"Whitewater, WI",,,,,History
"September 24, 2025 (Wednesday)",4:30 PM,Home,Coe,"Mount Vernon, IA/Cornell Soccer Field",,,,,History
"September 27, 2025 (Saturday)",2:00 PM,Away,Webster,"St. Louis, MO",,,,,History
"September 30, 2025 (Tuesday)",4:00 PM,Away,Ripon,"Ripon, WI",,,,,History
"October 4, 2025 (Saturday)",11:00 AM,Away,Lawrence,"Appleton, WI",,,,,History
"October 8, 2025 (Wednesday)",4:00 PM,Home,Grinnell,"Mount Vernon, IA/Cornell Soccer Field",,,,,History
"October 11, 2025 (Saturday)",11:00 AM,Away,Illinois College,"Jacksonville, IL",,,,,History
"October 18, 2025 (Saturday)",11:00 AM,Home,Lake Forest,"Mount Vernon, IA/Cornell Soccer Field",,,,,History
"October 25, 2025 (Saturday)",11:00 AM,Home,Monmouth,"Mount Vernon, IA/Cornell Soccer Field",,,,,History
"October 28, 2025 (Tuesday)",4:00 PM,Home,Knox,"Mount Vernon, IA/Cornell Soccer Field",,,,,History
"November 1, 2025 (Saturday)",11:00 AM,Away,Beloit,"Beloit, WI",,,,,History
"November 7, 2025 (Friday)",TBA,Away,MWC Tournament,No. 1 seed,,,MWC Tournament,,History
