Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"April 3, 2021 (Saturday)",1:00 PM,Away,Monmouth,"Monmouth, Ill.",,,"W,7-6(8 Innings)",Box ScoreRecap
"April 3, 2021 (Saturday)",1:00 PM,Away,Monmouth,"Monmouth, Ill.",,,"W,13-0(5 Innings)",Box ScoreRecap
"April 6, 2021 (Tuesday)",3:00 PM,Away,Knox College,"Galesburg, Ill.",,,"W,9-0(5 Innings)",Box ScoreRecap
"April 6, 2021 (Tuesday)",3:00 PM,Away,Knox College,"Galesburg, Ill.",,,"W,8-3",Box ScoreRecap
"April 10, 2021 (Saturday)",1:00 PM,Away,Grinnell,Grinnell,,,Postponed,
"April 10, 2021 (Saturday)",1:00 PM,Away,Grinnell,Grinnell,,,Postponed,
"April 11, 2021 (Sunday)",3:00 PM,Away,Illinois College,"Jacksonville, Ill.",,,"L,1-2",Box ScoreRecap
"April 11, 2021 (Sunday)",3:00 PM,Away,Illinois College,"Jacksonville, Ill.",,,"W,5-0",Box ScoreRecap
"April 17, 2021 (Saturday)",1:00 PM,Away,Monmouth,"Monmouth, Ill.",,,"W,7-6",Box ScoreRecap
"April 17, 2021 (Saturday)",1:00 PM,Away,Monmouth,"Monmouth, Ill.",,,"W,7-6(10 Innings)",Box ScoreRecap
"April 18, 2021 (Sunday)",1:00 PM,Away,Knox College,"Galesburg, Ill.",,,"W,10-2(5 Innings)",Box ScoreRecap
"April 18, 2021 (Sunday)",1:00 PM,Away,Knox College,"Galesburg, Ill.",,,"L,2-3",Box ScoreRecap
"April 24, 2021 (Saturday)",1:00 PM,Away,Grinnell,Grinnell,,,"W,11-3(6 Innings)",Box ScoreRecap
"April 24, 2021 (Saturday)",1:00 PM,Away,Grinnell,Grinnell,,,"L,5-6(9 Innings)",Box ScoreRecap
"April 25, 2021 (Sunday)",1:00 PM,Away,Illinois College,"Jacksonville, Ill.",,,"L,1-4",Box ScoreRecap
"April 25, 2021 (Sunday)",1:00 PM,Away,Illinois College,"Jacksonville, Ill.",,,"L,0-1(8 Innings)",Box ScoreRecap
"May 1, 2021 (Saturday)",1:00 PM,Away,Monmouth,"Monmouth, Ill.",,,"W,8-6",Box ScoreRecap
"May 1, 2021 (Saturday)",1:00 PM,Away,Monmouth,"Monmouth, Ill.",,,"W,8-4",Box ScoreRecap
"May 2, 2021 (Sunday)",1:00 PM,Away,Grinnell,Grinnell,,,"L,1-8",Box ScoreRecap
"May 2, 2021 (Sunday)",1:00 PM,Away,Grinnell,Grinnell,,,"L,3-4",Box ScoreRecap
"May 8, 2021 (Saturday)",12:00 PM,Away,Knox College,"Galesburg, Ill.",,,"W,1-0",Box ScoreRecap
"May 8, 2021 (Saturday)",12:00 PM,Away,Knox College,"Galesburg, Ill.",,,"W,8-0(6 Innings)",Box ScoreRecap
"May 9, 2021 (Sunday)",1:00 PM,Away,Illinois College,"Jacksonville, Ill.",,,Canceled,
"May 9, 2021 (Sunday)",1:00 PM,Away,Illinois College,"Jacksonville, Ill.",,,Canceled,
