Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 25, 2022 (Sunday)",11:00 AM,Away,Mount Mercy,"Cedar Rapids, IA",,,,,
"September 25, 2022 (Sunday)",1:00 PM,Neutral,Southeastern CC,"Cedar Rapids, IA",,,,,
"March 12, 2023 (Sunday)",8:00 AM,Neutral,Mount Saint Mary (NY),"Clermont, FL",,,Spring Games,"L,3-9",Box ScoreRecap
"March 12, 2023 (Sunday)",10:30 AM,Neutral,Simpson,"Clermont, FL",,,Spring Games,"L,7-9",Box ScoreRecap
"March 14, 2023 (Tuesday)",1:00 PM,Neutral,St. Norbert,"Auburndale, FL",,,Spring Games,"W,12-7",Box ScoreRecap
"March 14, 2023 (Tuesday)",3:30 PM,Neutral,Saint Mary's (IN),"Auburndale, FL",,,Spring Games,"W,11-9",Box ScoreRecap
"March 17, 2023 (Friday)",8:00 AM,Neutral,Roger Williams,"Winter Haven, FL",,,Spring Games,"L,3-6",Box ScoreRecap
"March 17, 2023 (Friday)",10:30 AM,Neutral,Minnesota Morris,"Winter Haven, FL",,,Spring Games,"W,11-4",Box ScoreRecap
"March 24, 2023 (Friday)",4:00 pm,Home,Dubuque,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"L,5-6",Box ScoreRecap
"March 24, 2023 (Friday)",6:00 pm,Home,Dubuque,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"W,3-29 inn.",Box ScoreRecap
"March 28, 2023 (Tuesday)",4:00 PM,Home,Coe,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"L,4-126 inn.",Box ScoreRecap
"March 28, 2023 (Tuesday)",6:00 PM,Home,Coe,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"L,1-6",Box ScoreRecap
"March 30, 2023 (Thursday)",4:00 PM,Home,Simpson,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"L,1-3",Box ScoreRecap
"March 30, 2023 (Thursday)",6:00 PM,Home,Simpson,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"L,2-3",Box ScoreRecap
"April 1, 2023 (Saturday)",2:00 PM,Home,Luther,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"L,0-6",Box ScoreRecap
"April 1, 2023 (Saturday)",4:00 PM,Home,Luther,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"L,2-125 inn.",Box ScoreRecap
"April 2, 2023 (Sunday)",1:00 PM,Home,UW-Platteville,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"L,1-6",Box ScoreRecap
"April 2, 2023 (Sunday)",3:00 PM,Home,UW-Platteville,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"W,4-2",Box ScoreRecap
"April 7, 2023 (Friday)",2:00 PM,Neutral,Lawrence,"Green Bay, WI",,,,"W,15-7",Box ScoreRecap
"April 7, 2023 (Friday)",4:00 PM,Neutral,Lawrence,"Green Bay, WI",,,,"W,13-35 inn.",Box ScoreRecap
"April 8, 2023 (Saturday)",1:00 PM,Away,Ripon,"Ripon, WI",,,,"W,8-05 inn.",Box ScoreRecap
"April 8, 2023 (Saturday)",3:00 PM,Away,Ripon,"Ripon, WI",,,,"W,4-0",Box ScoreRecap
"April 13, 2023 (Thursday)",1:00 PM,Away,Eureka,"Eureka, IL",,,,"L,3-4",Box ScoreRecap
"April 13, 2023 (Thursday)",3:00 PM,Away,Eureka,"Eureka, IL",,,,"L,5-6",Box ScoreRecap
"April 14, 2023 (Friday)",6:00 PM,Home,Beloit,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"W,1-08 inn.",Box ScoreRecap
"April 14, 2023 (Friday)",8:00 PM,Home,Beloit,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"W,5-4",Box ScoreRecap
"April 17, 2023 (Monday)",4:00 PM,Home,Lake Forest,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"L,3-5",Box ScoreRecap
"April 17, 2023 (Monday)",6:00 PM,Home,Lake Forest,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"L,4-5",Box ScoreRecap
"April 22, 2023 (Saturday)",1:00 PM,Away,Illinois College,"Jacksonville, IL",,,,"L,1-7",Box ScoreRecap
"April 22, 2023 (Saturday)",3:00 PM,Away,Illinois College,"Jacksonville, IL",,,,"L,2-105 inn.",Box ScoreRecap
"April 23, 2023 (Sunday)",1:00 PM,Away,Loras,"Dubuque, IA",,,,Postponed,
"April 23, 2023 (Sunday)",3:00 PM,Away,Loras,"Dubuque, IA",,,,Postponed,
"April 29, 2023 (Saturday)",12:00 PM,Away,Grinnell,"Grinnell, IA",,,,"L,3-5",Box ScoreRecap
"April 29, 2023 (Saturday)",2:00 PM,Away,Grinnell,"Grinnell, IA",,,,"L,3-205 inn.",Box ScoreRecap
"April 30, 2023 (Sunday)",1:00 PM,Home,Monmouth,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"W,12-45 inn.",Box ScoreRecap
"April 30, 2023 (Sunday)",3:00 PM,Home,Monmouth,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"W,8-3",Box ScoreRecap
"May 6, 2023 (Saturday)",1:00 PM,Home,Knox,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"W,6-1",Box ScoreRecap
"May 6, 2023 (Saturday)",3:00 PM,Home,Knox,"Mount Vernon, IA/Van Metre Family Softball Field",,,,"L,3-8",Box ScoreRecap
"May 12, 2023 (Friday)",12:00 PM,Away,Illinois College,"Jacksonville, IL",,,MWC Tournament,"L,1-2",Box ScoreRecapTournament Page
"May 12, 2023 (Friday)",2:45 PM,Neutral,Lake Forest,"Jacksonville, IL",,,MWC Tournament,"L,2-116 inn.",Box ScoreRecap
