Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"March 14, 1995 (Tuesday)",,Away,Mount Mercy,"Cedar Rapids, IA",,,"W,1-0(forfeit)",
"March 18, 1995 (Saturday)",,Neutral,Blackburn,"Wichita, KS",,,"W,7-0",
"March 18, 1995 (Saturday)",,Neutral,Rockhurst University,"Wichita, KS",,,"L,4-11",
"March 18, 1995 (Saturday)",,Neutral,Westmar,"Wichita, KS",,,"L,2-13",
"March 19, 1995 (Sunday)",,Neutral,York College (Neb.),"Wichita, KS",,,"W,9-8",
"March 19, 1995 (Sunday)",,Neutral,Blackburn,"Wichita, KS",,,"L,1-10",
"March 19, 1995 (Sunday)",,Away,Friends University (Kan.),"Wichita, KS",,,"L,6-8",
"March 21, 1995 (Tuesday)",,Away,Blackburn,"Carlinville, IL",,,"L,5-12",
"March 21, 1995 (Tuesday)",,Away,Blackburn,"Carlinville, IL",,,"L,9-10",
"March 23, 1995 (Thursday)",,Away,DePauw,"Greencastle, IN",,,"L,2-11",
"March 23, 1995 (Thursday)",,Away,DePauw,"Greencastle, IN",,,"W,5-2",
"March 25, 1995 (Saturday)",,Away,Hanover College,"Hanover, IN",,,"L,1-9",
"March 25, 1995 (Saturday)",,Away,Hanover College,"Hanover, IN",,,"L,1-10",
"March 31, 1995 (Friday)",,Home,ST. SCHOLASTICA,"Grinnell, IA",,,"L,4-15",
"March 31, 1995 (Friday)",,Home,ST. SCHOLASTICA,"Grinnell, IA",,,"L,6-11",
"April 4, 1995 (Tuesday)",,Home,CORNELL,"Grinnell, IA",,,"L,5-7",
"April 4, 1995 (Tuesday)",,Home,CORNELL,"Grinnell, IA",,,"W,13-12",
"April 8, 1995 (Saturday)",,Home,KNOX,"Grinnell, IA",,,"W,9-7",
"April 8, 1995 (Saturday)",,Home,KNOX,"Grinnell, IA",,,"W,4-1",
"April 11, 1995 (Tuesday)",,Home,WILLIAM PENN,"Grinnell, IA",,,"L,12-29",
"April 15, 1995 (Saturday)",,Away,Monmouth,"Monmouth, IL",,,"L,14-18",
"April 15, 1995 (Saturday)",,Away,Monmouth,"Monmouth, IL",,,"L,2-16",
"April 21, 1995 (Friday)",,Neutral,Illinois College,"Cedar Rapids, IA",,,"L,2-4",
"April 22, 1995 (Saturday)",,Neutral,Knox,"Cedar Rapids, IA",,,"L,4-5",
"April 22, 1995 (Saturday)",,Neutral,Monmouth,"Cedar Rapids, IA",,,"L,4-12",
"April 30, 1995 (Sunday)",,Home,WARTBURG,"Grinnell, IA",,,"L,2-9",
"April 30, 1995 (Sunday)",,Home,WARTBURG,"Grinnell, IA",,,"W,12-9",
"May 2, 1995 (Tuesday)",,Home,CENTRAL,"Grinnell, IA",,,"L,0-11",
"May 2, 1995 (Tuesday)",,Home,CENTRAL,"Grinnell, IA",,,"L,3-17",
"May 5, 1995 (Friday)",,Away,Coe,"Cedar Rapids, IA",,,"L,5-6",
"May 5, 1995 (Friday)",,Away,Coe,"Cedar Rapids, IA",,,"L,5-15",
"May 7, 1995 (Sunday)",,Away,Illinois College,"Jacksonville, IL",,,"L,16-17",
"May 7, 1995 (Sunday)",,Away,Illinois College,"Jacksonville, IL",,,"L,9-10",
