Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"December 6, 1974 (Friday)",,Home,William Penn,"Grinnell, IA",,,"L,55-70",
"December 18, 1974 (Wednesday)",,Neutral,Knox,"Colorado Springs, CO",,,"L,58-76",
"December 19, 1974 (Thursday)",,Neutral,Chicago,"Colorado Springs, CO",,,"L,50-60",
"December 29, 1974 (Sunday)",,Away,William Penn,"Oskaloosa, IA",,,"L,47-72",
"December 30, 1974 (Monday)",,Neutral,Graceland,"Oskaloosa, IA",,,"W,81-75",
"January 17, 1975 (Friday)",,Home,Lake Forest,"Grinnell, IA",,,"L,57-66",
"January 18, 1975 (Saturday)",,Home,Lawrence,"Grinnell, IA",,,"W,93-63",
"January 24, 1975 (Friday)",,Away,Ripon,"Ripon, WI",,,"L,64-78",
"January 25, 1975 (Saturday)",,Away,Beloit,"Beloit, WI",,,"W,54-50",
"January 31, 1975 (Friday)",,Home,Coe,"Grinnell, IA",,,"L,66-86",
"February 1, 1975 (Saturday)",,Home,Knox,"Grinnell, IA",,,"W,64-58",
"February 3, 1975 (Monday)",,Away,Carleton,"Northfield, MN",,,"L,65-80",
"February 7, 1975 (Friday)",,Away,Coe,"Cedar Rapids, IA",,,"L,70-85",
"February 8, 1975 (Saturday)",,Away,Cornell,"Mount Vernon, IA",,,"L,50-58",
"February 14, 1975 (Friday)",,Away,Lake Forest,"Lake Forest, IL",,,"L,60-70",
"February 15, 1975 (Saturday)",,Away,Lawrence,"Appleton, WI",,,"W,56-45",
"February 18, 1975 (Tuesday)",,Away,Knox,"Galesburg, IL",,,"L,64-79",
"February 21, 1975 (Friday)",,Home,Ripon,"Grinnell, IA",,,"W,69-59",
"February 22, 1975 (Saturday)",,Home,Beloit,"Grinnell, IA",,,"L,50-71",
"February 23, 1975 (Sunday)",,Home,Chicago,"Grinnell, IA",,,"W,63-50",
"February 28, 1975 (Friday)",,Home,Cornell,"Grinnell, IA",,,"L,59-62",
"March 1, 1975 (Saturday)",,Home,Carleton,"Grinnell, IA",,,"W,82-67",
