Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 1, 2007 (Saturday)",,Away,Kenyon,"Gambier, OH",,,"L,35-70",
"September 8, 2007 (Saturday)",,Home,St. Norbert,"Grinnell, IA",,,"L,13-35",
"September 15, 2007 (Saturday)",,Away,Carroll,"Waukesha, WI",,,"L,0-42",
"September 22, 2007 (Saturday)",,Home,Lawrence,"Grinnell, IA",,,"W,24-19",
"September 29, 2007 (Saturday)",,Away,Monmouth,"Monmouth, IL",,,"L,0-42",
"October 6, 2007 (Saturday)",,Away,Knox,"Galesburg, IL",,,"L,7-38",
"October 13, 2007 (Saturday)",,Home,Lake Forest,"Grinnell, IA",,,"L,14-28",
"October 20, 2007 (Saturday)",,Away,Illinois College,"Jacksonville, IL",,,"L,21-49",
"October 27, 2007 (Saturday)",,Home,Ripon,"Grinnell, IA",,,"L,21-47",
"November 3, 2007 (Saturday)",,Away,Beloit,"Beloit, WI",,,"L,13-16",
