Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 30, 2002 (Friday)",,Home,Cornell,"Grinnell, IA",,,"W,5-1",
"September 9, 2002 (Monday)",,Away,Coe,"Cedar Rapids, IA",,,"W,5-0",
"September 14, 2002 (Saturday)",,Away,Monmouth,"Monmouth, IL",,,"L,0-1",
"September 19, 2002 (Thursday)",,Home,Central,"Grinnell, IA",,,"L,0-1",
"September 21, 2002 (Saturday)",,Home,Beloit,"Grinnell, IA",,,"L,0-2",
"September 26, 2002 (Thursday)",,Home,Colorado,"Grinnell, IA",,,"L,0-1",
"September 29, 2002 (Sunday)",,Away,Knox,"Galesburg, IL",,,"W,2-0",
"October 5, 2002 (Saturday)",,Home,St. Norbert,"Grinnell, IA",,,"W,2-1",
"October 6, 2002 (Sunday)",,Home,Lawrence,"Grinnell, IA",,,"W,4-1",
"October 12, 2002 (Saturday)",,Home,Lake Forest,"Grinnell, IA",,,"L,0-3",
"October 14, 2002 (Monday)",,Home,William Penn,"Grinnell, IA",,,"L,2-3",
"October 23, 2002 (Wednesday)",,Away,Carleton,"Northfield, MN",,,"L,1-2",
"October 26, 2002 (Saturday)",,Away,Ripon,"Ripon, WI",,,"W,3-0",
"October 27, 2002 (Sunday)",,Away,Carroll,"Waukesha, WI",,,"L,1-2",
"November 2, 2002 (Saturday)",,Away,Illinois College,"Jacksonville, IL",,,"T,0-0",
