Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"February 17, 1999 (Wednesday)",,Neutral,Washington University,"Cedar Rapids, IA",,,"L,1-6",
"February 17, 1999 (Wednesday)",,Away,Coe,"Cedar Rapids, IA",,,"W,5-2",
"February 27, 1999 (Saturday)",,Home,Millikin,"Grinnell, IA",,,"W,6-1",
"February 27, 1999 (Saturday)",,Home,Macalester,"Grinnell, IA",,,"W,4-3",
"March 6, 1999 (Saturday)",,Home,Cornell,"Grinnell, IA",,,"W,7-0",
"March 6, 1999 (Saturday)",,Home,Nebraska Wesleyan,"Grinnell, IA",,,"W,7-0",
"March 13, 1999 (Saturday)",,Home,Central,"Grinnell, IA",,,"W,4-3",
"March 13, 1999 (Saturday)",,Home,Augustana,"Grinnell, IA",,,"W,7-0",
"March 20, 1999 (Saturday)",,Away,Luther,"Decorah, IA",,,"L,3-4",
"March 23, 1999 (Tuesday)",,Neutral,Carleton,"Orlando, FL",,,"W,6-1",
"March 25, 1999 (Thursday)",,Neutral,Oberlin,"Orlando, FL",,,"W,7-0",
"March 26, 1999 (Friday)",,Neutral,Tufts University,"Orlando, FL",,,"L,2-5",
"April 9, 1999 (Friday)",,Neutral,Illinois College,"Galesburg, IL",,,"W,6-0",
"April 9, 1999 (Friday)",,Away,Knox,"Galesburg, IL",,,"W,4-3",
"April 10, 1999 (Saturday)",,Neutral,Beloit,"Galesburg, IL",,,"W,6-0",
"April 10, 1999 (Saturday)",,Neutral,Carroll,"Galesburg, IL",,,"W,6-0",
"April 16, 1999 (Friday)",,Home,Ripon,"Grinnell, IA",,,"L,1-6",
"April 18, 1999 (Sunday)",,Away,Lake Forest,"Lake Forest, IL",,,"L,3-4",
"April 21, 1999 (Wednesday)",,Away,Cornell,"Mount Vernon, IA",,,"W,7-0",
"April 24, 1999 (Saturday)",,Away,Augustana Invite,"Rock Island, IL",,,1st/5 Teams,
"April 30, 1999 (Friday)",,Neutral,Ripon (MWC Tournament Semifinal),"Madison, WI",,,"W,4-3",
"April 30, 1999 (Friday)",,Neutral,Lake Forest (MWC Tournament Championship),"Madison, WI",,,"L,0-4",
"May 1, 1999 (Saturday)",,Neutral,Midwest Conference Tournament,"Madison, WI",,,2nd/9 Teams,
