Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"November 18, 2006 (Saturday)",,Home,Colorado College,"Grinnell, IA",,,"L,63-68",
"November 19, 2006 (Sunday)",,Home,Coe,"Grinnell, IA",,,"W,76-71",
"November 22, 2006 (Wednesday)",,Away,Central,"Pella, IA",,,"W,80-70",
"November 25, 2006 (Saturday)",,Away,MacMurray,"Jacksonville, IL",,,"W,54-50",
"December 2, 2006 (Saturday)",,Away,Carroll,"Waukesha, WI",,,"L,51-66",
"December 3, 2006 (Sunday)",,Away,St. Norbert,"De Pere, WI",,,"L,62-82",
"December 6, 2006 (Wednesday)",,Home,Monmouth,"Grinnell, IA",,,"W,77-74",
"December 9, 2006 (Saturday)",,Home,Ashford,"Grinnell, IA",,,"W,79-65",
"December 16, 2006 (Saturday)",,Home,Dana College (Neb.),"Grinnell, IA",,,"L,61-91",
"January 6, 2007 (Saturday)",,Away,Lake Forest,"Lake Forest, IL",,,"L,51-75",
"January 12, 2007 (Friday)",,Home,Lawrence,"Grinnell, IA",,,"W,57-55",
"January 13, 2007 (Saturday)",,Home,Beloit,"Grinnell, IA",,,"L,56-57",
"January 16, 2007 (Tuesday)",,Away,Clarke,"Dubuque, IA",,,"L,51-63",
"January 19, 2007 (Friday)",,Away,Ripon,"Ripon, WI",,,"L,83-92",
"January 20, 2007 (Saturday)",,Away,Lawrence,"Appleton, WI",,,"L,38-76",
"January 23, 2007 (Tuesday)",,Home,Knox,"Grinnell, IA",,,"W,89-76",
"January 27, 2007 (Saturday)",,Away,Illinois College,"Jacksonville, IL",,,"L,60-69",
"January 30, 2007 (Tuesday)",,Away,Monmouth,"Monmouth, IL",,,"L,63-79",
"February 2, 2007 (Friday)",,Home,Carroll,"Grinnell, IA",,,"L,55-75",
"February 3, 2007 (Saturday)",,Home,St. Norbert,"Grinnell, IA",,,"L,58-74",
"February 10, 2007 (Saturday)",,Home,Lake Forest,"Grinnell, IA",,,"L,36-58",
"February 14, 2007 (Wednesday)",,Away,Knox,"Galesburg, IL",,,"W,74-62",
"February 17, 2007 (Saturday)",,Home,Illinois College,"Grinnell, IA",,,"W,84-78",
