Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"November 11, 2023 (Saturday)",3 p.m.,Away,Crown College,"St. Bonifacius, MN",,,,"W,77-45",Box ScoreRecap
"November 15, 2023 (Wednesday)",8 p.m.,Home,Central College,"Grinnell, IA/Darby Gymnasium",,,,"L,57-62",Box ScoreRecap
"November 17, 2023 (Friday)",7 p.m.,Home,Coe College,"Grinnell, IA/Darby Gymnasium",,,,"L,63-73",Box ScoreRecap
"November 19, 2023 (Sunday)",2 p.m.,Home,Waldorf (Iowa),"Grinnell, IA/Darby Gymnasium",,,,"W,74-70",Box ScoreRecap
"November 21, 2023 (Tuesday)",6 p.m.,Away,Buena Vista University,"Storm Lake, IA",,,,"W,79-68",Box ScoreRecap
"November 25, 2023 (Saturday)",3 p.m.,Home,Lake Forest College,"Grinnell, IA/Darby Gymnasium",,,,"W,64-40",Box ScoreRecap
"November 28, 2023 (Tuesday)",7:30 p.m.,Away,Knox College,"Galesburg, IL",,,,"W,71-55",Box ScoreRecap
"December 2, 2023 (Saturday)",3 p.m.,Home,Lawrence University,"Grinnell, IA/Darby Gymnasium",,,,"L,58-62",Box ScoreRecap
"December 6, 2023 (Wednesday)",7:30 p.m.,Home,Cornell College,"Grinnell, IA/Darby Gymnasium",,,,"W,72-65",Box ScoreRecap
"December 10, 2023 (Sunday)",3 p.m.,Home,College of Saint Benedict,"Grinnell, IA/Darby Gymnasium",,,,"W,70-63(OT)",Box ScoreRecap
"December 29, 2023 (Friday)",5 p.m. Eastern,Neutral,University of Wisconsin-Stevens Point,"St. Petersburg, FL",,,St. Pete Classic,"L,48-67",Box ScoreRecap
"December 30, 2023 (Saturday)",5 p.m. Eastern,Neutral,Keene State,"St. Petersburg, FL",,,St. Pete Classic,"W,46-33",Box ScoreRecap
"January 4, 2024 (Thursday)",7:30 p.m.,Away,Ripon College,"Ripon, WI",,,,"L,46-50",Box ScoreRecap
"January 6, 2024 (Saturday)",3 p.m.,Away,Lawrence University,"Appleton, WI",,,,"L,59-62(OT)",Box ScoreRecap
"January 10, 2024 (Wednesday)",7:30 p.m.,Home,Beloit College,"Grinnell, IA/Darby Gymnasium",,,,"W,65-57",Box ScoreRecap
"January 17, 2024 (Wednesday)",7:30 p.m.,Away,Monmouth College,"Monmouth, IL",,,,"W,82-74",Box ScoreRecap
"January 20, 2024 (Saturday)",3 p.m.,Home,Ripon College,"Grinnell, IA/Darby Gymnasium",,,,"L,57-74",Box ScoreRecap
"January 23, 2024 (Tuesday)",7:30 p.m.,Home,Knox College,"Grinnell, IA/Darby Gymnasium",,,,"W,97-91(OT)",Box ScoreRecap
"January 27, 2024 (Saturday)",5 p.m.,Away,Illinois College,"Jacksonville, IL",,,,"L,55-61",Box ScoreRecap
"January 31, 2024 (Wednesday)",7:30 p.m.,Away,Cornell College,"Mount Vernon, IA",,,,"W,59-44",Box ScoreRecap
"February 3, 2024 (Saturday)",3 p.m.,Away,Lake Forest College,"Lake Forest, IL",,,,"L,62-83",Box ScoreRecap
"February 7, 2024 (Wednesday)",7:30 p.m.,Home,Illinois College,"Grinnell, IA/Darby Gymnasium",,,,"W,78-63",Box ScoreRecap
"February 14, 2024 (Wednesday)",7:30 p.m.,Away,Beloit College,"Beloit, WI",,,,"L,52-54",Box ScoreRecap
"February 17, 2024 (Saturday)",3 p.m.,Home,Monmouth College,"Grinnell, IA/Darby Gymnasium",,,,"W,83-71",Box ScoreRecap
