Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 9, 1989 (Saturday)",,Home,Ripon,"Grinnell, IA",,,"W,6-0",
"September 10, 1989 (Sunday)",,Home,Tarkio,"Grinnell, IA",,,"W,3-1",
"September 13, 1989 (Wednesday)",,Home,Cornell,"Grinnell, IA",,,"W,5-0",
"September 23, 1989 (Saturday)",,Away,Lake Forest,"Lake Forest, IL",,,"L,0-4",
"September 24, 1989 (Sunday)",,Away,Beloit,"Beloit, WI",,,"W,2-1",
"September 27, 1989 (Wednesday)",,Away,Knox,"Galesburg, WI",,,"W,1-0",
"October 1, 1989 (Sunday)",,Home,St. Benedict,"Grinnell, IA",,,"W,2-0",
"October 6, 1989 (Friday)",,Away,Wisconsin-Stevens Point,"Stevens Point, WI",,,"L,0-1",
"October 7, 1989 (Saturday)",,Away,Ripon,"Ripon, WI",,,"W,6-2",
"October 14, 1989 (Saturday)",,Home,St. Norbert,"Grinnell, IA",,,"W,2-1",
"October 15, 1989 (Sunday)",,Home,Lawrence,"Grinnell, IA",,,"W,3-1",
"October 18, 1989 (Wednesday)",,Away,Tarkio,"Tarkio, MO",,,"L,0-1",
"October 21, 1989 (Saturday)",,Home,Carleton,"Grinnell, IA",,,"L,1-2",
"October 24, 1989 (Tuesday)",,Home,Wartburg,"Grinnell, IA",,,"W,7-0",
