Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 1, 2022 (Thursday)",4:30 p.m.,Home,University of Dubuque,"Grinnell, IA/Springer Field",,,,"T,0-0",Box ScoreRecap
"September 3, 2022 (Saturday)",2:30 p.m.,Home,Coe College,"Grinnell, IA/Springer Field",,,,"W,1-0",Box ScoreRecap
"September 10, 2022 (Saturday)",3:30 p.m.,Home,Carleton College,"Grinnell, IA",,,,"L,0-4",Box ScoreRecap
"September 17, 2022 (Saturday)",3:30 p.m.,Home,Nebraska Wesleyan University,"Grinnell, IA",,,,"T,1-1",Box ScoreRecap
"September 18, 2022 (Sunday)",1:30 p.m.,Away,Buena Vista University,"Storm Lake, IA",,,,"W,2-0",Box ScoreRecap
"September 24, 2022 (Saturday)",1:30 p.m.,Away,Illinois College,"Jacksonville, IL",,,,"W,4-2",Box ScoreRecap
"September 28, 2022 (Wednesday)",4:30 p.m.,Home,Knox College,"Grinnell, IA",,,,"T,0-0",Box ScoreRecap
"October 2, 2022 (Sunday)",3 p.m.,Home,Luther College,"Grinnell, IA",,,,"T,2-2",Box ScoreRecap
"October 5, 2022 (Wednesday)",4:30 p.m.,Home,Cornell College,"Grinnell, IA",,,,"W,2-0",Box ScoreRecap
"October 8, 2022 (Saturday)",1:30 p.m.,Home,Beloit College,"Grinnell, IA",,,,"W,1-0",Box ScoreRecap
"October 12, 2022 (Wednesday)",4 p.m.,Away,Monmouth College,"Monmouth, IL",,,,"W,3-1",Box ScoreRecap
"October 15, 2022 (Saturday)",11 a.m.,Away,Lawrence University,"Appleton, WI",,,,"W,2-1",Box ScoreRecap
"October 19, 2022 (Wednesday)",4:00 p.m.,Home,Saint Mary's University (Minn.),"Grinnell, IA",,,,"L,0-2",Box ScoreRecap
"October 22, 2022 (Saturday)",1:30 p.m.,Away,Ripon College,"Ripon, WI",,,,"W,2-0",Box ScoreRecap
"October 23, 2022 (Sunday)",2:30 p.m.,Away,Marian University,"Fond du Lac, WI",,,,"W,2-0",Box ScoreRecap
"October 29, 2022 (Saturday)",1:30 p.m.,Home,Lake Forest College,"Grinnell, IA",,,,"W,1-0",Box ScoreRecap
"November 5, 2022 (Saturday)",11 a.m.,Home,Cornell College (Semifinal),"Grinnell, IA/Springer Field",,,2022 Midwest Conference Tournament,"W,2-1",Box ScoreRecap
"November 6, 2022 (Sunday)",1 p.m.,Home,Beloit College (Championship),"Grinnell, IA/Springer Field",,,2022 Midwest Conference Tournament,"T,0-0(2 OT, won shootout 4-2)",Box ScoreRecap
"November 12, 2022 (Saturday)",1 p.m.,Away,Wartburg College (First Round),"Waverly, IA",,,NCAA Division III Tournament,"L,2-5",Box ScoreRecap
