Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 7, 1985 (Saturday)",,Home,Grand View,"Grinnell, IA",,,"L,0-9",
"September 11, 1985 (Wednesday)",,Away,Simpson,"Indianola, IA",,,"W,8-1",
"September 14, 1985 (Saturday)",,Away,Coe,"Cedar Rapids, IA",,,"L,4-5",
"September 17, 1985 (Tuesday)",,Away,Central,"Pella, IA",,,"L,2-7",
"September 21, 1985 (Saturday)",,Home,Beloit,"Grinnell, IA",,,"W,7-2",
"September 26, 1985 (Thursday)",,Away,Wartburg,"Waverly, IA",,,"L,4-5",
"September 28, 1985 (Saturday)",,Home,Knox,"Grinnell, IA",,,"W,5-4",
"September 28, 1985 (Saturday)",,Home,St. Ambrose,"Grinnell, IA",,,"L,0-9",
"October 8, 1985 (Tuesday)",,Away,Northern Iowa,"Cedar Falls, IA",,,"L,1-8",
"October 12, 1985 (Saturday)",,Away,Cornell,"Mount Vernon, IA",,,"W,6-3",
"October 18, 1985 (Friday)",,Away,MWC Meet,"Appleton, WI",,,4th/12 Teams,
