Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 5, 1989 (Tuesday)",,Neutral,Quincy University,"Oskaloosa, IA",,,"L,0-2(8-15, 5-15)",
"September 5, 1989 (Tuesday)",,Away,William Penn,"Oskaloosa, IA",,,"L,0-2(8-15, 3-15)",
"September 12, 1989 (Tuesday)",,Away,Wartburg,"Waverly, IA",,,"L,0-3(7-15, 6-15, 6-15)",
"September 16, 1989 (Saturday)",,Neutral,Mundelein College,"Beloit, WI",,,"L,1-2(15-0, 11-15, 2-15)",
"September 16, 1989 (Saturday)",,Away,Beloit,"Beloit, WI",,,"L,0-2(6-15, 2-15)",
"September 16, 1989 (Saturday)",,Neutral,Ripon,"Beloit, WI",,,"L,0-2(8-15, 4-15)",
"September 16, 1989 (Saturday)",,Neutral,Rockford,"Beloit, WI",,,"W,2-1(8-15, 15-4, 17-15)",
"September 19, 1989 (Tuesday)",,Home,Mount Mercy,"Grinnell, IA",,,"W,3-2(16-14, 10-15, 12-15, 15-13, 15-13)",
"September 23, 1989 (Saturday)",,Home,Luther,"Grinnell, IA",,,"L,0-3(13-15, 5-15, 3-15)",
"September 26, 1989 (Tuesday)",,Home,Coe,"Grinnell, IA",,,"L,0-3(6-15, 11-15, 7-15)",
"September 26, 1989 (Tuesday)",,Home,Grand View,"Grinnell, IA",,,"L,0-3(13-15, 12-15, 11-15)",
"September 28, 1989 (Thursday)",,Away,Simpson,"Indianola, IA",,,"L,0-3(3-15, 3-15, 7-15)",
"October 3, 1989 (Tuesday)",,Away,Luther,"Decorah, IA",,,"L,0-2(7-15, 2-15)",
"October 3, 1989 (Tuesday)",,Neutral,UW-Stout,"Decorah, IA",,,"L,0-2(12-15, 9-15)",
"October 7, 1989 (Saturday)",,Neutral,Iowa Wesleyan,"Monmouth, IL",,,"L,0-3(11-15, 7-15, 10-15)",
"October 7, 1989 (Saturday)",,Away,Monmouth,"Monmouth, IL",,,"L,1-3(2-15, 15-12, 1-15, 7-15)",
"October 14, 1989 (Saturday)",,Home,Knox,"Grinnell, IA",,,"L,1-3(7-15, 15-13, 0-15, 11-15)",
"October 17, 1989 (Tuesday)",,Home,Cornell,"Grinnell, IA",,,"L,0-3(3-15, 0-15, 0-15)",
"October 18, 1989 (Wednesday)",,Away,Upper Iowa,"Fayette, IA",,,"W,3-1(15-4, 15-9, 12-15, 15-10)",
"October 19, 1989 (Thursday)",,Away,Dubuque,"Dubuque, IA",,,"L,1-3(8-15, 15-6, 7-15, 13-15)",
"October 21, 1989 (Saturday)",,Away,Carleton,"Northfield, MN",,,"L,0-3(4-15, 11-15, 7-15)",
"October 21, 1989 (Saturday)",,Neutral,Martin Luther,"Northfield, MN",,,"L,0-2(6-15, 3-15)",
"October 21, 1989 (Saturday)",,Away,St. Olaf,"Northfield, MN",,,"L,0-2(4-15, 4-15)",
"October 26, 1989 (Thursday)",,Neutral,Iowa Wesleyan,"Mount Pleasant, IA",,,"L,0-3(5-15, 6-15, 8-15)",
"October 28, 1989 (Saturday)",,Home,Illinois College,"Jacksonville, IL",,,"L,0-3(11-15, 11-15, 6-15)",
"November 3, 1989 (Friday)",,Neutral,Ripon (MWC Tournament),"Jacksonville, IL",,,"L,0-2(1-15, 8-15)",
"November 3, 1989 (Friday)",,Neutral,Lawrence (MWC Tournament),"Jacksonville, IL",,,"L,0-2(10-15, 11-15)",
"November 4, 1989 (Saturday)",,Neutral,Monmouth (MWC Tournament),"Jacksonville, IL",,,"L,0-2(12-15, 11-15)",
"November 4, 1989 (Saturday)",,Neutral,Illinois College (MWC Tournament),"Jacksonville, IL",,,"L,0-2(6-15, 4-15)",
