Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"April 7, 1978 (Friday)",,Home,Cornell,"Grinnell, IA",,,"L,10-20",
"April 7, 1978 (Friday)",,Home,Cornell,"Grinnell, IA",,,"L,8-15",
"April 8, 1978 (Saturday)",,Home,Coe,"Grinnell, IA",,,"L,2-13",
"April 8, 1978 (Saturday)",,Home,Coe,"Grinnell, IA",,,"W,20-2",
"April 21, 1978 (Friday)",,Home,Graceland,"Grinnell, IA",,,"L,0-17",
"April 21, 1978 (Friday)",,Home,Graceland,"Grinnell, IA",,,"L,5-18",
"April 22, 1978 (Saturday)",,Away,Coe,"Cedar Rapids, IA",,,"W,8-0",
"April 22, 1978 (Saturday)",,Away,Coe,"Cedar Rapids, IA",,,"L,9-11",
"April 24, 1978 (Monday)",,Home,Iowa JV,"Grinnell, IA",,,"L,6-14",
"April 24, 1978 (Monday)",,Home,Iowa JV,"Grinnell, IA",,,"L,0-12",
