Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"March 3, 2019 (Sunday)",1:00 PM (EST),Neutral,Ohio Northern University,"Kissimmee, Fla.",,,Russ Matt Central Florida Baseball Invitational,"L,1-10",Box ScoreRecap
"March 3, 2019 (Sunday)",4:30 PM (EST),Neutral,St. John Fisher College,"Kissimmee, Fla.",,,Russ Matt Central Florida Baseball Invitational,"L,2-4",Box ScoreRecap
"March 4, 2019 (Monday)",3:15 PM (EST),Neutral,Muhlenberg College,"Kissimmee, Fla.",,,Russ Matt Central Florida Baseball Invitational,"W,5-1",Box ScoreRecap
"March 4, 2019 (Monday)",5:45 PM (EST),Neutral,Muhlenberg College,"Kissimmee, Fla.",,,Russ Matt Central Florida Baseball Invitational,"L,3-4",Box ScoreRecap
"March 6, 2019 (Wednesday)",9:15 AM (EST),Neutral,Trine University,"Kissimmee, Fla.",,,Russ Matt Central Florida Baseball Invitational,"L,6-11",Box ScoreRecap
"March 7, 2019 (Thursday)",1:30 PM (EST),Neutral,Albion College,"Kissimmee, Fla.",,,Russ Matt Central Florida Baseball Invitational,"L,2-11",Box ScoreRecap
"March 8, 2019 (Friday)",1:45 PM (EST),Neutral,Illinois Wesleyan University,"Kissimmee, Fla.",,,Russ Matt Central Florida Baseball Invitational,"W,12-9",Box ScoreRecap
"March 8, 2019 (Friday)",5:00 PM (EST),Neutral,Fredonia,"Kissimmee, Fla.",,,Russ Matt Central Florida Baseball Invitational,"W,7-6(10 innings)",Box ScoreRecap
"March 16, 2019 (Saturday)",12:00 PM,Home,Coe College,"Jacksonville, Ill.",,,,"W,8-4",Box ScoreRecap
"March 16, 2019 (Saturday)",2:30 PM,Home,Coe College,"Jacksonville, Ill.",,,,"L,2-20",Box ScoreRecap
"March 17, 2019 (Sunday)",2:30 PM,Home,Elmhurst College,"Jacksonville, Ill.",,,,"W,11-5",Box ScoreRecap
"March 20, 2019 (Wednesday)",1:00 PM,Home,Millikin University,"Jacksonville, Ill.",,,,"L,4-9",Box ScoreRecap
"March 23, 2019 (Saturday)",12:00 PM,Home,Northland College,"Jacksonville, Ill.",,,,"W,6-5",Box ScoreRecap
"March 23, 2019 (Saturday)",2:30 PM,Home,Northland College,"Jacksonville, Ill.",,,,"W,8-4",Box ScoreRecap
"March 27, 2019 (Wednesday)",3:00 PM,Home,Fontbonne University,"Jacksonville, Ill.",,,,"W,11-2",Box ScoreRecap
"March 30, 2019 (Saturday)",12:30 PM,Away,Beloit College,"Beloit, Wis.",,,,"W,3-1",Box ScoreRecap
"March 30, 2019 (Saturday)",3:00 PM,Away,Beloit College,"Beloit, Wis.",,,,"L,6-13",Box ScoreRecap
"April 3, 2019 (Wednesday)",3:00 PM,Away,Eastern Illinois University,"Charleston, Ill.",,,,"L,1-11(8 innings)",Box ScoreRecap
"April 6, 2019 (Saturday)",12:00 PM,Home,Monmouth College,"Jacksonville, Ill.",,,,"L,6-8",Box ScoreRecap
"April 6, 2019 (Saturday)",2:30 PM,Home,Monmouth College,"Jacksonville, Ill.",,,,"L,2-9",Box ScoreRecap
"April 7, 2019 (Sunday)",12:00 PM,Away,Monmouth College,"Monmouth, Ill.",,,,"W,7-6",Box ScoreRecap
"April 7, 2019 (Sunday)",2:30 PM,Away,Monmouth College,"Monmouth, Ill.",,,,"L,5-6(11 innings)",Box ScoreRecap
"April 9, 2019 (Tuesday)",3:00 PM,Away,MacMurray College,"Jacksonville, Ill.",,,,"W,19-4(8 innings)",Box ScoreRecap
"April 17, 2019 (Wednesday)",12:00 PM,Away,Knox College,"Galesburg, Ill.",,,,"L,0-13(7 innings)",Box ScoreRecap
"April 17, 2019 (Wednesday)",2:30 PM,Away,Knox College,"Galesburg, Ill.",,,,"L,3-14(7 innings)",Box ScoreRecap
"April 20, 2019 (Saturday)",12:00 PM,Home,Knox College,"Jacksonville, Ill.",,,,"W,3-1",Box ScoreRecap
"April 20, 2019 (Saturday)",2:30 PM,Home,Knox College,"Jacksonville, Ill.",,,,"W,10-8",Box ScoreRecap
"April 25, 2019 (Thursday)",3:00 PM,Home,Robert Morris University-Springfield,"Jacksonville, Ill.",,,,"W,9-0",Box ScoreRecap
"April 27, 2019 (Saturday)",12:00 PM,Home,Grinnell College,"Jacksonville, Ill.",,,,"W,12-2(7 innings)",Box ScoreRecap
"April 27, 2019 (Saturday)",2:30 PM,Home,Grinnell College,"Jacksonville, Ill.",,,,"W,13-2",Box ScoreRecap
"April 28, 2019 (Sunday)",10:00 AM,Home,Grinnell College,"Jacksonville, Ill.",,,,"L,3-4",Box ScoreRecap
"April 28, 2019 (Sunday)",12:30 PM,Home,Grinnell College,"Jacksonville, Ill.",,,,"W,11-5",Box ScoreRecap
"May 4, 2019 (Saturday)",12:00 PM,Home,Cornell College,"Jacksonville, Ill.",,,,"L,5-6",Box ScoreRecap
"May 4, 2019 (Saturday)",2:30 PM,Home,Cornell College,"Jacksonville, Ill.",,,,"L,4-6",Box ScoreRecap
"May 5, 2019 (Sunday)",11:00 AM,Home,Cornell College,"Jacksonville, Ill.",,,,"L,5-6",Box ScoreRecap
"May 5, 2019 (Sunday)",1:30 PM,Home,Cornell College,"Jacksonville, Ill.",,,,"W,9-7",Box ScoreRecap
