Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"February 24, 2023 (Friday)",1:30 PM,Home,Augustana College (IL),"Jacksonville, Ill.",,,Canceled,
"February 25, 2023 (Saturday)",11:00 AM,Home,Elmhurst University,"Jacksonville, Ill.",,,"L,11-12",Box ScoreRecap
"February 26, 2023 (Sunday)",11:00 AM,Home,Loras College,"Jacksonville, Ill.",,,"L,4-7",Box Score
"February 26, 2023 (Sunday)",2:00 PM,Home,Loras College,"Jacksonville, Ill.",,,"L,7-12",Box Score
"March 1, 2023 (Wednesday)",12:00 PM,Home,Fontbonne University,"Jacksonville, Ill.",,,"L,4-5",Box ScoreRecap
"March 5, 2023 (Sunday)","9:00 AM CT, 10:00 AM ET",Neutral,Penn State Altoona,"Northeast Regional Park Field 3, Davenport, Fla.",,,"L,7-16",Box ScoreRecap
"March 5, 2023 (Sunday)","12:00 PM CT, 1:00 PM ET",Neutral,Penn State Altoona,"Northeast Regional Park Field 3, Davenport, Fla.",,,"W,15-7",Box ScoreRecap
"March 6, 2023 (Monday)","11:45 AM CT, 12:45 PM ET",Neutral,Marian University,"Lake Myrtle Park Field 2, Auburndale, Fla.",,,"L,5-11",Box ScoreRecap
"March 7, 2023 (Tuesday)","8:00 AM CT, 9:00 AM ET",Neutral,Concordia University Chicago,"Lake Myrtle Park Field 1, Auburndale, Fla.",,,"L,9-20",Box ScoreRecap
"March 9, 2023 (Thursday)","8:00 AM CT, 9:00 AM ET",Neutral,Grove City College,"Northeast Regional Park Field 1, Davenport, Fla.",,,"L,0-6",Box ScoreRecap
"March 10, 2023 (Friday)","9:00 AM CT, 10:00 AM ET",Neutral,Crown College,"Northeast Regional Park Field 4, Davenport, Fla.",,,"W,4-0",Box ScoreRecap
"March 10, 2023 (Friday)","12:00 PM CT, 1:00 PM ET",Neutral,Crown College,"Northeast Regional Park Field 4, Davenport, Fla.",,,"L,2-8",Box ScoreRecap
"March 15, 2023 (Wednesday)",1:00 PM,Home,Blackburn College,"Jacksonville, Ill.",,,"W,14-0",Box ScoreRecap
"March 15, 2023 (Wednesday)",4:00 PM,Home,Blackburn College,"Jacksonville, Ill.",,,"W,10-3",Box ScoreRecap
"March 21, 2023 (Tuesday)",12:00 PM,Home,Millikin University,"Jacksonville, Ill.",,,"L,2-16",Box ScoreRecap
"March 21, 2023 (Tuesday)",3:00 PM,Home,Millikin University,"Jacksonville, Ill.",,,"L,0-20",Box ScoreRecap
"March 24, 2023 (Friday)",4:00 PM,Away,Cornell College,"Mount Vernon, IA",,,"L,2-5",Box ScoreRecap
"March 24, 2023 (Friday)",7:00 PM,Away,Cornell College,"Mount Vernon, IA",,,"L,9-11",Box ScoreRecap
"March 25, 2023 (Saturday)",2:30 PM,Away,Cornell College,"Marion, Iowa",,,"W,4-3",Box ScoreRecap
"April 1, 2023 (Saturday)",2:00 PM,Home,Ripon College,"Jacksonville, Ill.",,,"W,4-3",Box ScoreRecap
"April 2, 2023 (Sunday)",11:00 AM,Home,Ripon College,"Jacksonville, Ill.",,,"W,16-4",Box ScoreRecap
"April 2, 2023 (Sunday)",1:30 PM,Home,Ripon College,"Jacksonville, Ill.",,,"L,8-11",Box ScoreRecap
"April 7, 2023 (Friday)",2:00 PM,Away,University of Chicago,"Chicago, IL",,,"L,1-4",Box ScoreRecap
"April 8, 2023 (Saturday)",12:00 PM,Away,University of Chicago,"Chicago, IL",,,"L,3-10",Box ScoreRecap
"April 8, 2023 (Saturday)",3:00 PM,Away,University of Chicago,"Chicago, IL",,,"W,6-4",Box ScoreRecap
"April 11, 2023 (Tuesday)",5:00 PM,Away,Illinois Wesleyan University,"Bloomington, IL",,,"L,12-13",Box ScoreRecap
"April 15, 2023 (Saturday)",11:00 AM,Home,Lawrence University,"Jacksonville, Ill.",,,"L,1-5",Box ScoreRecap
"April 15, 2023 (Saturday)",1:30 PM,Home,Lawrence University,"Jacksonville, Ill.",,,"W,16-6",Box ScoreRecap
"April 16, 2023 (Sunday)",12:00 PM,Home,Lawrence University,"Jacksonville, Ill.",,,"W,21-17",Box ScoreRecap
"April 18, 2023 (Tuesday)",2:00 PM,Home,Knox College,"Jacksonville, Ill.",,,"W,3-1",Box ScoreRecap
"April 22, 2023 (Saturday)",12:00 PM,Home,Grinnell College,"Jacksonville, Ill.",,,"L,5-7",Box ScoreRecap
"April 22, 2023 (Saturday)",3:00 PM,Home,Grinnell College,"Jacksonville, Ill.",,,"L,2-9",Box ScoreRecap
"April 23, 2023 (Sunday)",12:00 PM,Home,Grinnell College,"Jacksonville, Ill.",,,"W,8-1",Box ScoreRecap
"April 26, 2023 (Wednesday)",12:00 PM,Away,Knox College,"Galesburg, IL",,,"W,8-2",Box ScoreRecap
"April 26, 2023 (Wednesday)",3:00 PM,Away,Knox College,"Galesburg, IL",,,"W,12-8",Box ScoreRecap
"April 29, 2023 (Saturday)",12:00 PM,Home,Monmouth College,"Jacksonville, Ill.",,,"W,13-8",Box ScoreRecap
"April 29, 2023 (Saturday)",3:00 PM,Home,Monmouth College,"Jacksonville, Ill.",,,"L,7-9",Box ScoreRecap
"April 30, 2023 (Sunday)",12:00 PM,Away,Monmouth College,"Monmouth, IL",,,"L,4-5",Box ScoreRecap
"May 6, 2023 (Saturday)",12:00 PM,Away,Beloit College,"Beloit, WI",,,"L,1-16",Box ScoreRecap
"May 6, 2023 (Saturday)",3:00 PM,Away,Beloit College,"Beloit, WI",,,"L,4-7",Box ScoreRecap
"May 7, 2023 (Sunday)",12:00 PM,Away,Beloit College,"Beloit, WI",,,"L,5-14",Box ScoreRecap
