Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 7, 2019 (Saturday)",6:00 PM,Home,Rhodes College,"Jacksonville, Ill.",,,"W,22-7",Box ScoreRecap
"September 14, 2019 (Saturday)",1:00 PM,Away,Nebraska Wesleyan University,"Lincoln, Neb.",,,"L,20-25",Box ScoreRecap
"September 28, 2019 (Saturday)",1:00 PM,Home,Ripon College,"Jacksonville, Ill.",,,"W,28-25",Box ScoreRecap
"October 5, 2019 (Saturday)",1:00 PM,Away,Lawrence University,"Appleton, Wis.",,,"W,55-10",Box ScoreRecap
"October 12, 2019 (Saturday)",1:00 PM,Home,Cornell College,"Jacksonville, Ill.",,,"W,56-17",Box ScoreRecap
"October 19, 2019 (Saturday)",2:00 PM,Away,Monmouth College,"Monmouth, Ill.",,,"L,15-30",Box ScoreRecap
"October 26, 2019 (Saturday)",1:00 PM,Home,Knox College,"Jacksonville, Ill.",,,"W,47-17",Box ScoreRecap
"November 2, 2019 (Saturday)",1:00 PM,Away,Grinnell College,"Grinnell, Iowa",,,Canceled,Grinnell Press Release
"November 9, 2019 (Saturday)",1:00 PM,Home,University of Chicago,"Jacksonville, Ill.",,,"L,14-20",Box ScoreRecap
"November 16, 2019 (Saturday)",12:00 PM,Home,Ripon College,"Jacksonville, Ill.",,,"W,35-21",Box ScoreRecap
