Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 23, 2017 (Wednesday)",2:30 PM,Home,Illinois Wesleyan University (Scrimmage),"Jacksonville, Ill.",,,,History
"August 29, 2017 (Tuesday)",9:00 PM,Home,MacMurray College (Scrimmage),"Jacksonville, Ill.",,,,History
"September 1, 2017 (Friday)",7:00 PM,Home,Webster University,"Jacksonville, Ill.",,,"W,2-0",Box ScoreRecap
"September 3, 2017 (Sunday)",11:00 AM,Away,Franklin College,"Franklin, Ind.",,,"W,1-0",Box ScoreRecap
"September 7, 2017 (Thursday)",7:00 PM,Away,Fontbonne University,"St. Louis, Mo.",,,"L,0-1",Box ScoreRecap
"September 9, 2017 (Saturday)",1:00 PM,Home,Dominican University (Ill.),"Jacksonville, Ill.",,,"L,1-5",Box ScoreRecap
"September 13, 2017 (Wednesday)",5:00 PM,Away,Blackburn College,"Carlinville, Ill.",,,"W,3-0",Box ScoreRecap
"September 16, 2017 (Saturday)",2:30 PM,Home,Concordia University (Chicago),"Jacksonville, Ill.",,,"W,7-0",Box ScoreRecap
"September 17, 2017 (Sunday)",1:00 PM,Home,Rhodes College,"Jacksonville, Ill.",,,"L,1-3",Box ScoreRecap
"September 19, 2017 (Tuesday)",7:00 PM,Home,Greenville University,"Jacksonville, Ill.",,,"L,0-1",Box ScoreRecap
"September 23, 2017 (Saturday)",3:30 PM,Home,St. Norbert College,"Springfield, Ill. (Sacred Heart-Griffin HS)",,,"L,0-4",Box ScoreRecap
"September 24, 2017 (Sunday)",3:30 PM,Home,Lawrence University,"Jacksonville, Ill.",,,"W,2-1",Box ScoreRecap
"September 27, 2017 (Wednesday)",7:00 PM,Home,Westminster College (MO),"Jacksonville, Ill.",,,"W,1-0",Box ScoreRecap
"September 30, 2017 (Saturday)",3:30 PM,Home,Grinnell College,"Jacksonville, Ill.",,,"L,0-2",Box ScoreRecap
"October 7, 2017 (Saturday)",3:30 PM,Away,Monmouth College,"Monmouth, Ill.",,,"T,0-0",Box ScoreRecap
"October 14, 2017 (Saturday)",3:30 PM,Away,Ripon College,"Ripon, Wis.",,,"W,4-1",Box ScoreRecap
"October 15, 2017 (Sunday)",8:00 AM,Away,Beloit College,"Rockford, Ill.",,,"W,1-0",Box ScoreRecap
"October 18, 2017 (Wednesday)",4:30 PM,Home,Knox College,"Jacksonville, Ill.",,,"L,0-3",Box ScoreRecap
"October 21, 2017 (Saturday)",1:30 PM,Home,Lake Forest College,"Jacksonville, Ill.",,,"L,0-4",Box ScoreRecap
"October 28, 2017 (Saturday)",3:30 PM,Away,Cornell College,"Mount Vernon, Iowa",,,"W,4-3",Box ScoreRecap
