Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"February 11, 2012 (Saturday)",12 noon,Home,Webster University,"Jacksonville, IL/Bellatti Tennis Complex",,,"L,1-8",Match Results
"February 15, 2012 (Wednesday)",6 p.m.,Home,Western Illinois University,"Jacksonville, Ill./King Fieldhouse",,,"L,0-9",Results
"February 21, 2012 (Tuesday)",4:45 p.m.,Away,Principia College,"St. Louis, MO",,,"L,0-9",Results
"February 29, 2012 (Wednesday)",4 p.m.,Home,Eureka College,"Jacksonville, IL/Bellatti Tennis Complex",,,"W,9-0",Results
"March 10, 2012 (Saturday)",1 p.m.,Home,St. Norbert College,"Jacksonville, IL/Bellatti Tennis Complex",,,"L,0-9",Results
"March 18, 2012 (Sunday)",8 a.m.,Away,Carroll University,"Waukesha, WI",,,"L,0-9",Results
"March 31, 2012 (Saturday)",9:30 a.m.,Home,Grinnell College,"Jacksonville, IL/Bellatti Tennis Complex",,,"L,0-9",Results
"March 31, 2012 (Saturday)",3:30 p.m.,Home,Lake Forest College,"Jacksonville, IL/Bellatti Tennis Complex",,,"L,2-7",Results
"April 3, 2012 (Tuesday)",4 p.m.,Away,Lindenwood University-Belleville,"Belleville, IL",,,"L,0-9",Results
"April 11, 2012 (Wednesday)",4 p.m.,Home,Monmouth College,"Jacksonville, IL/Bellatti Tennis Complex",,,"L,0-9",Results
"April 17, 2012 (Tuesday)",5 p.m.,Away,Greenville College,"Greenville, IL",,,"L,0-9",Results
"April 21, 2012 (Saturday)",10 a.m.,Away,Knox College,"Galesburg, IL",,,"L,0-9",Results
"April 28, 2012 (Saturday)",TBA,Neutral,MWC Championships,"Madison, WI",,,9th/9 teams,Results
