Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 2, 2023 (Saturday)",11:00 AM,Away,Webster University,"St. Louis, Mo.",,,,"L,1-8",Box ScoreRecap
"September 9, 2023 (Saturday)",11:00 AM,Home,University of Dubuque,"Jacksonville, Ill.",,,,"L,4-5",Box ScoreRecap
"September 14, 2023 (Thursday)",4:00 PM,Away,Greenville University,"Greenville, Ill.",,,,"L,0-9",Box ScoreRecap
"September 17, 2023 (Sunday)",2:00 PM,Away,Olivet College,"Coal City, Ill.",,,,Canceled,
"September 26, 2023 (Tuesday)",3:00 PM,Home,Southwestern Illinois College,"Belleville, Ill.",,,,Postponed,
"March 2, 2024 (Saturday)",12:00 PM (NOON),Away,Simpson College,"Elsah, Ill.",,,,"W,5-4",RecapBoxscoreBoxscore
"March 2, 2024 (Saturday)",3:00 PM,Away,Principia College,"Elsah, Ill.",,,,"L,0-9",RecapBoxscore
"March 16, 2024 (Saturday)",10:00 AM,Home,Southwestern Illinois College,"Jacksonville, Ill./Bellatti Tennis Complex",,,,"W,6-3",Box ScoreRecap
"March 16, 2024 (Saturday)",3:00 PM,Home,Kaskaskia College,"Jacksonville, Ill./Bellatti Tennis Complex",,,,"W,6-3",Box ScoreRecap
"March 20, 2024 (Wednesday)",4:30 PM,Home,Lewis & Clark Community College,"Jacksonville, Ill./Bellatti Tennis Complex",,,,"L,1-8",Box ScoreRecap
"March 22, 2024 (Friday)",2:00 PM,Home,Mississippi University for Women,"Jacksonville, Ill./Bellatti Tennis Complex",,,,"W,9-0",Box ScoreRecap
"March 23, 2024 (Saturday)",9:00 AM,Home,Webster University,"Jacksonville, Ill./Bellatti Tennis Complex",,,,"L,1-8",Box ScoreRecap
"March 23, 2024 (Saturday)",2:00 PM,Home,Westminster College (MO),"Jacksonville, Ill./Bellatti Tennis Complex",,,,"W,9-0",Box ScoreRecap
"March 24, 2024 (Sunday)",2:00 PM,Away,The University of Olivet,"Minooka High School / Minooka, Ill.",,,,"W,6-3",Box ScoreRecap
"March 30, 2024 (Saturday)",10:00 AM,Home,Illinois Valley Community College,"Jacksonville, Ill./Bellatti Tennis Complex",,,,"L,4-5",Box ScoreRecap
"April 6, 2024 (Saturday)",9:00 AM,Away,Grinnell College,"Grinnell, IA",,,,"L,0-9",Box ScoreRecap
"April 6, 2024 (Saturday)",3:00 PM,Away,Cornell College,"Mount Vernon, IA",,,,"L,0-9",Box ScoreRecap
"April 10, 2024 (Wednesday)",3:00 PM,Away,Kaskaskia College,"Centralia, IL",,,,Cancelled,
"April 13, 2024 (Saturday)",9:00 AM,Home,Ripon College,"Jacksonville, Ill./Bellatti Tennis Complex",,,,"W,7-2",Box ScoreRecap
"April 13, 2024 (Saturday)",3:00 PM,Home,Lawrence University,"Jacksonville, Ill./Bellatti Tennis Complex",,,,"L,1-8",Box ScoreRecap
"April 14, 2024 (Sunday)",1:00 PM,Away,Westminster College (MO),"Fulton, MO",,,,"W,7-2",Box ScoreRecap
"April 16, 2024 (Tuesday)",5:00 PM,Away,Monmouth College,"Monmouth, IL",,,,"W,8-1",Box ScoreRecap
"April 20, 2024 (Saturday)",9:00 AM,Away,Lake Forest College,"Lake Forest, IL",,,,"L,1-8",Box ScoreRecap
"April 20, 2024 (Saturday)",2:00 PM,Away,Elmhurst University,"Elmhurst, Ill.",,,,"L,4-5",RecapBoxscore
"April 26, 2024 (Friday)",8:00 AM,Away,Midwest Conference,"Madison, Wis",,,Midwest Conference Tournament,"T,0-0",Box ScoreRecapDay 1 Results
