Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"March 15, 2010 (Monday)",3:30 PM,Neutral,SUNY Cobleskill,"Winter Haven, Fla.",,,"W,15-5",Box Score
"March 16, 2010 (Tuesday)",9:55 AM,Neutral,Greenville University,"Auburndale, Fla.",,,"W,12-7",Box Score
"March 16, 2010 (Tuesday)",12:00 PM,Neutral,Greenville University,"Auburndale, Fla.",,,"L,2-5",Box Score
"March 17, 2010 (Wednesday)",10:00 AM,Neutral,Albright College,"Auburndale, Fla.",,,"L,6-7(10 inn.)",Box Score
"March 17, 2010 (Wednesday)",1:00 PM,Neutral,Albright College,"Auburndale, Fla.",,,"L,6-19",Box Score
"March 18, 2010 (Thursday)",12:00 PM,Neutral,Sewanee,"Winter Haven, Fla.",,,"W,8-2",Box Score
"March 19, 2010 (Friday)",12:00 PM,Neutral,Salem State,"Winter Haven, Fla.",,,"L,0-11",Box ScoreBox Score
"March 20, 2010 (Saturday)",2:10 PM,Neutral,Framingham State,"Winter Haven, Fla.",,,"W,5-4",Box Score
"March 21, 2010 (Sunday)",9:30 AM,Neutral,North Central College,"Winter Haven, Fla.",,,"L,1-10",Box Score
"March 22, 2010 (Monday)",12:00 PM,Neutral,Lawrence University,"Auburndale, Fla.",,,"W,2-1",Box Score
"March 22, 2010 (Monday)",1:45 PM,Neutral,Lawrence University,"Auburndale, Fla.",,,"W,17-7",Box Score
"March 27, 2010 (Saturday)",12:00 PM,Home,Illinois College,"Jacksonville, Ill.",,,"L,1-3(9 inn.)",Box Score
"March 27, 2010 (Saturday)",2:30 PM,Home,Illinois College,"Jacksonville, Ill.",,,"L,0-10",Box Score
"March 31, 2010 (Wednesday)",1:00 PM,Home,Beloit College,"Galesburg, Ill./Blodgett Field",,,"L,5-13",Box Score
"March 31, 2010 (Wednesday)",3:45 PM,Home,Beloit College,"Galesburg, Ill./Blodgett Field",,,"L,2-15",Box Score
"April 3, 2010 (Saturday)",1:00 PM,Home,Grinnell College,"Grinnell, Iowa",,,"L,4-5",Box Score
"April 3, 2010 (Saturday)",3:40 PM,Home,Grinnell College,"Grinnell, Iowa",,,"L,1-11",Box Score
"April 10, 2010 (Saturday)",1:00 PM,Home,Grinnell College,"Galesburg, Ill./Blodgett Field",,,"L,3-17",Box Score
"April 10, 2010 (Saturday)",3:40 PM,Home,Grinnell College,"Galesburg, Ill./Blodgett Field",,,"L,3-9",Box Score
"April 12, 2010 (Monday)",7:00 PM,Neutral,Eureka College,"Galesburg, Ill. / Galesburg HS",,,"W,5-4",Box Score
"April 15, 2010 (Thursday)",2:00 PM,Away,Augustana College,"Galesburg, Ill./Blodgett Field",,,"L,7-19",Box Score
"April 17, 2010 (Saturday)",12:00 PM,Away,Monmouth College,"Galesburg, Ill./Blodgett Field",,,"L,2-7",Box Score
"April 17, 2010 (Saturday)",3:00 PM,Away,Monmouth College,"Galesburg, Ill./Blodgett Field",,,"L,2-13",Box Score
"April 18, 2010 (Sunday)",1:30 PM,Home,Washington University,"Galesburg, Ill./Blodgett Field",,,"L,1-9",Box Score
"April 20, 2010 (Tuesday)",2:00 PM,Away,Robert Morris (Ill.),"Galesburg, Ill./Blodgett Field",,,"L,6-7(10 inn.)",Box Score
"April 21, 2010 (Wednesday)",5:30 PM,Away,Robert Morris (Ill.),"Galesburg, Ill./Blodgett Field",,,"L,1-3",Box Score
"April 24, 2010 (Saturday)",11:00 AM,Away,Monmouth College,"Monmouth, Ill.",,,"L,1-8",Box Score
"April 24, 2010 (Saturday)",1:20 PM,Away,Monmouth College,"Monmouth, Ill.",,,"L,2-12",Box Score
"April 28, 2010 (Wednesday)",2:00 PM,Home,Millikin University,"Galesburg, Ill./Blodgett Field",,,"L,0-9(8 inn.)",Box Score
"April 28, 2010 (Wednesday)",5:00 PM,Home,Millikin University,"Galesburg, Ill./Blodgett Field",,,"W,9-8",Box Score
"May 1, 2010 (Saturday)",12:00 PM,Away,Illinois College,"Galesburg, Ill./Blodgett Field",,,"L,6-18",Box Score
"May 1, 2010 (Saturday)",3:00 PM,Home,Illinois College,"Galesburg, Ill./Blodgett Field",,,"L,6-7",Box Score
"May 4, 2010 (Tuesday)",7:00 PM,Home,Augustana College,"Rock Island, Ill.",,,"L,4-14",
