Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"March 7, 2013 (Thursday)",12:00 pm,Away,MacMurray College,"Jacksonville, IL - Lenz Field",,,,"W,2-1",Box ScoreRecapBox Score
"March 11, 2013 (Monday)",2:00 pm,Away,Robert Morris University  - Springfield,"Springfield, IL",,,,postponed; reschedule date pending,Recap
"March 19, 2013 (Tuesday)",10:00 am ET,Neutral,Johns Hopkins University,"Fort Myers, FL",,,Gene Cusic Collegiate Classic,"L,4-10",Box ScoreRecapBox Score
"March 20, 2013 (Wednesday)",1:00 pm ET,Neutral,Nichols College,"Fort Myers, FL",,,Gene Cusic Collegiate Classic,"W,22-4",Box ScoreRecapBox Score
"March 21, 2013 (Thursday)",10:00 am ET,Neutral,Southern Vermont College,"Fort Myers, FL",,,Gene Cusic Collegiate Classic,"W,10-9",Box ScoreRecapBox Score
"March 21, 2013 (Thursday)",1:00 pm ET,Neutral,Lawrence University,"Fort Myers, FL",,,Gene Cusic Collegiate Classic,"L,3-7",Box ScoreRecapBox Score
"March 22, 2013 (Friday)",10:00 am ET,Neutral,University of Wisconsin - Stout,"Fort Myers, FL",,,Gene Cusic Collegiate Classic,"L,1-13",Box ScoreRecapBox Score
"March 23, 2013 (Saturday)",12:00 pm ET,Neutral,Otterbein University,"Fort Myers, FL",,,Gene Cusic Collegiate Classic,"L,3-13",Box ScoreRecapBox Score
"March 24, 2013 (Sunday)",10:00 am ET,Neutral,Otterbein University,"Fort Myers, FL",,,Gene Cusic Collegiate Classic,"W,8-7",Box ScoreRecapBox Score
"March 28, 2013 (Thursday)",1:00 pm,Home,Loras College,"Galesburg, IL/Blodgett Field",,,,Canceled,
"March 28, 2013 (Thursday)",3:30 pm,Home,Loras College,"Galesburg, IL/Blodgett Field",,,,Canceled,
"March 30, 2013 (Saturday)",1:00 pm,Home,Beloit College,"Galesburg, IL/Blodgett Field",,,,"W,16-9",Box ScoreRecapBox Score
