Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 21, 2018 (Tuesday)",5:00 pm,Away,Millikin University,"Decatur, IL",,,Scrimmage,,History
"September 1, 2018 (Saturday)",1:00 pm,Home,Eureka College,"Galesburg, IL/Knosher Bowl",,,,"L,24-49",Box ScoreRecapResults
"September 8, 2018 (Saturday)",1:00 pm,Away,Beloit College,"Beloit, WI",,,,"L,20-23",Box ScoreRecap
"September 22, 2018 (Saturday)",1:00 pm,Away,Ripon College,"Ripon, WI",,,,"L,3-28",Box ScoreRecapResults
"September 29, 2018 (Saturday)",12:00 pm,Home,St. Norbert College,"Galesburg, IL/Knosher Bowl",,,Knox Family and Friends Weekend,"L,0-34",Box ScoreRecapResults
"October 6, 2018 (Saturday)",1:00 pm,Home,Lake Forest College,"Galesburg, IL/Knosher Bowl",,,,"L,0-35",Box ScoreRecapResults
"October 13, 2018 (Saturday)",1:00 pm,Away,Grinnell College,"Grinnell, IA",,,,"W,28-7",Box ScoreRecap
"October 20, 2018 (Saturday)",1:00 pm,Home,Illinois College,"Galesburg, IL/Knosher Bowl",,,Homecoming,"W,20-6",Box ScoreRecapResults
"October 27, 2018 (Saturday)",1:00 pm,Away,Cornell College,"Mt. Vernon, IA",,,,"L,7-22",Box ScoreRecapResults
"November 3, 2018 (Saturday)",1:00 pm,Home,Monmouth College,"Galesburg, IL/Knosher Bowl",,,130th Bronze Turkey Game - Senior Day,"L,7-40",Box ScoreRecapResults
"November 10, 2018 (Saturday)",1:00 pm,Away,Ripon College,"Ripon, WI",,,,"L,19-38",Box ScoreRecap
