Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 31, 2012 (Friday)",2:00 pm,Home,Spalding University,"Galesburg, IL",,,"L,1-2OT",Box ScoreRecap
"September 2, 2012 (Sunday)",3:00 pm,Away,Robert Morris University - Springfield,"Springfield, IL",,,"W,9-0",Box ScoreRecap
"September 9, 2012 (Sunday)",3:30 pm,Away,Rockford College,"Rockford, IL",,,"W,2-1",Box ScoreRecap
"September 11, 2012 (Tuesday)",5:00 pm,Away,Aurora University,"Aurora, IL",,,"L,1-3",Box ScoreRecap
"September 15, 2012 (Saturday)",1:30 pm,Away,Ripon College,"Ripon, WI",,,"L,1-2",Box ScoreRecap
"September 16, 2012 (Sunday)",1:30 pm,Away,Lawrence University,"Appleton, WI",,,"T,1-1First MWC point since 2008 season",Box ScoreRecap
"September 19, 2012 (Wednesday)",4:00 pm,Away,MacMurray College,"Jacksonville, IL",,,"W,7-1Prairie Fire claims the traveling Ferris Trophy",Box ScoreRecap
"September 22, 2012 (Saturday)",1:00 pm,Home,Monmouth College,"Galesburg, IL",,,"W,2-1",Box ScoreRecap
"September 26, 2012 (Wednesday)",2:00 pm,Home,Eureka College,"Galesburg, IL",,,"W,7-1",Box ScoreRecap
"September 29, 2012 (Saturday)",1:30 pm,Away,Grinnell College,"Grinnell, IA",,,"L,1-4",Box ScoreRecap
"October 4, 2012 (Thursday)",3:30 pm,Home,Illinois College,"Galesburg, IL",,,postponed due to weather; reschedule Oct. 25 at 3 p.m.,Recap
"October 6, 2012 (Saturday)",1:30 pm,Away,Cornell College,"Mount Vernon, IA",,,"T,1-1",Box ScoreRecap
"October 10, 2012 (Wednesday)",4:00 pm,Away,Millikin University,"Decatur, IL",,,"L,1-2",Box ScoreRecap
"October 13, 2012 (Saturday)",3:30 pm,Away,Lake Forest College,"Lake Forest, IL",,,"L,0-3",Box ScoreRecap
"October 20, 2012 (Saturday)",1:30 pm,Home,Carroll University - Homecoming,"Galesburg, IL",,,"L,1-2",Box ScoreRecap
"October 21, 2012 (Sunday)",1:30 pm,Home,Beloit College,"Galesburg, IL",,,"L,3-4",Box ScoreRecap
"October 25, 2012 (Thursday)",3:00 pm,Home,Illinois College (reschedule from Oct. 4),"Galesburg, IL",,,"W,4-2",Box ScoreRecap
"October 27, 2012 (Saturday)",1:30 pm,Home,St. Norbert College - Senior Day,"Galesburg, IL",,,"L,1-2",Box ScoreRecap
