Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 29, 2014 (Friday)",5:00 pm,Away,Millikin University,"Decatur, IL",,,,"L,0-3",Box ScoreRecapBox Score
"September 5, 2014 (Friday)",4:00 pm,Away,Carleton College,"Northfield, MN",,,ACM Tournament,"L,0-3",Box ScoreRecapBox Score
"September 7, 2014 (Sunday)",10:00 am,Neutral,Coe College,"Northfield, MN",,,ACM Tournament,"L,0-2",Box ScoreRecapBox Score
"September 11, 2014 (Thursday)",4:30 pm,Home,Eureka College,"Galesburg, IL/Jorge Prats Field",,,,"W,8-0",Box ScoreRecapBox Score
"September 14, 2014 (Sunday)",2:00 pm,Away,Westminster College (MO),"Fulton, MO",,,,"L,2-3",Box ScoreRecapBox Score
"September 17, 2014 (Wednesday)",2:00 pm,Away,MacMurray College,"Jacksonville, IL",,,,"W,7-0",Box ScoreRecapBox Score
"September 20, 2014 (Saturday)",3:30 pm,Away,Grinnell College,"Grinnell, IA",,,,"L,0-3",Box ScoreRecapBox Score
"September 23, 2014 (Tuesday)",4:30 pm,Home,Monmouth College,"Galesburg, IL/Jorge Prats Field",,,,"L,0-4",Box ScoreRecapBox Score
"September 27, 2014 (Saturday)",1:30 pm,Home,Rockford University,"Galesburg, IL/Jorge Prats Field",,,,"W,7-0",Box ScoreRecapBox Score
"October 4, 2014 (Saturday)",1:30 pm,Away,Ripon College,"Ripon, WI",,,,"L,1-5",Box ScoreRecapBox Score
"October 5, 2014 (Sunday)",1:30 pm,Away,Lawrence University,"Appleton, WI",,,,"L,0-2",Box ScoreRecapBox Score
"October 11, 2014 (Saturday)",3:30 pm,Away,Cornell College,"Mount Vernon, IA",,,,"L,0-5",Box ScoreRecapBox Score
"October 18, 2014 (Saturday)",1:30 pm,Home,Carroll University,"Galesburg, IL/Jorge Prats Field",,,,"L,0-6",Box ScoreRecapBox Score
"October 19, 2014 (Sunday)",1:30 pm,Home,Beloit College,"Galesburg, IL/Jorge Prats Field",,,,"L,1-2",Box ScoreRecapBox Score
"October 25, 2014 (Saturday)",1:30 pm,Home,St. Norbert College,"Galesburg, IL/Jorge Prats Field",,,,"L,0-1",Box ScoreRecap
"October 29, 2014 (Wednesday)",4:00 pm,Home,Illinois College,"Galesburg, IL/Jorge Prats Field",,,,"L,1-2",Box ScoreRecapBox Score
"November 1, 2014 (Saturday)",2:30 pm,Away,#17 Lake Forest College,"Lake Forest, IL",,,,"L,2-7",Box ScoreRecapBox Score
