Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 1, 2010 (Wednesday)",6:00:00 PM,Away,Coe College,"Cedar Rapids, Iowa",,,"L,0-3",Recap
"September 4, 2010 (Saturday)",2:00:00 PM,Away,Eureka College (Eureka College Tournament),"Eureka, Illinois",,,"W,3-0",Recap
"September 4, 2010 (Saturday)",6:00:00 PM,Away,Robert Morris College - Springfield (Eureka College Tournament),"Eureka, Illinois",,,"W,3-2",Recap
"September 5, 2010 (Sunday)",2:00:00 PM,Away,Stephens College (Eureka College Tournament),"Eureka, Illinois",,,"W,3-0",Recap
"September 5, 2010 (Sunday)",4:00:00 PM,Away,Blackburn College (Eureka College Tournament),"Eureka, Illinois",,,"L,0-3",Recap
"September 7, 2010 (Tuesday)",7:00:00 PM,Away,Iowa Wesleyan College,"Mount Pleasant, Iowa",,,"L,0-3",
"September 11, 2010 (Saturday)",1:00:00 PM,Away,Robert Morris College - Springfield,"Greenville, Illinois",,,"W,3-2",
"September 11, 2010 (Saturday)",3:00:00 PM,Away,Greenville College,"Greenville, Illinois",,,"L,0-3",
"September 18, 2010 (Saturday)",12:00:00 PM,Away,Coe College (Monmouth College Tournament),"Monmouth, Illinois",,,"L,0-3",Recap
"September 18, 2010 (Saturday)",2:30:00 PM,Away,Lincoln Christian University (Monmouth College Tournament),"Monmouth, Illinois",,,"L,2-3",Recap
"September 18, 2010 (Saturday)",5:00:00 PM,Away,Robert Morris University - Springfield (Monmouth College Tournament),"Monmouth, Illinois",,,"W,2-2",Recap
"September 22, 2010 (Wednesday)",6:00:00 PM,Away,Lincoln Christian University,"Jacksonville, Illinois",,,"L,0-3",
"September 22, 2010 (Wednesday)",8:00:00 PM,Away,Illinois College*,"Jacksonville, Illinois",,,"L,0-3",
"September 25, 2010 (Saturday)",1:00:00 PM,Home,Beloit College*,HOME,,,"L,1-3",Recap
"September 30, 2010 (Thursday)",7:00:00 PM,Home,Greenville College,HOME,,,"L,0-3",Recap
"October 5, 2010 (Tuesday)",7:00:00 PM,Home,Monmouth College*,"Monmouth, Illinois",,,"L,0-3",Recap
"October 8, 2010 (Friday)",7:00:00 PM,Home,Lawrence University*,HOME,,,"L,0-3",Recap
"October 9, 2010 (Saturday)",1:00:00 PM,Home,St. Norbert College*,HOME,,,"L,1-3",Recap
"October 14, 2010 (Thursday)",6:30:00 PM,Home,Lake Forest College*,HOME,,,"L,1-3",Recap
"October 16, 2010 (Saturday)",1:00:00 PM,Away,Grinnell College*,HOME,,,"L,0-3",Recap
"October 16, 2010 (Saturday)",5:00:00 PM,Away,Iowa Wesleyan College,HOME,,,"L,0-3",Recap
"October 22, 2010 (Friday)",7:30:00 PM,Away,Carroll University*,"Waukesha, Wisconsin",,,"L,0-3",Recap
"October 23, 2010 (Saturday)",1:00:00 PM,Away,Ripon College*,"Ripon, Wisconsin",,,"L,1-3",Recap
"October 29, 2010 (Friday)",7:00:00 PM,Away,Cardinal Stritch University (Cardinal Stritch University Tournament),"Milwaukee, Wisconsin",,,"L,0-3",Recap
"October 30, 2010 (Saturday)",11:00:00 AM,Away,Clarke College (Cardinal Stritch University Tournament),"Milwaukee, Wisconsin",,,"L,0-3",Recap
"October 30, 2010 (Saturday)",2:30:00 PM,Away,Benedictine University - Springfield (Cardinal Stritch University Tournament),"Milwaukee, Wisconsin",,,"W,3-0",Recap
