Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 1, 2021 (Wednesday)",7 PM,Away,Eureka College,"Eureka, IL",,,,"W,3-0",Box ScoreRecap
"September 4, 2021 (Saturday)",11 AM,Away,Rose-Hulman Institute of Technology,"Jacksonville, IL",,,Illinois College Tournament,"L,2-3",Box ScoreRecap
"September 4, 2021 (Saturday)",1 PM,Away,Concordia University Chicago,"Jacksonville, IL",,,Illinois College Tournament,"L,0-3",Box ScoreRecap
"September 7, 2021 (Tuesday)",7 PM,Away,Iowa Wesleyan University,"Mount Pleasant, IA",,,,"W,3-1",Box ScoreRecap
"September 8, 2021 (Wednesday)",7 PM,Away,Rockford University,"Rockford, IL",,,,"W,3-1",Box ScoreRecap
"September 11, 2021 (Saturday)",2 PM,Away,Dominican University (Ill.),"River Forest, IL",,,,"L,0-3",Box ScoreRecap
"September 11, 2021 (Saturday)",4 PM,Away,North Park University,"River Forest, IL",,,,"L,0-3",Box ScoreRecap
"September 14, 2021 (Tuesday)",7 PM,Home,Spoon River College,"Galesburg, IL/Memorial Gymnasium",,,,Canceled,
"September 17, 2021 (Friday)",4 PM,Away,Coe College,"Rock Island, IL",,,Augustana College Tournament,"L,0-3",Box ScoreRecap
"September 17, 2021 (Friday)",6 PM,Neutral,Nebraska Wesleyan University,"Rock Island, IL",,,Augustana College Tournament,"W,3-0",Box ScoreRecap
"September 18, 2021 (Saturday)",10 am,Away,Augustana College (IL),"Rock Island, IL",,,Augustana College Tournament,"W,3-2",Box ScoreRecap
"September 18, 2021 (Saturday)",12 PM,Away,University of Wisconsin-Platteville,"Rock Island, IL",,,Augustana College Tournament,"L,0-3",Box ScoreRecap
"September 24, 2021 (Friday)",7 PM,Away,Cornell College,"Mt.Vernon, IA",,,,"L,0-3",Box ScoreRecap
"September 25, 2021 (Saturday)",1 PM,Away,Beloit College,"Beloit, WI",,,,"W,3-1",Box ScoreRecap
"September 27, 2021 (Monday)",7 pm,Home,Carl Sandburg College,"Galesburg, IL/Memorial Gymnasium",,,,"L,0-3",RecapResults
"October 2, 2021 (Saturday)",1 PM,Away,Lawrence University,"Appleton, WI",,,,"W,3-0",Box ScoreRecap
"October 9, 2021 (Saturday)",1 PM,Home,Illinois College,"Galesburg, IL/Memorial Gymnasium",,,,"L,2-3",Box ScoreRecap
"October 13, 2021 (Wednesday)",7 PM,Away,Monmouth College,"Monmouth, IL",,,,"L,0-3",Box ScoreRecap
"October 16, 2021 (Saturday)",10 am,Home,Grinnell College,"Galesburg, IL/Memorial Gymnasium",,,,"L,0-3",Box ScoreRecap
"October 16, 2021 (Saturday)",2 pm,Home,Central College,"Galesburg, IL/Memorial Gymnasium",,,,"L,0-3",Box ScoreRecap
"October 19, 2021 (Tuesday)",7 PM,Away,Lincoln Christian University,"Lincoln, IL",,,,"L,2-3",Box ScoreRecapResults
"October 22, 2021 (Friday)",7 PM,Home,Ripon College,"Galesburg, IL/Memorial Gymnasium",,,,"W,3-1",Box ScoreRecap
"October 23, 2021 (Saturday)",1 PM,Home,Lake Forest College,"Galesburg, IL/Memorial Gymnasium",,,,"L,1-3",Box ScoreRecap
"October 27, 2021 (Wednesday)",7 PM,Home,Iowa Wesleyan University,"Galesburg, IL/Memorial Gymnasium",,,Senior Night,"W,3-0",Box ScoreRecap
"October 30, 2021 (Saturday)",11:00 am,Neutral,Luther College,Grinnell. IA,,,,"W,3-0",Box ScoreRecap
"October 30, 2021 (Saturday)",1:00 pm,Neutral,Lake Forest College,"Grinnell, IA",,,,"L,1-3",Box ScoreRecap
"November 2, 2021 (Tuesday)",7 PM,Home,Spoon River College,"Galesburg, IL/Memorial Gymnasium",,,,Canceled,
