Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 7, 2002 (Saturday)",1:30 pm,Home,Concordia University Chicago,"Lake Forest, IL",,,"W,52-10",
"September 14, 2002 (Saturday)",1:30 pm,Home,Grinnell College,"Lake Forest, IL",,,"W,26-15",
"September 21, 2002 (Saturday)",6 pm,Away,Beloit College,"Beloit, WI",,,"W,24-23",
"September 28, 2002 (Saturday)",1:30 pm,Home,Ripon College,"Lake Forest, IL",,,"W,20-18",
"October 5, 2002 (Saturday)",1:30 pm,Away,Monmouth College,"Monmouth, IL",,,"W,27-3",
"October 12, 2002 (Saturday)",1:30 pm,Away,Knox College,"Galesburg, IL",,,"L,30-35",
"October 19, 2002 (Saturday)",1:30 pm,Home,Illinois College,"Lake Forest, IL",,,"W,32-20",
"October 26, 2002 (Saturday)",1:30 pm,Away,Carroll University,"Waukesha, WI",,,"W,18-0",
"November 2, 2002 (Saturday)",1 pm,Home,Lawrence University,"Lake Forest, IL",,,"W,27-6",
"November 9, 2002 (Saturday)",1 pm,Away,St. Norbert College,"De Pere, WI",,,"W,17-0",
"November 23, 2002 (Saturday)",12 pm,Away,Wartburg College,"Waverly, IA",,,"L,0-45",
