Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 3, 1994 (Saturday)",,Away,Wheaton College (Ill.),"Wheaton, IL",,,,"L,0-3",
"September 7, 1994 (Wednesday)",,Home,North Park University,"Lake Forest, IL",,,,"W,6-0",
"September 10, 1994 (Saturday)",,Away,Rockford University,"Rockford, IL",,,,"W,2-0(2OT)",
"September 13, 1994 (Tuesday)",,Home,Aurora University,"Lake Forest, IL",,,,"W,4-2(OT)",
"September 17, 1994 (Saturday)",,Away,St. Norbert College,De Pere. WI,,,,"L,2-3(2OT)",
"September 21, 1994 (Wednesday)",,Home,Beloit College,"Lake Forest, IL",,,,"W,4-2",
"September 24, 1994 (Saturday)",,Away,Lawrence University,"Appleton, WI",,,,"W,4-0",
"September 27, 1994 (Tuesday)",,Home,University of Chicago,"Lake Forest, IL",,,,"L,2-5",
"October 1, 1994 (Saturday)",,Away,Ripon College,"Ripon, WI",,,,"W,9-2",
"October 5, 1994 (Wednesday)",,Away,Carroll University,"Waukesha, WI",,,,"W,3-0",
"October 8, 1994 (Saturday)",,Home,St. Norbert College,"Lake Forest, IL",,,,"W,3-0",
"October 12, 1994 (Wednesday)",,Away,Beloit College,"Beloit, WI",,,,"L,1-3",
"October 15, 1994 (Saturday)",,Home,Ripon College,"Lake Forest, IL",,,,"W,9-1",
"October 19, 1994 (Wednesday)",,Home,Carroll University,"Lake Forest, IL",,,,"W,3-0",
"October 22, 1994 (Saturday)",,Home,Lawrence University,"Lake Forest, IL",,,,"W,4-2",
"October 23, 1994 (Sunday)",,Home,St. Olaf College,"Lake Forest, IL",,,,"W,1-0(OT)",
"October 29, 1994 (Saturday)",,Away,Grinnell College,"Grinnell, IA",,,Midwest Conference Tournament,"L,1-5",
