Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 4, 2004 (Saturday)",4 pm,Away,St. Norbert College,De Pere. WI,,,"L,1-3",
"September 5, 2004 (Sunday)",4 pm,Home,Carleton College,"Lake Forest, IL",,,"W,2-1",
"September 7, 2004 (Tuesday)",4:30 pm,Home,Benedictine University,"Lake Forest, IL",,,"L,1-2",
"September 11, 2004 (Saturday)",3 pm,Away,Knox College,"Galesburg, IL",,,"W,2-1",
"September 12, 2004 (Sunday)",3 pm,Home,Ripon College,"Lake Forest, IL",,,"W,2-0",
"September 18, 2004 (Saturday)",3 pm,Away,Lawrence University,"Appleton, WI",,,"T,2-2(2OT)",
"September 21, 2004 (Tuesday)",7 pm,Away,Milwaukee School of Engineering,"Milwaukee, WI",,,"W,3-2(OT)",
"September 25, 2004 (Saturday)",1 pm,Away,Grinnell College,"Grinnell, IA",,,"W,4-2",
"September 26, 2004 (Sunday)",3 pm,Home,Beloit College,"Lake Forest, IL",,,"T,3-3(2OT)",
"October 2, 2004 (Saturday)",1 pm,Home,Carthage College,"Lake Forest, IL",,,"W,4-3",
"October 9, 2004 (Saturday)",12:30 pm,Home,Carroll University,"Lake Forest, IL",,,"L,0-2",
"October 13, 2004 (Wednesday)",4 pm,Home,Concordia University Chicago,"Lake Forest, IL",,,"W,2-1",
"October 16, 2004 (Saturday)",3 pm,Home,Monmouth College,"Lake Forest, IL",,,"W,5-1",
"October 17, 2004 (Sunday)",1 pm,Home,Illinois College,"Lake Forest, IL",,,"W,6-1",
"October 23, 2004 (Saturday)",2:30 pm,Away,University of Wisconsin-Whitewater,"Whitewater, WI",,,"W,2-0",
"October 31, 2004 (Sunday)",1 pm,Away,Aurora University,"Aurora, IL",,,"W,2-0",
