Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 31, 2012 (Friday)",5 pm,Home,Concordia University Wisconsin,"Lake Forest, IL",,,,"L,0-5",Box ScoreRecap
"September 2, 2012 (Sunday)",1 pm,Home,Eureka College,"Lake Forest, IL",,,,"W,11-0",Box ScoreRecapPhotos
"September 3, 2012 (Monday)",7 pm,Away,Wisconsin Lutheran College,"Milwaukee, WI",,,,"W,3-0",Box ScoreRecap
"September 7, 2012 (Friday)",5 pm,Away,Carthage College,"Kenosha, WI",,,Border Battle,"L,0-1",Box ScoreRecap
"September 8, 2012 (Saturday)",3 pm,Neutral,University of Wisconsin-Oshkosh,Carthage,,,Border Battle,"L,0-1(OT)",Box ScoreRecap
"September 12, 2012 (Wednesday)",5 pm,Away,Edgewood College,"Madison, WI",,,,"L,1-3",Box ScoreRecap
"September 15, 2012 (Saturday)",11 am,Home,Grinnell College,"Lake Forest, IL",,,,"W,1-0",Box ScoreRecap
"September 16, 2012 (Sunday)",1 pm,Home,Cornell College,"Lake Forest, IL",,,,"W,5-0",Box ScoreRecapPhotos
"September 22, 2012 (Saturday)",1 pm,Away,Lawrence University,"Appleton, WI",,,,"W,5-1",Box ScoreRecap
"September 26, 2012 (Wednesday)",4 pm,Away,Beloit College,"Beloit, WI",,,,"W,3-0",Box ScoreRecap
"September 29, 2012 (Saturday)",1 pm,Home,Ripon College,"Lake Forest, IL",,,,"W,3-2(2OT)",Box ScoreRecapPhotos
"October 2, 2012 (Tuesday)",4:26 pm,Home,Carroll University,"Lake Forest, IL",,,,"W,1-0",Box ScoreRecap
"October 5, 2012 (Friday)",5 pm,Away,St. Norbert College,De Pere. WI,,,,"T,2-2(2OT)",Box ScoreRecap
"October 11, 2012 (Thursday)",4 pm,Home,Milwaukee School of Engineering,"Lake Forest, IL",,,,"W,5-0",Box ScoreRecap
"October 13, 2012 (Saturday)",1 pm,Home,Knox College,"Lake Forest, IL",,,,"W,4-0",Box ScoreRecap
"October 16, 2012 (Tuesday)",4 pm,Home,Benedictine University,"Lake Forest, IL",,,,"W,4-2",Box ScoreRecap
"October 20, 2012 (Saturday)",11 am,Away,Monmouth University,"West Long Branch, NJ",,,,"L,1-3",Box ScoreRecap
"October 21, 2012 (Sunday)",11 am,Away,Illinois College,"Jacksonville, IL",,,,"W,3-0",Box ScoreRecap
"November 2, 2012 (Friday)",11 am,Home,Grinnell College,"Lake Forest, IL",,,Midwest Conference Tournament,"W,3-0",Box ScoreRecap
"November 3, 2012 (Saturday)",11 am,Home,St. Norbert College,"Lake Forest, IL",,,Midwest Conference Tournament,"W,2-0",Box ScoreRecap
"November 10, 2012 (Saturday)",5 pm,Neutral,Concordia-M'head,Wartburg,,,NCAA Division III Tournament,"L,1-2",Box ScoreRecap
