Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"March 10, 2002 (Sunday)",12:30 pm,Neutral,Ithaca,"Orlando, Fla.",,,"W,10-5",
"March 10, 2002 (Sunday)",2:30 pm,Neutral,Muskingum,"Orlando, Fla.",,,"W,1-0",
"March 12, 2002 (Tuesday)",9 am,Neutral,Denison,"Orlando, Fla.",,,"W,2-0",
"March 12, 2002 (Tuesday)",12:30 pm,Neutral,Geneva,"Orlando, Fla.",,,"W,5-4",
"March 13, 2002 (Wednesday)",6 pm,Neutral,Marietta,"Orlando, Fla.",,,"L,0-1",
"March 13, 2002 (Wednesday)",8 pm,Neutral,Springfield,"Orlando, Fla.",,,"W,4-0",
"March 14, 2002 (Thursday)",12:30 pm,Neutral,Carroll,"Orlando, Fla.",,,"L,3-5",
"March 14, 2002 (Thursday)",2:30 pm,Away,Simpson,,,,"L,0-1",
"March 23, 2002 (Saturday)",1 pm,Away,St. Xavier,,,,"L,0-2",
"March 23, 2002 (Saturday)",3 pm,Away,St. Xavier,,,,"L,0-3",
"March 27, 2002 (Wednesday)",2:30 pm,Away,Carthage,,,,"W,1-0",
"March 27, 2002 (Wednesday)",5 pm,Away,Carthage,,,,"L,0-3",
"April 6, 2002 (Saturday)",1 pm,Away,Illinois Col.,,,,"W,10-1",
"April 6, 2002 (Saturday)",3 pm,Away,Illinois Col.,,,,"W,11-0",
"April 12, 2002 (Friday)",1 pm,Neutral,Beloit,"Rockford, Ill.",,,"W,13-1",
"April 12, 2002 (Friday)",3 pm,Neutral,St. Norbert,"Rockford, Ill.",,,"L,1-2",
"April 13, 2002 (Saturday)",10 am,Neutral,Lawrence,"Rockford, Ill.",,,"W,3-0",
"April 13, 2002 (Saturday)",12 pm,Neutral,Carroll,"Rockford, Ill.",,,"W,1-0",
"April 13, 2002 (Saturday)",3 pm,Neutral,Ripon,"Rockford, Ill.",,,"W,2-1",
"April 15, 2002 (Monday)",3 pm,Home,North Central,,,,"L,0-1",
"April 15, 2002 (Monday)",5 pm,Home,North Central,,,,"W,4-1",
"April 19, 2002 (Friday)",3 pm,Home,Aurora,,,,"W,5-0",
"April 19, 2002 (Friday)",5 pm,Home,Aurora,,,,"W,5-4",
"April 20, 2002 (Saturday)",1 pm,Away,Monmouth College,"Monmouth, IL",,,"L,2-4",
"April 20, 2002 (Saturday)",3 pm,Away,Monmouth College,"Monmouth, IL",,,"W,2-1",
"April 22, 2002 (Monday)",3 pm,Away,Chicago,,,,"W,4-0",
"April 22, 2002 (Monday)",5 pm,Away,Chicago,,,,"W,5-4",
"April 25, 2002 (Thursday)",3 pm,Home,Benedictine,,,,"W,5-1",
"April 25, 2002 (Thursday)",5 pm,Home,Benedictine,,,,"W,3-1",
"April 27, 2002 (Saturday)",1 pm,Home,Grinnell,,,,"W,9-0",
"April 27, 2002 (Saturday)",3 pm,Home,Grinnell,,,,"W,4-2",
"April 30, 2002 (Tuesday)",3 pm,Home,Knox,,,,"W,2-1",
"April 30, 2002 (Tuesday)",5 pm,Home,Knox,,,,"L,1-2",
"May 3, 2002 (Friday)",4 pm,Home,St. Norbert,,,,"W,2-0",
"May 3, 2002 (Friday)",6:30 pm,Home,Monmouth College,,,,"W,4-1",
"May 4, 2002 (Saturday)",11 am,Home,Monmouth College,,,,"W,8-0",
"May 10, 2002 (Friday)",5 pm,Neutral,Webster,Ill. Wesleyan,,,"W,8-0",
"May 11, 2002 (Saturday)",5 pm,Neutral,Benedictine,Ill. Wesleyan,,,"W,7-1",
"May 12, 2002 (Sunday)",4 pm,Neutral,Benedictine,Ill. Wesleyan,,,"W,2-0",
"May 16, 2002 (Thursday)",11 am,Neutral,Emory,Wis.-Eau Claire,,,"L,0-1",
"May 16, 2002 (Thursday)",6 pm,Neutral,Western Conn. St.,Wis.-Eau Claire,,,"W,6-4",
"May 17, 2002 (Friday)",4 pm,Neutral,Salisbury,Wis.-Eau Claire,,,"W,6-0",
"May 17, 2002 (Friday)",7 pm,Neutral,Emory,Wis.-Eau Claire,,,"W,1-0",
"May 18, 2002 (Saturday)",11 am,Neutral,Pacific Lutheran,Wis.-Eau Claire,,,"W,3-2",
"May 19, 2002 (Sunday)",11 am,Neutral,Ithaca,Wis.-Eau Claire,,,"W,4-2",
"May 20, 2002 (Monday)",11 am,Neutral,Ithaca,Wis.-Eau Claire,,,"L,0-1",
