Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 31, 2012 (Friday)",6:00 p.m.,Neutral,Albion College,"Elmhurst, IL",,,Elmhurst Invitational,"W,3-1",Box ScoreRecap
"August 31, 2012 (Friday)",8:00 p.m.,Away,Elmhurst University,"Elmhurst, IL",,,Elmhurst Invitational,"L,0-3",Box ScoreRecap
"September 1, 2012 (Saturday)",1:00 p.m.,Neutral,University of Chicago,"Elmhurst, IL",,,Elmhurst Invitational,"L,0-3",Box ScoreRecap
"September 1, 2012 (Saturday)",3:00 p.m.,Neutral,John Carroll University,"Elmhurst, IL",,,Elmhurst Invitational,"W,3-2",Box ScoreRecap
"September 4, 2012 (Tuesday)",7:00 p.m.,Away,Wheaton College (Ill.),"Wheaton, IL",,,,"L,0-3",Box ScoreRecap
"September 7, 2012 (Friday)",6:00 p.m.,Neutral,Rockford University,"Aurora, IL",,,Jim Coleman Memorial Invitational,"W,3-0",Box ScoreRecap
"September 7, 2012 (Friday)",8:00 p.m.,Neutral,Manchester University,"Aurora, IL",,,Jim Coleman Memorial Invitational,"W,3-1",Box ScoreRecap
"September 8, 2012 (Saturday)",12:00 p.m.,Neutral,Roosevelt University,"Aurora, IL",,,Jim Coleman Memorial Invitational,"L,2-3",Box ScoreRecap
"September 8, 2012 (Saturday)",4:00 p.m.,Away,Aurora University,"Aurora, IL",,,Jim Coleman Memorial Invitational,"W,3-0",Box ScoreRecap
"September 15, 2012 (Saturday)",12:00 p.m.,Neutral,North Central College,"Lisle, IL",,,Red & Black Triangular,"W,3-0",Box ScoreRecap
"September 15, 2012 (Saturday)",2:00 p.m.,Away,Benedictine University,"Lisle, IL",,,Red & Black Triangular,"L,2-3",Box ScoreRecap
"September 18, 2012 (Tuesday)",7:00 p.m.,Away,Mount Mary University,"Milwaukee, WI",,,,"W,3-1",Box ScoreRecap
"September 22, 2012 (Saturday)",10:00 a.m.,Away,Milwaukee School of Engineering,"Milwaukee, WI",,,,"W,3-0",Box ScoreRecap
"September 22, 2012 (Saturday)",12:00 p.m.,Neutral,Mount Mary University,"Milwaukee, WI",,,,"W,3-0",Box ScoreRecap
"September 26, 2012 (Wednesday)",7:00 p.m.,Home,Beloit College,"Lake Forest, IL",,,,"W,3-0",Box ScoreRecap
"September 29, 2012 (Saturday)",7:00 p.m.,Away,Ripon College,"Ripon, WI",,,,"W,3-1",Box ScoreRecap
"October 2, 2012 (Tuesday)",7:00 p.m.,Home,Dominican University (Ill.),"Lake Forest, IL",,,,"L,0-3",Box ScoreRecap
"October 5, 2012 (Friday)",7:00 p.m.,Home,Grinnell College,"Lake Forest, IL",,,,"W,3-0",Box ScoreRecap
"October 6, 2012 (Saturday)",12:00 p.m.,Home,Cornell College,"Lake Forest, IL",,,,"L,0-3",Box ScoreRecap
"October 10, 2012 (Wednesday)",7:00 p.m.,Home,Marian University,"Lake Forest, IL",,,,"W,3-1",Box ScoreRecap
"October 12, 2012 (Friday)",7:00 p.m.,Home,St. Norbert College,"Lake Forest, IL",,,,"L,0-3",Box ScoreRecap
"October 13, 2012 (Saturday)",1:00 p.m.,Home,Lawrence University,"Lake Forest, IL",,,,"W,3-0",Box ScoreRecap
"October 18, 2012 (Thursday)",7:00 p.m.,Away,Illinois College,"Jacksonville, IL",,,,"W,3-1",Box ScoreRecap
"October 23, 2012 (Tuesday)",7:00 p.m.,Away,Carroll University,"Waukesha, WI",,,,"L,0-3",Box ScoreRecap
"October 26, 2012 (Friday)",7:00 p.m.,Away,Monmouth College,"Monmouth, IL",,,,"W,3-2",Box ScoreRecap
"October 27, 2012 (Saturday)",1:00 p.m.,Away,Knox College,"Galesburg, IL",,,,"W,3-0",Box ScoreRecap
"November 2, 2012 (Friday)",4:30 p.m.,Neutral,St. Norbert College,"Mount Vernon, IA",,,Midwest Conference Tournament,"L,0-3",Box ScoreRecap
