Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"March 5, 2022 (Saturday)",Noon,Neutral,Wisconsin Lutheran College,"Rantoul, IL",,,"W,13-5",Box ScoreRecap
"March 5, 2022 (Saturday)",2:30 pm,Neutral,Wisconsin Lutheran College,"Rantoul, IL",,,"W,5-4",Box ScoreRecap
"March 19, 2022 (Saturday)",1:30 pm Eastern,Neutral,Hope College,"Auburndale, FL",,,"L,8-10",Box ScoreRecap
"March 19, 2022 (Saturday)",4 pm Eastern,Neutral,Hope College,"Auburndale, FL",,,"W,12-8",Box ScoreRecap
"March 20, 2022 (Sunday)",1:45 pm Eastern,Neutral,Bowdoin College,"Auburndale, FL",,,"L,3-11",Box ScoreRecap
"March 21, 2022 (Monday)",11 am Eastern,Neutral,SUNY Cobleskill,"Auburndale, FL",,,"W,20-5",Box ScoreRecap
"March 21, 2022 (Monday)",1:30 pm Eastern,Neutral,SUNY Cobleskill,"Auburndale, FL",,,"L,2-4",Box ScoreRecap
"March 22, 2022 (Tuesday)",11:30 am Eastern,Neutral,Hamilton College,"Auburndale, FL",,,"W,9-7",Box ScoreRecap
"March 23, 2022 (Wednesday)",1:30 pm Eastern,Neutral,Union College,"Auburndale, FL",,,"L,2-10",Box ScoreRecap
"March 23, 2022 (Wednesday)",4 pm Eastern,Neutral,Union College,"Auburndale, FL",,,"L,7-13",Box ScoreRecap
"March 26, 2022 (Saturday)",2 pm,Neutral,Elmhurst University,"Rockford, IL",,,Canceled,
"March 26, 2022 (Saturday)",5 pm,Away,Rockford University,"Rockford, IL",,,Canceled,
"March 27, 2022 (Sunday)",Noon,Neutral,Elmhurst University,"Rockford, IL",,,Canceled,
"March 27, 2022 (Sunday)",3 pm,Away,Rockford University,"Rockford, IL",,,Canceled,
"April 2, 2022 (Saturday)",Noon,Away,Grinnell College,"Grinnell, IA",,,"W,11-0",Box ScoreRecap
"April 2, 2022 (Saturday)",2:30 pm,Away,Grinnell College,"Grinnell, IA",,,"W,14-10",Box ScoreRecap
"April 3, 2022 (Sunday)",10 am,Away,Grinnell College,"Grinnell, IA",,,"L,3-5",Box ScoreRecap
"April 6, 2022 (Wednesday)",10 am,Home,Ripon College,"Ashwaubenon, WI/ Capital Credit Union Park",,,"W,6-0",Box ScoreRecap
"April 6, 2022 (Wednesday)",12:30 pm,Home,Ripon College,"Ashwaubenon, WI/ Capital Credit Union Park",,,"W,7-6",Box ScoreRecap
"April 9, 2022 (Saturday)",2 pm,Home,Illinois College,"Appleton, WI/ Whiting Field",,,"W,3-0",Box ScoreRecap
"April 10, 2022 (Sunday)",Noon,Home,Illinois College,"Appleton, WI/ Whiting Field",,,"W,23-12(8 inn.)",Box ScoreRecap
"April 10, 2022 (Sunday)",3 pm,Home,Illinois College,"Appleton, WI/ Whiting Field",,,"W,7-4",Box ScoreRecap
"April 12, 2022 (Tuesday)",1 pm,Away,Ripon College,"Ripon, WI",,,"W,15-13",Box ScoreRecap
"April 15, 2022 (Friday)",5 pm,Away,Cornell College,"Mount Vernon, IA",,,"L,9-10",Box ScoreRecap
"April 16, 2022 (Saturday)",Noon,Away,Cornell College,"Mount Vernon, IA",,,"W,15-3",Box ScoreRecap
"April 16, 2022 (Saturday)",2:30 pm,Away,Cornell College,"Mount Vernon, IA",,,"W,6-5",Box ScoreRecap
"April 19, 2022 (Tuesday)",1 pm,Home,Beloit College,"Appleton, WI/ Whiting Field",,,"W,5-0",Box ScoreRecap
"April 19, 2022 (Tuesday)",3:30 pm,Home,Beloit College,"Appleton, WI/ Whiting Field",,,"W,13-7",Box ScoreRecap
"April 23, 2022 (Saturday)",Noon,Away,Monmouth College,"Monmouth, IL",,,"L,7-8",Box ScoreRecap
"April 23, 2022 (Saturday)",2:30 pm,Away,Monmouth College,"Monmouth, IL",,,"L,2-14(7 inn.)",Box ScoreRecap
"April 24, 2022 (Sunday)",Noon,Away,Monmouth College,"Monmouth, IL",,,"W,4-3",Box ScoreRecap
"April 27, 2022 (Wednesday)",1 pm,Away,Beloit College,"Beloit, WI",,,"L,9-17",Box ScoreRecap
"April 30, 2022 (Saturday)",11 am,Home,Knox College,"Appleton, WI/ Whiting Field",,,"W,14-2(7 inn.)",Box ScoreRecap
"May 1, 2022 (Sunday)",Noon,Home,Knox College,"Appleton, WI/ Whiting Field",,,"W,4-0",Box ScoreRecap
"May 1, 2022 (Sunday)",2:30 pm,Home,Knox College,"Appleton, WI/ Whiting Field",,,"W,9-7",Box ScoreRecap
"May 7, 2022 (Saturday)",Noon,Away,University of Chicago,"Chicago, IL",,,"W,8-2",Box ScoreRecap
"May 7, 2022 (Saturday)",2:30 pm,Away,University of Chicago,"Chicago, IL",,,"W,8-3",Box ScoreRecap
"May 8, 2022 (Sunday)",Noon,Away,University of Chicago,"Chicago, IL",,,"L,9-11",Box ScoreRecap
"May 13, 2022 (Friday)",10 am,Home,Illinois College,"Appleton, WI/ Whiting Field",,,"W,16-15",Box ScoreRecap
"May 13, 2022 (Friday)",2:30 pm,Home,University of Chicago,"Appleton, WI/ Whiting Field",,,"W,6-1",Box ScoreRecap
"May 14, 2022 (Saturday)",Noon,Home,University of Chicago,"Appleton, WI/ Whiting Field",,,"W,7-6",Box ScoreRecap
"May 20, 2022 (Friday)",12:30 pm,Away,University of Wisconsin-Stevens Point,"Stevens Point, WI",,,"L,6-11",Box ScoreRecap
"May 21, 2022 (Saturday)",8:30 am,Neutral,Coe College,"Stevens Point, WI",,,"L,1-6",Box ScoreRecap
