Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 29, 2014 (Friday)",4 pm,Home,Luther,,,,"L,1-2",Box Score
"August 31, 2014 (Sunday)",4:30 pm,Away,Aurora,,,,"L,0-3",Box Score
"September 3, 2014 (Wednesday)",7 pm,Away,Milwaukee Engr.,,,,"L,0-4",Box Score
"September 7, 2014 (Sunday)",2 pm,Away,Lakeland,,,,"L,0-1",Box Score
"September 17, 2014 (Wednesday)",5 pm,Home,Edgewood,,,,"T,0-0",Box Score
"September 20, 2014 (Saturday)",11 am,Away,Carroll (Wis.),,,,"L,0-3",
"September 24, 2014 (Wednesday)",7 pm,Away,Wis. Lutheran,,,,"L,1-2",Box Score
"September 27, 2014 (Saturday)",1 pm,Home,Lake Forest,,,,"T,1-1",Box Score
"September 30, 2014 (Tuesday)",3:30 pm,Away,Ripon,,,,"W,4-1",
"October 4, 2014 (Saturday)",11 am,Home,Illinois Col.,,,,"L,0-1",
"October 5, 2014 (Sunday)",11 am,Home,Knox,,,,"L,0-1",
"October 11, 2014 (Saturday)",12 pm,Away,Monmouth (Ill.),,,,"L,0-1",Box Score
"October 15, 2014 (Wednesday)",3:30 pm,Home,St. Norbert,,,,"L,2-3",
"October 18, 2014 (Saturday)",11 am,Away,Grinnell,,,,"L,0-1",Box Score
"October 19, 2014 (Sunday)",11 am,Away,Cornell College,,,,"T,0-0",
"October 25, 2014 (Saturday)",1 pm,Home,Beloit,,,,"W,3-0",
"October 27, 2014 (Monday)",3 pm,Away,Concordia Chicago,,,,"W,3-1",Box Score
"November 1, 2014 (Saturday)",12 pm,Home,Wis.-Superior,,,,"W,2-1",Box Score
