Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"February 6, 2015 (Friday)",8 pm,Home,Wis.-La Crosse,,,,"L,0-9",
"February 13, 2015 (Friday)",7 pm,Home,Lakeland,,,,"W,9-0",
"February 20, 2015 (Friday)",6 pm,Away,Concordia (Wis.),,,,"W,6-3",
"February 27, 2015 (Friday)",7 pm,Away,Wis. Lutheran,,,,"W,8-1",
"March 1, 2015 (Sunday)",12 pm,Away,Milwaukee Engr.,,,,"L,4-5",
"March 4, 2015 (Wednesday)",4 pm,Away,Alma,,,,"W,5-4",
"March 7, 2015 (Saturday)",1 pm,Neutral,Wis.-Eau Claire,"Dubuque, IA",,,"L,1-8",
"March 7, 2015 (Saturday)",4 pm,Away,Dubuque,,,,"W,5-4",
"March 13, 2015 (Friday)",8 pm,Home,Marian (Wis.),,,,"W,9-0",
"March 20, 2015 (Friday)",11 am,Neutral,Calvin,"Orlando, Fla.",,,"L,2-7",
"March 20, 2015 (Friday)",,Home,Onondaga CC,,,,"W,9-0",
"March 22, 2015 (Sunday)",9 am,Neutral,Hamilton,"Orlando, Fla.",,,"L,0-9",
"March 22, 2015 (Sunday)",4 pm,Neutral,Colby,"Orlando, Fla.",,,"L,0-9",
"March 24, 2015 (Tuesday)",,Home,Carthage,,,,"L,0-9",
"March 28, 2015 (Saturday)",,Home,Illinois Col.,,,,"W,9-0",
"March 28, 2015 (Saturday)",,Home,Monmouth (Ill.),,,,"L,1-8",
"March 31, 2015 (Tuesday)",,Away,St. Norbert,,,,"W,5-4",
"April 3, 2015 (Friday)",3 pm,Away,Edgewood,,,,"L,3-6",
"April 8, 2015 (Wednesday)",,Home,Ripon,,,,"W,9-0",
"April 11, 2015 (Saturday)",3 pm,Home,Lake Forest,,,,"L,0-9",
"April 11, 2015 (Saturday)",,Home,Carroll (Wis.),,,,"L,2-7",
"April 15, 2015 (Wednesday)",5 pm,Home,Wis.-Oshkosh,,,,"L,2-7",
"April 18, 2015 (Saturday)",5:9 pm,Away,Grinnell,,,,"L,4-5",
"April 18, 2015 (Saturday)",5:9 pm,Away,Cornell College,,,,"L,0-9",
"April 29, 2015 (Wednesday)",,Home,Knox,,,,"W,6-3",
