Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 2, 2011 (Friday)",6 pm,Away,Edgewood,"Madison, WI",,,"L,0-3",Box Score
"September 4, 2011 (Sunday)",1 pm,Home,North Central (Ill.),,,,"L,1-2",
"September 7, 2011 (Wednesday)",5 pm,Home,Elmhurst,,,,"L,1-3",
"September 10, 2011 (Saturday)",11 am,Away,Marian (Wis.),"Fond du Lac, WI",,,"L,0-4",Box Score
"September 11, 2011 (Sunday)",1 pm,Away,Wis.-Oshkosh,"Oshkosh, WI",,,"L,0-8",Box Score
"September 17, 2011 (Saturday)",1 pm,Home,Milwaukee Engr.,,,,"W,1-0",Box Score
"September 18, 2011 (Sunday)",1 pm,Home,Lakeland,,,,"W,4-1",Box Score
"September 21, 2011 (Wednesday)",5 pm,Home,St. Norbert,,,,"L,2-4",
"September 24, 2011 (Saturday)",11 am,Home,Grinnell,,,,"L,2-3",
"October 1, 2011 (Saturday)",3 pm,Away,Carroll (Wis.),"Waukesha, WI",,,"W,1-0",
"October 5, 2011 (Wednesday)",4 pm,Away,Ripon,"Ripon, WI",,,"L,2-3",
"October 8, 2011 (Saturday)",12 pm,Away,Monmouth (Ill.),"Monmouth, IL",,,"W,3-2",
"October 9, 2011 (Sunday)",1 pm,Away,Augustana (Ill.),"Rock Island, IL",,,"L,0-4",
"October 15, 2011 (Saturday)",1 pm,Home,Beloit,,,,"W,6-1",
"October 19, 2011 (Wednesday)",3:30 pm,Home,Wis.-Stout,,,,"L,0-3",Box Score
"October 22, 2011 (Saturday)",11 am,Home,Knox,,,,"W,5-3",
"October 23, 2011 (Sunday)",1 pm,Home,Lake Forest,,,,"W,2-0",Box Score
"October 30, 2011 (Sunday)",11 am,Away,Illinois Col.,"Jacksonville, IL",,,"L,1-3",
"November 4, 2011 (Friday)",2 pm,Away,St. Norbert,De Pere. WI,,,"L,1-4",
