Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"March 20, 2015 (Friday)",9 am,Neutral,Kalamazoo,"Clermont, Fla.",,,"L,5-7",Box Score
"March 20, 2015 (Friday)",11 am,Neutral,Framingham St.,"Clermont, Fla.",,,"W,8-0",Box Score
"March 21, 2015 (Saturday)",,Home,Buffalo St.,,,,"W,9-2",
"March 21, 2015 (Saturday)",,Home,Wm. Paterson,,,,"L,0-8",
"March 23, 2015 (Monday)",3 pm,Neutral,D'Youville,"Clermont, FL",,,"W,5-4",
"March 23, 2015 (Monday)",,Home,North Central (Ill.),,,,"L,3-5",Box Score
"March 24, 2015 (Tuesday)",11 am,Neutral,Thomas (ME),"Clermont, Fla.",,,"W,8-2",
"March 24, 2015 (Tuesday)",Final - 8 innings,Home,Rensselaer,,,,"W,5-4",Box Score
"March 26, 2015 (Thursday)",9 am,Neutral,Colby,"Clermont, Fla.",,,"W,5-1",Box Score
"March 26, 2015 (Thursday)",11 am,Away,Oberlin,"Oberlin, OH",,,"W,9-1",
"March 27, 2015 (Friday)",1 pm,Neutral,Colby,"Clermont, Fla.",,,"W,5-0",
"March 27, 2015 (Friday)",,Home,Elmhurst,,,,"L,1-5",Box Score
"April 3, 2015 (Friday)",3 pm,Away,Chicago,"Chicago, IL",,,"L,4-5",Box Score
"April 3, 2015 (Friday)",5 pm,Away,Chicago,"Chicago, IL",,,"W,6-2",Box Score
"April 4, 2015 (Saturday)",1 pm,Away,Beloit,"Beloit, WI",,,"L,4-5",Box Score
"April 4, 2015 (Saturday)",3 pm,Away,Beloit,"Beloit, WI",,,"W,4-3",Box Score
"April 7, 2015 (Tuesday)",3 pm,Away,Mount Mary,"Milwaukee, WI",,,"W,11-0",Box Score
"April 7, 2015 (Tuesday)",5 pm,Away,Mount Mary,"Milwaukee, WI",,,"W,13-1",Box Score
"April 10, 2015 (Friday)",3 pm,Neutral,Grinnell,"Janesville, WI",,,"W,17-4",Box Score
"April 10, 2015 (Friday)",5 pm,Neutral,Knox,"Janesville, Wis.",,,,
"April 11, 2015 (Saturday)",11 am,Home,Monmouth (Ill.),,,,,
"April 11, 2015 (Saturday)",1 pm,Neutral,Illinois Col.,"Janesville, Wis.",,,"L,1-7",
"April 12, 2015 (Sunday)",12 pm,Home,Lake Forest,,,,"W,4-3",
"April 12, 2015 (Sunday)",,Home,Cornell College,,,,"L,1-9",Box Score
"April 14, 2015 (Tuesday)",4:1 pm,Away,Wis.-Stevens Point,"Stevens Point, WI",,,"W,6-3",
"April 16, 2015 (Thursday)",4:1 pm,Home,Ripon,,,,"W,10-7",
"April 17, 2015 (Friday)",4:1 pm,Home,Viterbo,,,,"W,3-2",
"April 22, 2015 (Wednesday)",4:1 pm,Home,St. Norbert,,,,"W,11-4",
"April 25, 2015 (Saturday)",4:1 pm,Home,Carroll (Wis.),,,,"W,7-3",
"April 26, 2015 (Sunday)",1 pm,Home,Rockford,,,,"W,4-3",Box Score
"April 26, 2015 (Sunday)",3 pm,Home,Rockford,,,,"W,9-1",Box Score
"May 1, 2015 (Friday)",4 pm,Home,Lake Forest,,,,"L,0-3",
"May 1, 2015 (Friday)",4:1 pm,Home,Carroll (Wis.),,,,"W,4-1",Box Score
"May 2, 2015 (Saturday)",12 pm,Home,Lake Forest,,,,"L,0-5",
"May 2, 2015 (Saturday)",4:1 pm,Home,Carroll (Wis.),,,,"L,0-5",Box Score
