Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 2, 2023 (Saturday)",10 am,Home,Lakeland University,"Appleton, WI/ Lawrence Courts",,,"L,3-6",Recap
"September 10, 2023 (Sunday)",2 pm,Home,University of Wisconsin-La Crosse,"Appleton, WI/ Lawrence Courts",,,"L,0-9",Recap
"September 12, 2023 (Tuesday)",5 pm,Home,University of Wisconsin-Oshkosh,"Appleton, WI/ Lawrence Courts",,,"L,1-8",Recap
"September 16, 2023 (Saturday)",2 pm,Away,Lake Forest College,"Lake Forest, IL",,,"L,0-9",Recap
"September 23, 2023 (Saturday)",9 am,Home,Monmouth College,"Appleton, WI/ Lawrence Courts",,,"W,5-4",Recap
"September 23, 2023 (Saturday)",3 pm,Home,Illinois College,"Appleton, WI/ Lawrence Courts",,,"L,3-6",Recap
"September 30, 2023 (Saturday)",11 am,Away,Ripon College,"Ripon, WI",,,"W,8-1",Recap
"October 7, 2023 (Saturday)",9:30 am,Away,Cornell College,"Mount Vernon, IA",,,"L,0-9",Recap
"October 7, 2023 (Saturday)",2:30 pm,Away,Grinnell College,"Grinnell, IA",,,"L,0-9",Recap
"October 14, 2023 (Saturday)",1 pm,Away,Midwest Conference Championships,"Madison, WI/ Nielsen Tennis Stadium",,,,Recap
"October 15, 2023 (Sunday)",9 am,Away,Midwest Conference Championships,"Madison, WI/ Nielsen Tennis Stadium",,,,Recap
"March 2, 2024 (Saturday)",2 pm,Home,Concordia University Chicago,"Appleton, WI/ Fox Cities Racquet Club",,,Canceled,
"March 9, 2024 (Saturday)",2 pm,Home,Roosevelt University,"Appleton, WI/ Fox Cities Racquet Club",,,"L,0-9",Recap
"March 14, 2024 (Thursday)",11 am,Away,University of Wisconsin-Stevens Point,"Stevens Point, WI",,,"L,2-7",Recap
"April 18, 2024 (Thursday)",3:30 pm,Home,Lakeland University,"Appleton, WI/ Lawrence Courts",,,"L,1-8",Recap
"April 24, 2024 (Wednesday)",5 pm,Home,Concordia University (Wis.),"Appleton, WI/ Lawrence Courts",,,"L,0-9",Recap
