Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 1, 2023 (Friday)",3 pm,Neutral,College of St. Scholastica,"Winona, MN",,,"L,0-3",Box ScoreRecap
"September 1, 2023 (Friday)",7 pm,Away,Saint Mary's University (Minn.),"Winona, MN",,,"L,0-3",Box ScoreRecap
"September 2, 2023 (Saturday)",1 pm,Neutral,University of Wisconsin-La Crosse,"Winona, MN",,,"L,0-3",Box ScoreRecap
"September 2, 2023 (Saturday)",3 pm,Neutral,Marian University,"Winona, MN",,,"L,0-3",Box ScoreRecap
"September 8, 2023 (Friday)",4:45 pm,Neutral,Alverno College,"Milwaukee, WI",,,"W,3-0",Box ScoreRecap
"September 8, 2023 (Friday)",7 pm,Away,Mount Mary University,"Milwaukee, WI",,,"W,3-2",Box ScoreRecap
"September 9, 2023 (Saturday)",9:30 AM,Neutral,Maranatha Baptist  University,"Milwaukee, WI",,,"L,1-3",Box ScoreRecap
"September 9, 2023 (Saturday)",12:15 pm,Neutral,Rockford University,"Milwaukee, WI",,,"L,0-3",Box ScoreRecap
"September 15, 2023 (Friday)",8 pm,Home,Mount Mary University,"Appleton, WI/ Alexander Gymnasium",,,"L,0-3",Box ScoreRecap
"September 16, 2023 (Saturday)",10 am,Home,Northland College,"Appleton, WI/ Alexander Gymnasium",,,"L,1-3",Box ScoreRecap
"September 16, 2023 (Saturday)",2 pm,Home,Marian University,"Appleton, WI/ Alexander Gymnasium",,,"L,0-3",Box ScoreRecap
"September 19, 2023 (Tuesday)",7 pm,Away,Alverno College,"Milwaukee, WI",,,"L,2-3",Box ScoreRecap
"September 23, 2023 (Saturday)",Noon,Neutral,Mount Mary University,"Milwaukee, WI",,,"W,3-1",Box ScoreRecap
"September 23, 2023 (Saturday)",2 pm,Away,Milwaukee School of Engineering,"Milwaukee, WI",,,"L,0-3",Box ScoreRecap
"September 29, 2023 (Friday)",7 pm,Away,Illinois College,"Jacksonville, IL",,,"L,0-3",Box ScoreRecap
"September 30, 2023 (Saturday)",1 pm,Away,Knox College,"Galesburg, IL",,,"W,3-1",Box ScoreRecap
"October 4, 2023 (Wednesday)",6:30 pm,Away,Mount Mary University,"Milwaukee, WI",,,"L,0-3",Box ScoreRecap
"October 7, 2023 (Saturday)",1 pm,Away,Grinnell College,"Grinnell, IA",,,"L,0-3",Box ScoreRecap
"October 13, 2023 (Friday)",5 pm,Away,Hamline University,"St. Paul, MN",,,"L,0-3",Box ScoreRecap
"October 14, 2023 (Saturday)",1 pm,Neutral,Central College,"Minneapolis, MN",,,"L,0-3",Box ScoreRecap
"October 14, 2023 (Saturday)",3 pm,Away,North Central University (MN),"Minneapolis, MN",,,"L,0-3",Box ScoreRecap
"October 17, 2023 (Tuesday)",7 pm,Home,Carroll University,"Appleton, WI/ Alexander Gymnasium",,,"L,0-3",Box ScoreRecap
"October 21, 2023 (Saturday)",1 pm,Home,Monmouth College,"Appleton, WI/ Alexander Gymnasium",,,"L,0-3",Box ScoreRecap
"October 24, 2023 (Tuesday)",7 pm,Away,Lake Forest College,"Lake Forest, IL",,,"L,0-3",Box ScoreRecap
"October 27, 2023 (Friday)",7 pm,Home,Beloit College,"Appleton, WI/ Alexander Gymnasium",,,"W,3-2",Box ScoreRecap
"October 28, 2023 (Saturday)",1 pm,Home,Cornell College,"Appleton, WI/ Alexander Gymnasium",,,"L,0-3",Box ScoreRecap
"November 3, 2023 (Friday)",7 pm,Home,Ripon College,"Appleton, WI/ Alexander Gymnasium",,,"L,0-3",Box ScoreRecap
