Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"February 27, 2008 (Wednesday)",9:45 p.m.,Neutral,Jamestown (N.D.),Metrodome,,,"L,3-9",Recap
"March 2, 2008 (Sunday)",11:15 p.m.,Neutral,Loras (Ia.),Metrodome,,,"W,7-1",Recap
"March 2, 2008 (Sunday)",11:15 p.m.,Neutral,Loras (Ia.),Metrodome,,,"L,3-5",Recap
"March 6, 2008 (Thursday)",5:00 p.m.,Neutral,Minnesota-Morris,Metrodome,,,"L,5-6",Recap
"March 6, 2008 (Thursday)",5:00 p.m.,Neutral,Minnesota-Morris,Metrodome,,,"W,14-6",Recap
"March 9, 2008 (Sunday)",6:30 p.m.,Neutral,Concordia (Wis.),Metrodome,,,"W,5-0",Recap
"March 9, 2008 (Sunday)",6:30 p.m.,Neutral,Concordia (Wis.),Metrodome,,,"L,10-14",Recap
"March 15, 2008 (Saturday)",12:00 p.m.,Neutral,Central (Ia.),"Phoenix, Ariz./ St. Catherine University",,,"W,8-5",Recap
"March 15, 2008 (Saturday)",12:00 p.m.,Neutral,Central (Ia.),"Phoenix, Ariz./ St. Catherine University",,,"L,9-10",Recap
"March 16, 2008 (Sunday)",2:00 p.m.,Neutral,Wisconsin-Stout,"Phoenix, Ariz./ Snedigar #4",,,"L,3-17",Recap
"March 17, 2008 (Monday)",9:30 a.m.,Neutral,Marian (Wis.),"Phoenix, Ariz./ Gene Autry #2",,,"L,3-6",Recap
"March 19, 2008 (Wednesday)",10:30 a.m.,Neutral,Suffolk (Mass.),"Phoenix, Ariz./ Snedigar #4",,,"L,8-11",Recap
"March 20, 2008 (Thursday)",9:00 a.m.,Neutral,Knox (Ill.),"Phoenix, Ariz./ Snedigar #4",,,"W,7-0",Recap
"March 20, 2008 (Thursday)",9:00 a.m.,Neutral,Knox (Ill.),"Phoenix, Ariz./ Snedigar #4",,,"W,9-1",Recap
"March 21, 2008 (Friday)",12:00 p.m.,Neutral,Williams (Mass.),"Phoenix, Ariz./ Saguaro HS",,,"L,13-20",Recap
"March 25, 2008 (Tuesday)",9:45 p.m.,Neutral,Luther (Ia.),Metrodome,,,"L,2-10",Recap
"March 25, 2008 (Tuesday)",9:45 p.m.,Neutral,Luther (Ia.),Metrodome,,,"W,5-4",Recap
"April 4, 2008 (Friday)",2:30 p.m.,Away,St. Thomas,St. Paul,,,"L,2-9",Recap
"April 4, 2008 (Friday)",2:30 p.m.,Away,St. Thomas,St. Paul,,,"L,5-24",Recap
"April 5, 2008 (Saturday)",1:00 p.m.,Away,St. Mary's,Winona - Winona State Univ.,,,"W,12-8",Recap
"April 5, 2008 (Saturday)",1:00 p.m.,Away,St. Mary's,Winona - Winona State Univ.,,,"W,8-7",Recap
"April 9, 2008 (Wednesday)",2:30 p.m.,Neutral,Augsburg,Dundas - Dundas Park,,,"L,0-3",Recap
"April 9, 2008 (Wednesday)",2:30 p.m.,Neutral,Augsburg,Dundas - Dundas Park,,,"L,5-8",Recap
"April 15, 2008 (Tuesday)",1:00 p.m.,Home,Concordia-Moorhead,Midway Stadium,,,"L,12-17(9 inn.)",Recap
"April 15, 2008 (Tuesday)",1:00 p.m.,Home,Concordia-Moorhead,Midway Stadium,,,"W,5-4",Recap
"April 20, 2008 (Sunday)",1:00 p.m.,Home,Gustavus Adolphus,Midway Stadium,,,"L,5-10",Recap
"April 20, 2008 (Sunday)",1:00 p.m.,Home,Gustavus Adolphus,Midway Stadium,,,"W,5-3",Recap
"April 22, 2008 (Tuesday)",2:30 p.m.,Home,Carleton,Midway Stadium,,,"W,8-6",Recap
"April 22, 2008 (Tuesday)",2:30 p.m.,Home,Carleton,Midway Stadium,,,"W,12-11",Recap
"April 23, 2008 (Wednesday)",2:30 p.m.,Away,St. John's,Collegeville,,,"L,2-3(12 inn.)",Recap
"April 23, 2008 (Wednesday)",2:30 p.m.,Away,St. John's,Collegeville,,,"L,2-3",Recap
"April 28, 2008 (Monday)",2:30 p.m.,Away,Bethel,Arden Hills,,,"L,3-4",Recap
"April 28, 2008 (Monday)",2:30 p.m.,Away,Bethel,Arden Hills,,,"L,2-9",Recap
"April 30, 2008 (Wednesday)",2:30 p.m.,Away,St. Olaf,Northfield,,,"L,0-9",Recap
"April 30, 2008 (Wednesday)",2:30 p.m.,Away,St. Olaf,Northfield,,,"L,0-10",Recap
"May 3, 2008 (Saturday)",1:00 p.m.,Home,Hamline,Midway Stadium,,,"W,4-2",Recap
"May 3, 2008 (Saturday)",1:00 p.m.,Home,Hamline,Midway Stadium,,,"L,8-9",Recap
