Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 2, 2017 (Saturday)",1:00 PM,Away,Carleton College,"Northfield, MN",,,"W,31-20",Box ScoreRecap
"September 9, 2017 (Saturday)",7:00 PM,Home,Hamline University,"St. Paul, MN/ Macalester Stadium",,,"W,23-14",Box ScoreRecap
"September 23, 2017 (Saturday)",1:00 PM,Home,Monmouth College,"St. Paul, MN/ Macalester Stadium",,,"L,0-26",Box ScoreRecap
"September 30, 2017 (Saturday)",1:00 PM,Away,Lake Forest College,"Lake Forest, IL",,,"L,26-41",Box ScoreRecap
"October 7, 2017 (Saturday)",1:00 PM,Home,Beloit College,"St. Paul, MN/ Macalester Stadium",,,"W,56-21",Box ScoreRecap
"October 14, 2017 (Saturday)",1:00 PM,Away,Lawrence University,"Appleton, WI",,,"W,21-18",Box ScoreRecap
"October 21, 2017 (Saturday)",1:00 PM,Home,Ripon College,"St. Paul, MN/ Macalester Stadium",,,"W,47-31",Box ScoreRecap
"October 28, 2017 (Saturday)",1:00 PM,Home,St. Norbert College,"St. Paul, MN/ Macalester Stadium",,,"L,7-47",Box ScoreRecap
"November 4, 2017 (Saturday)",1:00 PM,Away,University of Chicago,"Chicago, IL",,,"L,14-19",Box ScoreRecap
"November 11, 2017 (Saturday)",1:00 PM,Away,Illinois College,"Jacksonville, IL",,,"L,27-32",Box ScoreRecap
