Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 1, 2015 (Tuesday)",3:00 pm,Away,Wartburg,"Waverly, Iowa",,,,"T,3-32OT",Box ScoreRecap
"September 4, 2015 (Friday)",7:30 pm,Home,UW-Platteville,"St. Paul, Minn./ Macalester Stadium",,,,"T,1-12OT",Box ScoreRecap
"September 5, 2015 (Saturday)",7:30 pm,Home,Dubuque,"St. Paul, Minn./ Macalester Stadium",,,,"T,1-12OT",Box ScoreRecap
"September 8, 2015 (Tuesday)",7:00 pm,Away,Northwestern,"Roseville, Minn.",,,,"W,3-0",Box ScoreRecap
"September 11, 2015 (Friday)",4:00 pm,Away,St. Scholastica,"Duluth, Minn.",,,,"W,2-0",Box ScoreRecap
"September 19, 2015 (Saturday)",3:30 pm,Away,Concordia,"Moorhead, Minn.",,,,"W,2-1",Box ScoreRecap
"September 23, 2015 (Wednesday)",7:30 pm,Home,UM-Morris,"St. Paul, Minn./ Macalester Stadium",,,,"W,3-0",Box ScoreRecap
"September 26, 2015 (Saturday)",1:00 pm,Away,Hamline,"St. Paul, Minn.",,,,"T,1-12OT",Box ScoreRecap
"September 29, 2015 (Tuesday)",7:30 pm,Home,Luther,"St. Paul, Minn./ Macalester Stadium",,,,"W,3-1",Box ScoreRecap
"October 3, 2015 (Saturday)",1:00 pm,Home,St. Olaf,"St. Paul, Minn./ Macalester Stadium",,,,"W,2-1",Box ScoreRecap
"October 6, 2015 (Tuesday)",7:30 pm,Home,Gustavus Adolphus,"St. Paul, Minn./ Macalester Stadium",,,,"T,1-12OT",Box ScoreRecap
"October 10, 2015 (Saturday)",1:00 pm,Away,St. Thomas,"St. Paul, Minn.",,,,"W,3-2",Box ScoreRecap
"October 14, 2015 (Wednesday)",7:30 pm,Home,Saint Mary's,"St. Paul, Minn./ Macalester Stadium",,,,"W,3-0",Box ScoreRecap
"October 17, 2015 (Saturday)",1:00 pm,Away,Carleton,"Northfield, Minn.",,,,"W,1-0",Box ScoreRecap
"October 20, 2015 (Tuesday)",7:30 pm,Home,UW-Superior,"St. Paul, Minn./ Macalester Stadium",,,,"W,1-0",Box ScoreRecap
"October 24, 2015 (Saturday)",4:30 pm,Home,Augsburg,"St. Paul, Minn./ Macalester Stadium",,,,"W,2-0",Box ScoreRecapSenior Night
"October 27, 2015 (Tuesday)",7:30 pm,Home,Saint John's,"St. Paul, Minn./ Macalester Stadium",,,,"W,2-1",Box ScoreRecap
"October 31, 2015 (Saturday)",1:00 pm,Away,Bethel,"Arden Hills, Minn.",,,,"W,3-0",Box ScoreRecap
"November 4, 2015 (Wednesday)",7:30 PM,Home,University of St. Thomas,"St. Paul, Minn./ Macalester Stadium",,,MIAC Playoffs,"L,1-2",Box ScoreRecap
"November 13, 2015 (Friday)",5:00 PM,Home,College of St. Scholastica,"St. Paul, Minn./ Macalester Stadium",,,NCAA Division III Playoffs,"W,1-0",Box ScoreRecap
"November 14, 2015 (Saturday)",7:00 PM,Home,St. Olaf College,"St. Paul, Minn./ Macalester Stadium",,,NCAA Division III Playoffs,"L,0-1",Box ScoreRecap
