Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 1, 2017 (Friday)",4:30 PM,Away,Wartburg College,"Waverly, IA",,,"L,0-2",Box ScoreRecap
"September 5, 2017 (Tuesday)",7:30 PM,Home,University of Wisconsin-Eau Claire,"St. Paul, MN (Home)/ Macalester Stadium",,,"W,1-0OT",Box ScoreRecap
"September 8, 2017 (Friday)",7:30 PM,Home,University of Wisconsin-Stevens Point,"St. Paul, MN (Home)/ Macalester Stadium",,,"W,1-0OT",Box ScoreRecap
"September 12, 2017 (Tuesday)",4:00 PM,Home,Hamline University,"St. Paul, MN (Home)/ Macalester Stadium",,,"L,1-2",Box ScoreRecap
"September 16, 2017 (Saturday)",1:00 PM,Away,St. Catherine University,"St. Paul, MN",,,"T,0-02OT",Box ScoreRecap
"September 19, 2017 (Tuesday)",7:30 PM,Home,Luther College,"St. Paul, MN (Home)/ Macalester Stadium",,,"W,1-0",Box ScoreRecap
"September 27, 2017 (Wednesday)",4:00 PM,Away,Concordia College (Minn.),"Moorhead, MN",,,"L,0-12OT",Box ScoreRecap
"September 30, 2017 (Saturday)",3:30 PM,Home,University of St. Thomas,"St. Paul, MN (Home)/ Macalester Stadium",,,"W,1-0",Box ScoreRecap
"October 4, 2017 (Wednesday)",7:30 PM,Home,Carleton College,"St. Paul, MN (Home)/ Macalester Stadium",,,"T,1-12OT",Box ScoreRecap
"October 7, 2017 (Saturday)",3:30 PM,Away,St. Olaf College,"Northfield, MN",,,"L,0-2",Box ScoreRecap
"October 10, 2017 (Tuesday)",7:30 PM,Home,Augsburg College,"St. Paul, MN (Home)/ Macalester Stadium",,,"W,1-0",Box ScoreRecap
"October 14, 2017 (Saturday)",3:30 PM,Away,Bethel University,"St. Paul, MN",,,"L,0-1",Box ScoreRecap
"October 16, 2017 (Monday)",3:30 PM,Away,College of St. Scholastica,"Duluth, MN",,,"T,2-22OT",Box ScoreRecap
"October 18, 2017 (Wednesday)",7:00 PM,Away,University of Wisconsin-Stout,"Menomonie, WI",,,"L,0-1",Box ScoreRecap
"October 21, 2017 (Saturday)",1:00 PM,Away,Saint Mary's University (Minn.),"Winona, MN",,,"W,2-1",Box ScoreRecap
"October 25, 2017 (Wednesday)",7:00 PM,Home,College of Saint Benedict,"St. Paul, MN (Home)/ Macalester Stadium",,,"T,0-02OT",Box ScoreRecap
"October 28, 2017 (Saturday)",3:30 PM,Away,Gustavus Adolphus College,"St. Peter, MN",,,"W,1-0",Box ScoreRecap
