Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"March 12, 2008 (Wednesday)",10:00 a.m.,Neutral,Bethany Lutheran,"Rosemount, MN/",,,"W,8-0",Recap
"March 12, 2008 (Wednesday)",10:00 a.m.,Neutral,Bethany Lutheran,"Rosemount, MN/",,,"W,9-4",Recap
"March 16, 2008 (Sunday)",3:00 p.m.,Neutral,Polytechnic (N.Y.),"Kissimmee, Fla.",,,"W,8-3",Recap
"March 16, 2008 (Sunday)",5:00 p.m.,Neutral,Trinity (Conn.),"Kissimmee, Fla.",,,"W,12-10",Recap
"March 17, 2008 (Monday)",9:00 a.m.,Neutral,Hope (Mich.),"Kissimmee, Fla.",,,"L,1-9",Recap
"March 17, 2008 (Monday)",11:00 a.m.,Neutral,Millikin (Ill.),"Kissimmee, Fla.",,,"W,5-4",Recap
"March 19, 2008 (Wednesday)",1:00 p.m.,Neutral,Endicott (Mass.),"Kissimmee, Fla.",,,"L,5-6(8 inn.)",Recap
"March 19, 2008 (Wednesday)",5:00 p.m.,Neutral,Rowan (N.J.),"Kissimmee, Fla.",,,"L,4-8",Recap
"March 20, 2008 (Thursday)",1:00 p.m.,Neutral,Carthage (Wis.),"Kissimmee, Fla.",,,"L,0-2",Recap
"March 20, 2008 (Thursday)",5:00 p.m.,Neutral,Mount Vernon Nazarene (Ohio),"Kissimmee, Fla.",,,"L,0-10",Recap
"March 21, 2008 (Friday)",11:00 a.m.,Neutral,William Paterson (N.J.),"Kissimmee, Fla.",,,"L,4-10",Recap
"March 21, 2008 (Friday)",3:00 p.m.,Neutral,McDaniel (Md.),"Kissimmee, Fla.",,,"L,0-5",Recap
"April 4, 2008 (Friday)",4:00 p.m.,Away,St. Thomas,St. Paul,,,"L,0-16",Recap
"April 4, 2008 (Friday)",4:00 p.m.,Away,St. Thomas,St. Paul,,,"L,0-9",Recap
"April 5, 2008 (Saturday)",1:00 p.m.,Home,St. Olaf,Arlington-Rice Softball Field,,,"W,6-3",Recap
"April 5, 2008 (Saturday)",1:00 p.m.,Home,St. Olaf,Arlington-Rice Softball Field,,,"L,3-4(8 inn.)",Recap
"April 9, 2008 (Wednesday)",5:00 p.m.,Away,Augsburg,Minnapolis,,,"L,4-8",Recap
"April 9, 2008 (Wednesday)",5:00 p.m.,Away,Augsburg,Minnapolis,,,"L,5-6(11 inn.)",Recap
"April 14, 2008 (Monday)",4:00 p.m.,Away,Gustavus Adolphus,St. Peter,,,"L,2-9",Recap
"April 14, 2008 (Monday)",4:00 p.m.,Away,Gustavus Adolphus,St. Peter,,,"L,0-4",Recap
"April 15, 2008 (Tuesday)",4:00 p.m.,Home,St. Benedict,Dunning Softball Complex,,,"L,6-11",Recap
"April 15, 2008 (Tuesday)",4:00 p.m.,Home,St. Benedict,Dunning Softball Complex,,,"L,2-3",Recap
"April 17, 2008 (Thursday)",4:00 p.m.,Away,St. Catherine,St. Paul,,,"L,2-3",Recap
"April 17, 2008 (Thursday)",4:00 p.m.,Away,St. Catherine,St. Paul,,,"W,12-2",Recap
"April 19, 2008 (Saturday)",12:00 p.m.,Away,Concordia,Moorhead,,,"L,3-4",Recap
"April 19, 2008 (Saturday)",12:00 p.m.,Away,Concordia,Moorhead,,,"L,4-6",Recap
"April 21, 2008 (Monday)",3:30 p.m.,Home,Bethel,Dunning Softball Complex,,,"L,0-4",Recap
"April 21, 2008 (Monday)",3:30 p.m.,Home,Bethel,Dunning Softball Complex,,,"L,2-3",Recap
"April 23, 2008 (Wednesday)",4:00 p.m.,Home,St. Mary's,Dunning Softball Complex,,,"W,10-9",Recap
"April 23, 2008 (Wednesday)",4:00 p.m.,Home,St. Mary's,Dunning Softball Complex,,,"L,4-5",Recap
"April 27, 2008 (Sunday)",1:00 p.m.,Away,Hamline,St. Paul,,,"L,1-4",Recap
"April 27, 2008 (Sunday)",1:00 p.m.,Away,Hamline,St. Paul,,,"L,6-8",Recap
"April 29, 2008 (Tuesday)",4:00 p.m.,Away,Carleton,Northfield,,,"W,12-4",Recap
"April 29, 2008 (Tuesday)",4:00 p.m.,Away,Carleton,Northfield,,,"W,6-1",Recap
