Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"March 1, 2013 (Friday)",11:55 p.m.,Neutral,Bethany Lutheran College,Minneapolis (Augsburg Dome),,,,"L,3-5",Box ScoreRecap
"March 4, 2013 (Monday)",1:00 p.m.,Neutral,University of Minnesota Morris,Vadnais Heights (Vadnais Dome),,,,"W,12-4",Box ScoreRecap
"March 4, 2013 (Monday)",3:00 p.m.,Neutral,University of Minnesota Morris,Vadnais Heights (Vadnais Dome),,,,"W,7-1",Box ScoreRecap
"March 12, 2013 (Tuesday)",10:00 a.m.,Neutral,Martin Luther College,Rosemount (Rosemount Dome),,,,"W,13-3",Box ScoreRecap
"March 12, 2013 (Tuesday)",12:00 p.m.,Neutral,Martin Luther College,Rosemount (Rosemount Dome),,,,"W,11-2",Box ScoreRecap
"March 17, 2013 (Sunday)",1:00 p.m. (ET),Neutral,Oswego State,"Clermont, Fla.",,,NTC Spring Games,"W,9-1",Box ScoreRecap
"March 17, 2013 (Sunday)",3:00 p.m. (ET),Neutral,New England College,"Clermont, Fla.",,,NTC Spring Games,"W,11-3",Box ScoreRecap
"March 18, 2013 (Monday)",9:00 a.m. (ET),Neutral,Western New England University,"Clermont, Fla.",,,NTC Spring Games,"L,0-3",Box ScoreRecap
"March 18, 2013 (Monday)",11:00 a.m. (ET),Neutral,Framingham State University,"Clermont, Fla.",,,NTC Spring Games,"W,8-4",Box ScoreRecap
"March 19, 2013 (Tuesday)",1:00 p.m. (ET),Neutral,Lawrence University,"Clermont, Fla.",,,NTC Spring Games,"L,1-9",Box ScoreRecap
"March 19, 2013 (Tuesday)",3:00 p.m. (ET),Neutral,Tufts University,"Clermont, Fla.",,,NTC Spring Games,"L,2-6",Box ScoreRecap
"March 21, 2013 (Thursday)",1:00 p.m. (ET),Neutral,University of Dubuque,"Clermont, Fla.",,,NTC Spring Games,"L,2-12",Box ScoreRecap
"March 21, 2013 (Thursday)",3:00 p.m. (ET),Neutral,Hope College,"Clermont, Fla.",,,NTC Spring Games,"L,0-8",Box ScoreRecap
"March 22, 2013 (Friday)",1:00 p.m. (ET),Neutral,New Paltz,"Clermont, Fla.",,,NTC Spring Games,"W,3-1",Box ScoreRecap
"March 22, 2013 (Friday)",3:00 p.m. (ET),Neutral,Oneonta,"Clermont, Fla.",,,NTC Spring Games,"L,2-4",Box ScoreRecap
"March 29, 2013 (Friday)",5:00 p.m.,Neutral,University of Wisconsin-Stout,West St. Paul Dome,,,,"L,1-9",Box ScoreRecap
"March 29, 2013 (Friday)",7:00 p.m.,Neutral,University of Wisconsin-Stout,West St. Paul Dome,,,,"L,7-13",Box ScoreRecap
"April 7, 2013 (Sunday)",12:00 p.m.,Away,Augsburg,Minneapolis,,,,"W,5-3",Box ScoreRecap
"April 7, 2013 (Sunday)",2:00 p.m.,Away,Augsburg,Minneapolis,,,,"W,1-0",Box ScoreRecap
"April 8, 2013 (Monday)",5:00 p.m.,Home,Carleton,Macalester Field,,,,"L,1-9",Box ScoreRecap
"April 8, 2013 (Monday)",7:00 p.m.,Home,Carleton,Macalester Field,,,,"L,4-8",Box ScoreRecap
"April 14, 2013 (Sunday)",11:00 a.m.,Neutral,Hamline,Rochester Dome,,,,"W,11-10",Box ScoreRecap
"April 14, 2013 (Sunday)",1:00 p.m.,Neutral,Hamline,Rochester Dome,,,,"L,3-4",Box ScoreRecap
"April 19, 2013 (Friday)",9:00 p.m.,Neutral,Bethel,Rosemount Dome,,,,"L,2-10",Box ScoreRecap
"April 19, 2013 (Friday)",11:00 p.m.,Neutral,Bethel,Rosemount Dome,,,,"L,6-9",Box ScoreRecap
"April 21, 2013 (Sunday)",8:00 p.m.,Neutral,College of Saint Benedict,Rosemount Dome,,,,"L,5-6",Box ScoreRecap
"April 21, 2013 (Sunday)",10:00 p.m.,Neutral,College of Saint Benedict,Rosemount Dome,,,,"L,1-4",Box ScoreRecap
"April 25, 2013 (Thursday)",3:30 p.m.,Away,St. Thomas,St. Paul,,,,"L,0-7",Box ScoreRecap
"April 25, 2013 (Thursday)",5:30 p.m.,Away,St. Thomas,St. Paul,,,,"L,0-13",Box ScoreRecap
"April 27, 2013 (Saturday)",2:00 p.m.,Home,Concordia College (Minn.),Macalester Field,,,,"L,5-9",Box ScoreRecap
"April 27, 2013 (Saturday)",4:00 p.m.,Home,Concordia College (Minn.),Macalester Field,,,,"L,2-4",Box ScoreRecap
"April 28, 2013 (Sunday)",1:00 p.m.,Away,Saint Mary's University (Minn.),"Winona, MN",,,,"L,1-9",Box ScoreRecap
"April 28, 2013 (Sunday)",3:00 p.m.,Away,Saint Mary's University (Minn.),"Winona, MN",,,,"W,4-2",Box ScoreRecap
"April 29, 2013 (Monday)",4:00 p.m.,Home,St. Olaf,Macalester Field,,,,"L,0-3",Box ScoreRecap
"April 29, 2013 (Monday)",6:00 p.m.,Home,St. Olaf,Macalester Field,,,,"L,3-4",Box ScoreRecap
"April 30, 2013 (Tuesday)",5:00 p.m.,Home,St. Catherine University,Macalester Field,,,,"W,11-7",Box ScoreRecap
"April 30, 2013 (Tuesday)",5:45 p.m.,Home,St. Catherine University,Macalester Field,,,,"L,0-6",Box ScoreRecap
"May 3, 2013 (Friday)",3:00 p.m.,Neutral,University of St. Thomas,Mankato (Caswell Park),,,MIAC Playoffs,"L,0-11",Box ScoreRecap
"May 3, 2013 (Friday)",5:00 p.m.,Neutral,St. Catherine University,Mankato (Caswell Park),,,MIAC Playoffs,"L,12-13",Box ScoreRecap
